"freq
References : ['S(1,1)','S(1,2)','S(2,1)','S(2,2)']
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(1,2)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,1)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag","S(2,2)
References : []
Dependency : [freq]
Num. Points : [200]
Matrix Size : scalar
Type : Complex
Complex Format : Real/Imag"
500.0000000000000 MHz,0.006040360083826 + j0.000101741315261 ,0.993922469963166 - j0.005561551193786 ,0.993922469963165 - j0.005561551193786 ,0.006040360083836 + j0.000101741315244 
1.000000000000000 GHz,0.006500633901013 - j0.000252264078841 ,0.993372972820289 - j0.010642425458076 ,0.993372972820289 - j0.010642425458076 ,0.006500633901017 - j0.000252264078848 
1.500000000000000 GHz,0.006800847396765 - j0.000816413625501 ,0.992947598406504 - j0.015497272164528 ,0.992947598406505 - j0.015497272164528 ,0.006800847396774 - j0.000816413625507 
2.000000000000000 GHz,0.006976594395392 - j0.001415983869157 ,0.992610477394932 - j0.020306794072800 ,0.992610477394932 - j0.020306794072800 ,0.006976594395388 - j0.001415983869154 
2.500000000000000 GHz,0.007087353407222 - j0.002006863077651 ,0.992301085435751 - j0.025115210932185 ,0.992301085435751 - j0.025115210932185 ,0.007087353407217 - j0.002006863077647 
3.000000000000000 GHz,0.007165947046011 - j0.002583636594998 ,0.991987092462589 - j0.029926667485090 ,0.991987092462589 - j0.029926667485090 ,0.007165947046013 - j0.002583636594999 
3.500000000000000 GHz,0.007228812813966 - j0.003149088687082 ,0.991653455195814 - j0.034737221027488 ,0.991653455195814 - j0.034737221027488 ,0.007228812813973 - j0.003149088687090 
4.000000000000000 GHz,0.007284370978620 - j0.003707030765312 ,0.991293515125995 - j0.039542333538871 ,0.991293515125995 - j0.039542333538872 ,0.007284370978609 - j0.003707030765309 
4.500000000000000 GHz,0.007337070255476 - j0.004260843966071 ,0.990904651559380 - j0.044338341452617 ,0.990904651559380 - j0.044338341452617 ,0.007337070255470 - j0.004260843966062 
5.000000000000000 GHz,0.007389261481546 - j0.004813305273888 ,0.990486241520919 - j0.049122560803729 ,0.990486241520919 - j0.049122560803729 ,0.007389261481547 - j0.004813305273890 
5.500000000000000 GHz,0.007442101683888 - j0.005366664330735 ,0.990038666233099 - j0.053893122390774 ,0.990038666233099 - j0.053893122390773 ,0.007442101683877 - j0.005366664330742 
6.000000000000000 GHz,0.007496020940519 - j0.005922740340047 ,0.989562802595844 - j0.058648788221888 ,0.989562802595844 - j0.058648788221888 ,0.007496020940526 - j0.005922740340050 
6.500000000000000 GHz,0.007550983711393 - j0.006482997419852 ,0.989059751251882 - j0.063388799266220 ,0.989059751251881 - j0.063388799266220 ,0.007550983711399 - j0.006482997419863 
7.000000000000000 GHz,0.007606648131150 - j0.007048598871089 ,0.988530686647091 - j0.068112757576476 ,0.988530686647092 - j0.068112757576476 ,0.007606648131152 - j0.007048598871085 
7.500000000000000 GHz,0.007662471112501 - j0.007620447406406 ,0.987976773208997 - j0.072820536480005 ,0.987976773208996 - j0.072820536480005 ,0.007662471112500 - j0.007620447406414 
8.000000000000000 GHz,0.007717782239819 - j0.008199217227862 ,0.987399118861220 - j0.077512212160006 ,0.987399118861220 - j0.077512212160006 ,0.007717782239831 - j0.008199217227857 
