"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00869639325071603,0,0.991322467452846,0,0.991322451402084,0,0.00869637656467148,0
0.5,0.00946101963934609,-0.000104802883470256,0.990478230071595,-0.00998233558723705,0.990478229003958,-0.00998233488650513,0.0094609164265691,-0.000104281077916824
1,0.0100434027605001,-0.0010952918621232,0.989683111938538,-0.0190716565560898,0.989683113003041,-0.0190716558491726,0.0100432394979748,-0.00109403739415548
1.5,0.0103950193826368,-0.00222817795408226,0.988984649381765,-0.0280046241679663,0.988984650259697,-0.0280046242623992,0.0103949015461282,-0.00222618865286783
2,0.0105836864683866,-0.00339018933903823,0.988329375111246,-0.0368756766084868,0.988329375625779,-0.0368756769437759,0.0105837200531473,-0.00338745899191117
2.5,0.0106888042878133,-0.00454214520970098,0.987642294121797,-0.0457305837351658,0.987642294381212,-0.0457305840737998,0.0106890584237114,-0.00453870048034766
3,0.0107465431254132,-0.00568344185172975,0.986887897931494,-0.054569586046421,0.986887898044519,-0.0545695863158358,0.0107470589851588,-0.00567930474953293
3.5,0.0107726115860904,-0.00681831683386047,0.986052448052659,-0.0633857870855055,0.986052448091274,-0.0633857872764692,0.0107734188418482,-0.00681349451838464
4,0.0107741751320041,-0.00795007685271187,0.985132028687167,-0.07217323140239,0.985132028693227,-0.0721732315270955,0.0107753033117173,-0.00794456243940278
4.5,0.0107548100073001,-0.00908069870183326,0.984126944224349,-0.0809280695943597,0.984126944219692,-0.0809280696699721,0.0107562945616324,-0.00907447558098706
5,0.0107165362578217,-0.0102112513166324,0.983039142270226,-0.0896482740133457,0.983039142264397,-0.0896482740556719,0.0107184208537749,-0.0102042978054255
5.5,0.0106606627914062,-0.0113422894906972,0.981871006868762,-0.0983331310822031,0.981871006864304,-0.0983331311036038,0.0106629993530459,-0.011334582579094
6,0.0105881417594942,-0.0124741097354537,0.980624801300742,-0.106982782883644,0.980624801296696,-0.106982782892755,0.0105909894084161,-0.0124656276396466
6.5,0.0104997182552408,-0.0136068960935303,0.979302435180168,-0.115597868336979,0.979302435174311,-0.11559786833922,0.0105031418882696,-0.0135976197562684
7,0.0103959950552107,-0.0147407960184553,0.977905397651655,-0.124179260619159,0.977905397641874,-0.124179260617518,0.0104000639619847,-0.0147307098300509
7.5,0.0102774627791475,-0.015875956004165,0.976434774106877,-0.132727885033468,0.976434774091924,-0.132727885029348,0.0102822494783011,-0.0158650480121905
8,0.0101445163775215,-0.0170125356036221,0.97489130128797,-0.141244599948023,0.974891301267818,-0.141244599941984,0.0101500957207809,-0.017000797422476
8.5,0.0099974663308493,-0.0181507106449037,0.973275435820741,-0.149730125019339,0.973275435796663,-0.149730125011741,0.0100039148598538,-0.0181381372126577
9,0.00983654771592143,-0.019290671571087,0.971587422745394,-0.158185003462197,0.971587422719886,-0.158185003453686,0.00984394323090601,-0.0192772608479128
9.5,0.00966192819949502,-0.0204326199839193,0.969827357370556,-0.166609587823222,0.969827357347163,-0.166609587815106,0.00967034949377187,-0.0204183726478471
10,0.00947371524434304,-0.0215767648879104,0.967995237719518,-0.175004041207289,0.967995237702616,-0.175004041201781,0.00948324196268512,-0.0215616840578257
10.5,0.00928354773438418,-0.0227118456221942,0.966066396017062,-0.183386309289027,0.966066396002646,-0.183386309277594,0.00929426610333954,-0.0226959861681921
11,0.00907780738365209,-0.023852256780581,0.964067886558204,-0.191732311593638,0.964067886547008,-0.191732311576923,0.00908979577794909,-0.0238356292515314
11.5,0.00885589675393764,-0.0249976943175638,0.962000819658605,-0.2000425700977,0.962000819651226,-0.200042570076409,0.00886923467699234,-0.0249803121790966
12,0.00861724257752589,-0.0261478111655689,0.959866152141731,-0.208317587291777,0.959866152138629,-0.208317587266659,0.00863201045130868,-0.0261296909050794
12.5,0.00836129847195691,-0.0273022204607694,0.95766470436967,-0.216557832612716,0.957664704371175,-0.216557832584537,0.00837757742315176,-0.0272833816686959
13,0.00808754723957295,-0.0284604988757247,0.955397176994124,-0.224763732326239,0.95539717700044,-0.224763732295762,0.0081054188848606,-0.028440964303865
13.5,0.00779550276309424,-0.0296221900092966,0.953064167013779,-0.232935662391276,0.953064167024998,-0.232935662359246,0.00781504899609511,-0.0296019856072931
14,0.00748471151362162,-0.0307868077888278,0.950666182850409,-0.241073943845096,0.950666182866522,-0.241073943812223,0.00750601429575359,-0.0307659627201367
14.5,0.00715475369167246,-0.0319538398443253,0.948203658260763,-0.249178840274198,0.948203658281667,-0.249178840241153,0.00717789484886494,-0.0319323864832048
15,0.00680524402510274,-0.0331227508194596,0.945676964985346,-0.257250556973443,0.945676965010863,-0.257250556940844,0.00683030505200805,-0.0331007247306165
15.5,0.00643583225019528,-0.034292985589208,0.943086424100574,-0.26528924143954,0.943086424130459,-0.265289241407946,0.00646289412322176,-0.0342704254918444
16,0.00604620330370942,-0.0354639723589452,0.940432316089452,-0.273294984890869,0.940432316123408,-0.273294984860779,0.00607534630393253,-0.0354409200769652
16.5,0.00563607725457349,-0.0366351256245661,0.937714889680931,-0.281267824550832,0.937714889718616,-0.281267824522681,0.00566738080129525,-0.0366116260247003
17,0.00520520900406807,-0.0378058489777029,0.934934369531566,-0.28920774647449,0.934934369572608,-0.289207746448652,0.00523875149955483,-0.0377819498972833
17.5,0.00475338778300721,-0.0389755377442977,0.932090962837598,-0.297114688737222,0.932090962881601,-0.297114688714005,0.00478924646870826,-0.0389512899103346
18,0.00428043647361243,-0.040143581448554,0.929184864973087,-0.304988544838733,0.929184865019641,-0.304988544818385,0.00431868729796414,-0.0401190383896943
18.5,0.00378621078258906,-0.0413093660976895,0.926216264251995,-0.31282916720595,0.926216264300686,-0.312829167188662,0.00382692828033987,-0.0412845840505285
19,0.0032705982904534,-0.0424722762859293,0.923185345910614,-0.32063637070414,0.923185345961028,-0.320636370690048,0.00331385547329155,-0.0424473140970258
19.5,0.00273351740047656,-0.0436316971187003,0.920092295402619,-0.328409936087348,0.920092295454348,-0.328409936076536,0.00277938565862984,-0.0436066161435431
20,0.00217491620880816,-0.0447870159601982,0.916937301093234,-0.336149613337224,0.916937301145882,-0.336149613329727,0.00222346522318173,-0.0447618799602298
20.5,0.00159477131542951,-0.0459376240093237,0.913720556432181,-0.343855124854134,0.913720556485366,-0.343855124849949,0.00164606897976949,-0.0459124990480126
21,0.000993086593667369,-0.047082917710396,0.910442261677851,-0.351526168476265,0.910442261731212,-0.351526168475347,0.00104719894619199,-0.0470578720492183
21.5,0.000369891934090316,-0.048222300006219,0.907102625237777,-0.3591624203119,0.907102625290974,-0.359162420314169,0.000426883097976061,-0.0481974040013038
22,-0.000274758023276644,-0.0493551814419197,0.903701864683308,-0.366763537377457,0.903701864736024,-0.366763537382806,-0.000214825891177328,-0.0493305074419867
22.5,-0.000940785156257506,-0.0504809811285498,0.900240207489632,-0.374329160039527,0.900240207541576,-0.37432916004782,-0.000877851909098781,-0.0504566033746781
23,-0.00162808911688955,-0.051599127575843,0.896717891545888,-0.381858914263446,0.896717891596794,-0.381858914274527,-0.00156209665456114,-0.0515751221034928
23.5,-0.00233654856798543,-0.0527090594036446,0.893135165474358,-0.389352413674059,0.893135165523988,-0.389352413687753,-0.0022674408675068,-0.0526855039472909
24,-0.0030660223924931,-0.0538102259415969,0.889492288792426,-0.396809261436566,0.889492288840567,-0.396809261452684,-0.0029937455326764,-0.0537871998422281
24.5,-0.00381635086958365,-0.0549020877264863,0.885789531946287,-0.404229051966803,0.885789531992754,-0.404229051985143,-0.00374085305055594,-0.0548796718421698
25,-0.00458735681264277,-0.0559841169064603,0.882027176241212,-0.411611372481244,0.882027176285846,-0.411611372501599,-0.00450858837077223,-0.0559623935261029
25.5,-0.00537884666540689,-0.0570557975609791,0.878205513689445,-0.418955804397509,0.878205513732114,-0.418955804419664,-0.00529676008415692,-0.0570348503213542
26,-0.00619061155346889,-0.0581166259449875,0.874324846793611,-0.426261924596232,0.874324846834205,-0.426261924619968,-0.0061051614706692,-0.05809653975107
26.5,-0.00702242828923327,-0.0591661106653423,0.870385488280649,-0.433529306555119,0.870385488319082,-0.433529306580217,-0.00693357150121454,-0.0591469716139228
27,-0.00787406032913773,-0.0602037727970803,0.866387760798863,-0.440757521365665,0.866387760835072,-0.440757521391911,-0.00778175579214774,-0.060185668103631
27.5,-0.00874525868260639,-0.0612291459465861,0.862331996588575,-0.447946138642601,0.862331996622519,-0.447946138669779,-0.00864946751188278,-0.0612121638752889
28,-0.00963576277273737,-0.0622417762682512,0.858218537135025,-0.455094727335627,0.858218537166682,-0.455094727363528,-0.00953644823958943,-0.0622260060651065
28.5,-0.0105453012492127,-0.0632412224406897,0.854047732810627,-0.462202856452423,0.854047732839992,-0.462202856480844,-0.0104424287764092,-0.0632267542695844
29,-0.0114735927542624,-0.0642270556080869,0.849819942512374,-0.469270095701338,0.849819942539462,-0.469270095730085,-0.0113671299100174,-0.0642139804897008
29.5,-0.0124203466428671,-0.0651988592917893,0.845535533299037,-0.476296016061559,0.845535533323875,-0.476296016090445,-0.0123102631336613,-0.0651872690451961
30,-0.0133852636586086,-0.0661562292767436,0.841194880031877,-0.483280190287944,0.84119488005451,-0.483280190316791,-0.0132715313210678,-0.0661462164635772
30.5,-0.0143680365667824,-0.0670987734770035,0.836798365021765,-0.490222193357163,0.836798365042247,-0.490222193385803,-0.0142506293588029,-0.0670904313480311
31,-0.0153683507465255,-0.0680261117840444,0.832346377684956,-0.497121602861192,0.832346377703354,-0.497121602889468,-0.015247244737819,-0.0680195342280049
31.5,-0.0163858847438365,-0.0689378759012793,0.827839314209183,-0.503977999353701,0.827839314225574,-0.503977999381468,-0.0162610581060272,-0.0689331573958386
