"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00623878075560924,0,0.993775180642842,0,0.993775168870343,0,0.00623876920627708,0
0.5,0.00662980674865921,0.00219227454589443,0.993315687835,-0.00702400354557753,0.993315687942744,-0.0070240057383586,0.00662984398881505,0.00219200948621889
1,0.00697881860577176,0.00392319603515645,0.992797283530686,-0.0135699839994814,0.992797283114152,-0.0135699836353993,0.00697892664219424,0.00392263228575729
1.5,0.0071078285533277,0.00548262031989388,0.992294569802925,-0.0201750920423081,0.992294569559656,-0.0201750916289782,0.00710786512897243,0.00548172081718512
2,0.00720508705835154,0.007111470263931,0.991700002412347,-0.026633915580085,0.991700002314567,-0.0266339151950188,0.00720517268936227,0.00711029263666418
2.5,0.00730567308132501,0.00877360564455287,0.991061932580095,-0.0329654107917676,0.991061932578667,-0.0329654104759403,0.0073058729142339,0.00877215701699363
3,0.00741916941089205,0.0104547131834671,0.990406025589234,-0.039198071011759,0.990406025637535,-0.0391980707758481,0.00741953049368504,0.0104529925547361
3.5,0.00754909556852401,0.012148394351204,0.989740818177957,-0.0453581985261691,0.989740818241713,-0.0453581983635623,0.00754965822876352,0.0121463990955748
4,0.00769706492074151,0.0138515326793796,0.989064999805295,-0.0514656233278439,0.98906499986325,-0.0514656232250186,0.00769786676773077,0.0138492597866415
4.5,0.00786397655136217,0.015562550256826,0.988372795303054,-0.0575336139885358,0.988372795344131,-0.0575336139310245,0.0078650541251557,0.0155599965536561
5,0.00805043188802324,0.0172806633894051,0.98765707358833,-0.0635702801026587,0.987657073608376,-0.0635702800777054,0.00805182144109073,0.0172778255349133
5.5,0.00825690282213098,0.019005530533069,0.986910859909534,-0.0695801258288169,0.986910859908724,-0.0695801258261621,0.00825864074098459,0.0190024049651827
6,0.00848380745693689,0.0207370715272486,0.986127943252707,-0.0755653005040786,0.986127943233757,-0.0755653005159029,0.00848593051962016,0.0207336544019316
6.5,0.00873154743273091,0.0224753683838976,0.985303035737715,-0.0815264860104934,0.985303035704739,-0.081526486031029,0.00873409298580907,0.0224716555162745
7,0.00900052779774924,0.0242206077438292,0.984431736741504,-0.0874634873831361,0.984431736699304,-0.0874634874082174,0.0090035338915852,0.0242165945518718
7.5,0.00929116837317384,0.0259730458991916,0.983510427307316,-0.0933756115235718,0.983510427260975,-0.0933756115502353,0.00929467387477978,0.0259687273486744
8,0.00960391073342753,0.027732986646956,0.982536151659885,-0.0992619038612346,0.982536151614517,-0.0992619038873808,0.0096079554270414,0.0277283571961977
8.5,0.00993922282433556,0.0295007667428102,0.981506508531989,-0.105121292858256,0.981506508492596,-0.10512129288239,0.00994384750537675,0.0294958202858511
9,0.0102976022669021,0.0312767460145218,0.980419559228498,-0.110952675818646,0.980419559199901,-0.110952675839689,0.0103028488325857,0.0312714758216353
9.5,0.0106795789154115,0.0330613004147384,0.979273752653228,-0.116754967760484,0.979273752640017,-0.116754967777621,0.0106854904540153,0.0330556990693642
10,0.0110857169915987,0.0348548169711931,0.978067865083255,-0.12252712729268,0.97806786508977,-0.122527127305263,0.0110923378716408,0.0348488763024708
10.5,0.0115638069999933,0.0365438663749802,0.976912631093225,-0.128359188557809,0.976912631099082,-0.128359188570513,0.0115711199365595,0.0365375076915964
11,0.0120640624391982,0.0382251972861427,0.975723426809474,-0.13416243567575,0.975723426814687,-0.13416243568853,0.0120720979396253,0.0382184033726074
11.5,0.012586323106323,0.0398984745659501,0.974501601048066,-0.139937632177662,0.974501601052653,-0.139937632190481,0.0125951112352874,0.0398912274999197
12,0.0131304224669444,0.0415633673942857,0.973248351825864,-0.145685583724087,0.973248351829845,-0.145685583736907,0.0131399928307566,0.0415556485612174
12.5,0.0136961877984473,0.0432195494212992,0.971964733350843,-0.151407120526327,0.971964733354237,-0.151407120539116,0.0137065695299432,0.0432113395295195
13,0.014283440337739,0.0448666989135575,0.97065166437572,-0.157103082064016,0.97065166437855,-0.157103082076743,0.014294662081795,0.0448579780097296
13.5,0.0148919954331204,0.0465044988945875,0.969309937486643,-0.162774304039217,0.969309937488931,-0.162774304051853,0.0149040853327976,0.0464952463795481
14,0.01552166270007,0.0481326372796667,0.967940228956815,-0.168421607454294,0.967940228958586,-0.168421607466813,0.0155346483833988,0.0481228319246023
14.5,0.016172246180702,0.0497508070047603,0.966543108853691,-0.174045789663475,0.966543108854969,-0.174045789675854,0.0161861547481171,0.049740426967686
15,0.01684354450665,0.0513587061494651,0.965119051144798,-0.17964761722447,0.965119051145607,-0.179647617236689,0.0168584025190874,0.0513477289919924
15.5,0.0175353510651338,0.0529560380538996,0.963668443599676,-0.185227820364187,0.96366844360004,-0.185227820376225,0.0175511845327906,0.0529444407582411
16,0.0182474541679609,0.0545425114294329,0.962191597332562,-0.190787088869324,0.962191597332508,-0.190787088881166,0.0182642885397292,0.054530270415637
16.5,0.0189796372232083,0.0561178404631921,0.960688755871774,-0.196326069216148,0.960688755871326,-0.196326069227779,0.0189974973767797,0.0561049316065558
17,0.0197316789093274,0.057681744916263,0.959160103677083,-0.201845362762368,0.959160103676266,-0.201845362773776,0.0197505891419775,0.0576681435649082
17.5,0.0205033533514321,0.0592339502155645,0.957605774055936,-0.207345524835934,0.957605774054774,-0.207345524847107,0.0205233373714823,0.059219631208141
18,0.0212944302995051,0.0607741875393275,0.956025856453472,-0.212827064569697,0.956025856451988,-0.212827064580625,0.0213155112184583,0.0607591252228115
18.5,0.0221046753082695,0.0623021938961652,0.954420403110528,-0.218290445345934,0.954420403108747,-0.21829044535661,0.0221268756336248,0.0622863621437295
19,0.0229338499184867,0.0638177121977161,0.952789435098724,-0.223736085730167,0.952789435096667,-0.223736085740584,0.0229571915472208,0.0638010844266343
19.5,0.0237817118394097,0.0653204913248304,0.951132947752863,-0.229164360788713,0.951132947750553,-0.229164360798865,0.023806216052128,0.0653030405143973
20,0.0246480151321597,0.0668102861873376,0.949450915528987,-0.234575603698741,0.949450915526446,-0.234575603708627,0.0246737025879046,0.066791984896762
20.5,0.0255325103937718,0.068286857777373,0.947743296321811,-0.239970107572923,0.94774329631906,-0.239970107582536,0.0255594011254862,0.068267678163636
21,0.0264349449416663,0.0697499732163076,0.946010035278652,-0.245348127432885,0.946010035275711,-0.245348127442225,0.026463058352296,0.0697298870519298
21.5,0.0273550629983039,0.0711994057953089,0.944251068148624,-0.250709882276623,0.944251068145512,-0.250709882285688,0.0273844178575414,0.0711783844860341
22,0.0282926058757927,0.0726349350095645,0.942466324206264,-0.256055557194695,0.942466324203001,-0.256055557203486,0.0283232203174358,0.0726129496119052
22.5,0.0292473121602102,0.0740563465862372,0.940655728788161,-0.26138530549848,0.940655728784765,-0.261385305506996,0.0292792036801338,0.0740333678248744
23,0.0302189178954074,0.0754634325061965,0.938819205479839,-0.266699250831151,0.938819205476327,-0.266699250839395,0.030252103350132,0.0754394307911952
23.5,0.0312071567660783,0.0768559910195998,0.936956677988341,-0.271997489238308,0.936956677984732,-0.271997489246281,0.0312416523719216,0.0768309364634336
24,0.0322117602798745,0.0782338266554059,0.935068071733838,-0.277280091180528,0.935068071730148,-0.277280091188233,0.0322475816126664,0.0782076890897532
24.5,0.0332324579483455,0.0795967502249044,0.93315331519122,-0.282547103474653,0.933153315187463,-0.282547103482092,0.033269619943697,0.079569499217198
25,0.0342689774665005,0.0809445788193375,0.93121234101023,-0.287798551154331,0.931212341006421,-0.287798551161508,0.034307494420605,0.0809161836890548
25.5,0.0353210448907954,0.0822771358017478,0.929245086940285,-0.293034439243429,0.92924508693644,-0.293034439250347,0.0353609304617422,0.082247565636409
26,0.0363883848153335,0.0835942507931198,0.92725149658372,-0.29825475443848,0.927251496579852,-0.298254754445146,0.0364296520249217,0.0835634744639857
26.5,0.0374707205461081,0.0848957596529598,0.925231519998928,-0.303459466698356,0.925231519995049,-0.303459466704771,0.0375133817821348,0.0848637458304082
27,0.0385677742730938,0.0861815044544227,0.923185114172715,-0.308648530740935,0.923185114168839,-0.308648530747107,0.038611841292098,0.0861482216229807
27.5,0.0396792672400079,0.0874513334540978,0.921112243379135,-0.313821887447909,0.921112243375275,-0.313821887453842,0.0397247511704514,0.0874167499271281
28,0.0408049199115826,0.0887051010566144,0.919012879440237,-0.318979465179707,0.919012879436402,-0.318979465185406,0.0408518312574447,0.088669184990626
28.5,0.0419444521381755,0.0899426677741739,0.916887001902371,-0.324121181003391,0.916887001898574,-0.324121181008862,0.041992800782942,0.0899053871827535
29,0.0430975833175716,0.0911639001811639,0.91473459814021,-0.329246941836802,0.914734598136461,-0.329246941842051,0.0431473785285895,0.0911252229485124
29.5,0.0442640325538188,0.0923686708639981,0.912555663399123,-0.334356645512673,0.912555663395431,-0.334356645517707,0.0443152829870054,0.0923285647580627
30,0.0454435188129699,0.093556858366326,0.910350200785325,-0.339450181766604,0.910350200781698,-0.339450181771428,0.0454962325178399,0.0935152910515198
30.5,0.0466357610755836,0.0947283471297697,0.908118221212019,-0.344527433152978,0.908118221208469,-0.3445274331576,0.0466899455005816,0.0946852861792595
31,0.0478404784858675,0.0958830274303387,0.905859743308747,-0.349588275892889,0.90585974330528,-0.349588275897314,0.0478961404839791,0.0958384403379107
