"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00681088421191589,0,0.993205408900394,0,0.993205408114591,0,0.00681087559860316,0
0.5,0.00745903623277755,-0.00012649062882808,0.992495326990191,-0.00814032862217218,0.992495327266983,-0.00814032795040198,0.00745879995465515,-0.000125492120679027
1,0.00798357921451753,-0.00102256870666828,0.991813719109171,-0.0155071290048401,0.991813719402462,-0.0155071291022093,0.00798297564087846,-0.00102026104877062
1.5,0.00830202850484518,-0.00205808696823162,0.99123634601931,-0.022721593640787,0.991236346045955,-0.0227215940565966,0.00830101624814006,-0.00205425952307081
2,0.00847375396686445,-0.00312101211001981,0.99072046266105,-0.0298788914949046,0.990720462432147,-0.0298788919256499,0.00847247745491231,-0.00311551764972151
2.5,0.00856965278029787,-0.0041743277745443,0.990199092633178,-0.0370234600519535,0.990199092265369,-0.0370234603883901,0.00856820422069671,-0.00416712635624528
3,0.0086227354521986,-0.00521642030557423,0.989639322987674,-0.0441571090717705,0.989639322574226,-0.04415710929554,0.00862116208178332,-0.00520748101419954
3.5,0.00864785527166001,-0.00625054565614391,0.989027833910724,-0.0512743349340905,0.989027833512177,-0.0512743350597482,0.00864619219791241,-0.00623982381632793
4,0.00865220421777524,-0.00727948923156596,0.988360349294394,-0.05837009238296,0.988360348946768,-0.0583700924349735,0.00865049279454544,-0.00726692971475629
4.5,0.00863965900686914,-0.00830509845955074,0.987636582032721,-0.0654410585961758,0.987636581755121,-0.0654410585999603,0.00863795286144375,-0.00829064383736711
5,0.00861255970061658,-0.0093285642471006,0.986857879385015,-0.0724854775605737,0.986857879184917,-0.0724854775388701,0.00861092425327947,-0.00931216120261347
5.5,0.00857246252023591,-0.0103506939299747,0.986026103622579,-0.079502756837905,0.98602610349943,-0.0795027568093127,0.00857097203911739,-0.0103322967874488
6,0.00852047616432405,-0.0113720835907962,0.985143100827103,-0.0864930857935633,0.98514310077484,-0.0864930857720072,0.00851921048270654,-0.0113516555488911
6.5,0.00845742388310922,-0.0123932138205474,0.984210464997421,-0.093457129610786,0.984210465006273,-0.0934571296054498,0.00845646565841152,-0.0123707267665214
7,0.00838392960718748,-0.0134144999106622,0.983229455437948,-0.100395800647753,0.983229455495777,-0.100395800663236,0.00838336234235459,-0.0133899335209486
