"Freq [thz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,5.03506439633291E-008,0,0.999999954577106,0,0.999999954593477,0,4.8209662048028E-008,0
0.0005,0.000245469802625187,0.014738783512751,0.999758329958415,-0.0155248638760916,0.999758329958522,-0.0155248638760739,0.000237234989304613,0.014738913146612
0.001,0.00096366384370572,0.0294547855484595,0.999034091902856,-0.0310267957644363,0.999034091902159,-0.031026795764415,0.000965604838968626,0.0294547229463404
0.0015,0.00216563103227518,0.0441251769461068,0.997829400697469,-0.0464831544475315,0.99782940069682,-0.0464831544475004,0.00216983562839557,0.0441249732441857
0.002,0.0038427492109131,0.0587275735152115,0.996147835384207,-0.0618714308955299,0.996147835383624,-0.0618714308954926,0.00385138970135754,0.0587270182789705
0.0025,0.00599138337857949,0.0732396554098429,0.993994366499921,-0.0771693679830467,0.99399436649942,-0.0771693679830077,0.00600396079693757,0.0732386426832625
0.003,0.00860436602957584,0.0876397860688964,0.991375306818857,-0.092355264534977,0.991375306818451,-0.0923552645349379,0.00862209065551076,0.0876380721846073
0.0035,0.0116742005363768,0.101906763281803,0.988298284299975,-0.107407910546723,0.988298284299677,-0.107407910546689,0.0116980197126893,0.10190407507933
0.004,0.0151920250656035,0.116020034287688,0.984772181075865,-0.122306739531444,0.984772181075682,-0.122306739531421,0.0152228452162773,0.116016057883885
0.0045,0.0191477776362747,0.129959774101736,0.980807071231803,-0.137031912891518,0.980807071231739,-0.137031912891509,0.0191864806100721,0.129954155169751
0.005,0.0235302734778129,0.143706967284964,0.976414150668342,-0.15156440219852,0.976414150668399,-0.151564402198529,0.0235777184518662,0.143699312309117
0.0055,0.0283272829608845,0.157243482654883,0.97160566046612,-0.165886064057284,0.971605660466293,-0.165886064057314,0.0283843057543552,0.157233360482526
0.006,0.0335256140504017,0.170552139850844,0.96639480473465,-0.179979706756994,0.966394804734932,-0.179979706757048,0.0335930258361068,0.170539083411922
0.0065,0.039111199026577,0.183616767264331,0.960795663942449,-0.193829148263803,0.960795663942827,-0.193829148263881,0.0391897849419235,0.183600275413319
0.007,0.0450691846275459,0.196422251040182,0.954823104744543,-0.207419265271115,0.954823104744998,-0.207419265271216,0.0451597024470229,0.196401790494307
0.0075,0.0513840246440485,0.208954574997517,0.948492687326748,-0.220736033159332,0.948492687327257,-0.220736033159454,0.0514872035757447,0.208929582350782
0.008,0.0580395739779381,0.221200851447927,0.941820571272695,-0.233766556843632,0.941820571273227,-0.233766556843768,0.0581561136110536,0.221170735242469
0.0085,0.0650191831952169,0.233149343008379,0.934823420930345,-0.246499092607808,0.934823420930866,-0.24649909260795,0.0651497526106394,0.233113485845699
0.009,0.0723057926442167,0.244789475617203,0.927518311211067,-0.258923061132941,0.927518311211535,-0.258923061133077,0.0724510296928779,0.244747236292561
0.0095,0.0798820252643007,0.256111843062227,0.919922634697976,-0.271029052030302,0.919922634698344,-0.271029052030416,0.0800425360138089,0.256062558706237
0.01,0.0877302772767758,0.267108203419285,0.912054010873267,-0.282808820277176,0.912054010873481,-0.282808820277247,0.087906635624024,0.267051191631542
0.0105,0.0958316809162777,0.277772857859132,0.903931501576732,-0.294256732501778,0.903931501576961,-0.294256732501854,0.0960242300392662,0.277707512187042
0.011,0.104169679340624,0.288098569485927,0.895571523478488,-0.305365497662103,0.895571523478734,-0.305365497662184,0.104378887662241,0.288024198386267
0.0115,0.112726513976493,0.298080482104679,0.886991852437502,-0.316130261201557,0.886991852437765,-0.316130261201643,0.112952813912178,0.297996383932605
0.012,0.121484526426683,0.307714818040297,0.878210164002259,-0.326547248167548,0.878210164002541,-0.32654724816764,0.121728314594668,0.307620283228988
0.0125,0.130426229182141,0.316998842500027,0.869243962617741,-0.336613727534041,0.869243962618041,-0.336613727534139,0.130687866776697,0.316893155660095
0.013,0.139534371092426,0.325930823401432,0.86011051605788,-0.346327971976173,0.8601105160582,-0.346327971976278,0.139814184452241,0.325813265311943
0.0135,0.148791997268247,0.334509987342837,0.850826795327377,-0.355689213740005,0.850826795327718,-0.355689213740118,0.149090278836951,0.33437983673352
0.014,0.158182502078584,0.34273647250063,0.841409420463716,-0.36469759701365,0.841409420464078,-0.36469759701377,0.158499513766173,0.342593006719043
0.0145,0.167689722815114,0.350611274054879,0.831874600636213,-0.373354137427117,0.831874600636598,-0.373354137427244,0.168025631889588,0.350453799729655
0.015,0.177297803230296,0.358136211405116,0.822238134850277,-0.381660632525431,0.822238134850685,-0.381660632525566,0.177652889500669,0.357963974207343
0.0155,0.186991542420419,0.365313842083359,0.812515297995703,-0.389619673779937,0.812515297996134,-0.389619673780082,0.187365935947824,0.3651261455246
0.016,0.196756154236844,0.372147436623081,0.802720875352298,-0.39723453533136,0.802720875352753,-0.397234535331514,0.19714998487133,0.371943577341261
0.0165,0.206577411566559,0.37864091184114,0.792869106820219,-0.404509144201455,0.792869106820699,-0.404509144201619,0.206990781610083,0.378420193583852
