"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00571305323256865,0,0.994303850413417,0,0.994303850748111,0,0.00571305445072312,0
0.5,0.006363009752544,-0.000588601738975569,0.993571924096617,-0.00833885223076081,0.993571924260113,-0.00833885213044994,0.0063628020270734,-0.0005879992555613
1,0.0068914294208966,-0.00197261692572681,0.992828097772595,-0.0158742063264867,0.992828097645731,-0.015874205825714,0.00689086714960396,-0.00197118167243815
1.5,0.00718610584015167,-0.00350778271450736,0.992186599035261,-0.0232300813005644,0.992186599003331,-0.0232300810702739,0.00718511674204159,-0.00350541657141434
2,0.00730166593217696,-0.00506998551245985,0.991604507428879,-0.0305181249218514,0.991604507373179,-0.0305181248270685,0.00730020623864469,-0.0050666041806835
2.5,0.00731632778243352,-0.00661120421266936,0.991011367696487,-0.0377862533307738,0.991011367610536,-0.0377862532942128,0.00731434491167349,-0.00660674412903894
3,0.00727031133873624,-0.00812699696578179,0.990372616286544,-0.0450359852245406,0.990372616184945,-0.0450359852105073,0.00726774889211512,-0.00812139335860174
3.5,0.00718340200128198,-0.00962074425163451,0.989674845722411,-0.0522607622974327,0.989674845620503,-0.0522607622902527,0.00718020751687209,-0.00961392655187865
4,0.00706599856117052,-0.0110962485404382,0.988914543703366,-0.0594545847570167,0.988914543613551,-0.0594545847506254,0.00706212789930172,-0.0110881413553905
4.5,0.00692407614547808,-0.0125565399103991,0.988092599089953,-0.0666134873537505,0.988092599021322,-0.0666134873469932,0.00691949535534908,-0.0125470653718622
5,0.00676138827405293,-0.0140039130064391,0.987211696223417,-0.0737354096423726,0.987211696181909,-0.07373540963665,0.00675607393339273,-0.0139929932096123
5.5,0.00658048655520638,-0.0154401386130116,0.986275046243781,-0.080819760761262,0.986275046232365,-0.0808197607591605,0.00657442519663975,-0.0154276977383425
6,0.00638321797438413,-0.0168666427986937,0.985285764791674,-0.0878669859154888,0.985285764810528,-0.0878669859198373,0.00637640497557368,-0.0168526087887271
6.5,0.00617098019133389,-0.0182846298542874,0.984246582390519,-0.0948782030052602,0.984246582437251,-0.0948782030184026,0.00616341837809942,-0.0182689356232206
7,0.00594485956539992,-0.0196951604514206,0.983159734146217,-0.101854917920592,0.98315973421612,-0.10185491794383,0.00593655770160184,-0.0196777446542082
7.5,0.00570571013541443,-0.0210991991760565,0.982026947305792,-0.108798811372501,0.982026947392151,-0.108798811405633,0.00569668142215596,-0.0210800065895009
8,0.00545420192049773,-0.0224976423200483,0.980849480392206,-0.1157115861453,0.980849480486621,-0.115711586186294,0.00544446258826248,-0.0224766239007836
8.5,0.00519085283030724,-0.0238913333946549,0.979628186594813,-0.122594863163453,0.979628186687546,-0.122594863208209,0.00518042087679804,-0.0238684460827141
9,0.00491605154968389,-0.0252810712695828,0.978363585208839,-0.129450115569602,0.978363585289159,-0.129450115611792,0.00490494565172545,-0.0252562776036829
9.5,0.00463007524226611,-0.0266676140841842,0.977055931794174,-0.136278631372377,0.977055931850673,-0.136278631403365,0.00461831385147138,-0.0266408816885155
10,0.00433310408674958,-0.028051680908046,0.975705282072649,-0.143081496792315,0.975705282093546,-0.143081496801145,0.00432070470518747,-0.0280229819015094
10.5,0.00400131509080275,-0.0294327383353643,0.974285764013792,-0.149896138994382,0.974285764034263,-0.149896139003486,0.00398904790361468,-0.0294027661343894
11,0.00365343745480858,-0.0308106332234388,0.972822934887539,-0.156679794922721,0.972822934907575,-0.156679794932075,0.00364129860362872,-0.0307794106160424
11.5,0.00328948574968498,-0.0321852122445474,0.97131797743856,-0.163433487258369,0.971317977458154,-0.163433487267948,0.00327746982723109,-0.0321527628747083
12,0.00290947540825925,-0.033556321756254,0.969771890330601,-0.170158232616014,0.969771890349748,-0.170158232625794,0.00289757536763172,-0.0335226700852851
12.5,0.00251342274732633,-0.0349238078028682,0.96818550452555,-0.176855023652904,0.968185504544248,-0.176855023662859,0.00250162980849557,-0.0348889790672717
13,0.00210134498988926,-0.0362875161192475,0.966559500073357,-0.183524814850847,0.966559500091603,-0.183524814860957,0.00208964854318727,-0.0362515362847531
13.5,0.0016732602874292,-0.0376472921370556,0.964894422790455,-0.190168511593813,0.964894422808251,-0.190168511604052,0.0016616477938636,-0.0376101878484776
14,0.00122918774205413,-0.0390029809936596,0.963190700428368,-0.196786962139825,0.963190700445714,-0.196786962150175,0.00121764463024962,-0.0389647795202159
14.5,0.000769147428329675,-0.0403544275438539,0.961448658043048,-0.203380952084989,0.961448658059948,-0.203380952095424,0.000757656987905725,-0.0403151567194664
15,0.000293160414601784,-0.0417014763745271,0.959668532368143,-0.209951200932874,0.959668532384601,-0.209951200943376,0.00028170368578434,-0.0416611645326856
15.5,-0.000198751216429816,-0.043043971822526,0.957850485071658,-0.216498360409284,0.957850485087679,-0.216498360419834,-0.000210195557157289,-0.043002647725118
16,-0.000706564348129934,-0.0443817579958425,0.955994614836551,-0.223023014195551,0.955994614852142,-0.22302301420613,-0.00071802010653943,-0.0443394507554111
16.5,-0.00123025481163633,-0.0457146787983573,0.954100968253179,-0.229525678790219,0.954100968268346,-0.229525678800811,-0.00124174839862462,-0.0456714177930961
17,-0.00176979736917154,-0.0470425779583499,0.952169549546908,-0.236006805246173,0.952169549561659,-0.236006805256761,-0.00178135792818113,-0.0469983927391215
17.5,-0.00232516569931729,-0.0483652990609498,0.950200329189693,-0.242466781566505,0.950200329204036,-0.242466781577074,-0.00233682523849094,-0.0483202192495127
18,-0.00289633238466841,-0.0496826855848118,0.948193251461556,-0.248905935576412,0.948193251475499,-0.24890593558695,-0.00290812591390271,-0.0496367407623457
18.5,-0.00348326890229883,-0.0509945809431676,0.946148241038588,-0.255324538119309,0.946148241052141,-0.255324538129801,-0.00349523457534784,-0.0509478005281081
19,-0.0040859456175753,-0.0523008285295683,0.944065208689538,-0.261722806453073,0.944065208702709,-0.261722806463508,-0.00409812487932926,-0.0522532416436223
19.5,-0.00470433178186935,-0.053601271768466,0.941944056164718,-0.268100907746482,0.941944056177517,-0.268100907756849,-0.00471676952089767,-0.0535529070895859
20,-0.00533839553483245,-0.0548957541709578,0.939784680359728,-0.274458962596859,0.939784680372164,-0.274458962607147,-0.0053511402412344,-0.0548466397718799
20.5,-0.0059881039119507,-0.056184119395859,0.93758697683325,-0.28079704850762,0.937586976845333,-0.280797048517821,-0.00600120784050456,-0.0561342825666933
21,-0.00665342285820791,-0.0574662113163842,0.935350842753644,-0.287115203279395,0.935350842765383,-0.2871152032895,-0.00666694219673281,-0.0574156783695479
