"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00315342264383389,0,0.996858626196627,0,0.996858622544096,0,0.00315341803238312,0
0.5,0.00349871065667173,0.000317450433293232,0.996494307117842,-0.0030808449641313,0.996494306971002,-0.00308084574404788,0.00349863168149511,0.000317658047244151
1,0.00387176322904992,0.000196220323793739,0.996097772623955,-0.00572181725349807,0.996097772443562,-0.00572181732474775,0.00387155273880069,0.000196719614578456
1.5,0.00414677456257095,-2.46208039307305E-005,0.995818887514648,-0.00836697435654443,0.995818887380903,-0.00836697443783407,0.00414639978915332,-2.38996026880045E-005
2,0.00433024790912739,-0.000310432657819604,0.9955682710671,-0.0109006139254078,0.995568270987061,-0.0109006140037131,0.00432965677099517,-0.000309426917386446
2.5,0.00445145943733394,-0.000608118969740445,0.995360087035255,-0.0133703509875502,0.995360087005,-0.0133703510542595,0.00445063239839882,-0.000606791970589882
3,0.00453590944339766,-0.000901760369750093,0.995186423204437,-0.0158079260887085,0.995186423213934,-0.0158079261389439,0.00453482920816484,-0.000900096084844648
3.5,0.0045992042301588,-0.00118828094569423,0.995034884372801,-0.0182308535243507,0.995034884410364,-0.0182308535564282,0.00459784829048715,-0.00118627344765088
4,0.00465036670043162,-0.001468375375552,0.994894835094437,-0.0206480987859159,0.994894835149351,-0.0206480988006312,0.00464870700032272,-0.00146602300150889
4.5,0.00469468241518811,-0.00174361637827047,0.994758522864818,-0.0230640877241157,0.994758522928437,-0.0230640877238457,0.00469268628951269,-0.00174091907969043
5,0.00473535540181302,-0.00201560043492677,0.994620645842688,-0.0254809174849591,0.994620645908544,-0.025480917472791,0.00473298640056008,-0.00201255864184802
5.5,0.00477440886369962,-0.00228573437698643,0.99447767179836,-0.0278994912510591,0.994477671861914,-0.0278994912302792,0.00477162726602742,-0.00228234853221565
6,0.00481317680566118,-0.00255521589569163,0.994327268794906,-0.0303200950736215,0.99432726885315,-0.030320095047335,0.0048099398746535,-0.00255148628190227
6.5,0.00485257918754201,-0.00282506601836019,0.994167898539444,-0.0327426956221526,0.994167898590505,-0.0327426955931376,0.00484884123958551,-0.00282099271416492
7,0.00489328089372743,-0.00309616945462565,0.993998543064342,-0.0351670973779168,0.993998543107158,-0.0351670973485412,0.00488899323757996,-0.00309175234791148
7.5,0.00493578668150541,-0.0033693103838548,0.99381852561184,-0.0375930272886915,0.993818525645898,-0.0375930272609182,0.00493089746238073,-0.0033645492111134
8,0.0049804997982501,-0.00364520135977919,0.99362739429866,-0.0400201808694156,0.993627394323823,-0.0400201808448628,0.00497495376793733,-0.00364009575815594
8.5,0.00502775937853972,-0.0039245059904669,0.993424846593265,-0.042448247243998,0.99342484660963,-0.0424482472239394,0.0050214976031091,-0.00391905555716932
9,0.00507786511579322,-0.00420785670314494,0.993210680083681,-0.0448769224359182,0.993210680091489,-0.0448769224213734,0.00507082462628627,-0.00420206106100629
9.5,0.00513109412666735,-0.00449586884262487,0.992984760165765,-0.0473059160150111,0.992984760165342,-0.047305916006783,0.0051232075139338,-0.00448972771216383
10,0.00518771293923681,-0.0047891521185619,0.992746998661718,-0.0497349539754754,0.992746998653427,-0.049734953974184,0.00517890789109332,-0.004782665397979
10.5,0.00522914478930692,-0.00505233903124136,0.992519536010124,-0.0521693671566723,0.992519536001986,-0.0521693671554946,0.0052212942362333,-0.00504639291466447
11,0.00527117171220914,-0.00531849587324373,0.99228477763162,-0.0545980240135009,0.992284777623624,-0.0545980240124599,0.00526422932298831,-0.00531317276775134
11.5,0.005313635156587,-0.00558766094090402,0.992043047497898,-0.0570209883542461,0.992043047490029,-0.057020988353349,0.00530754639695274,-0.00558303897105361
12,0.00535637769206376,-0.00585986276234074,0.991794651414522,-0.0594383433769217,0.991794651406767,-0.0594383433761774,0.00535108029571862,-0.00585601522976908
12.5,0.005399243646246,-0.00613512043686981,0.991539876251952,-0.0618501891431862,0.991539876244297,-0.0618501891426,0.0053946681236261,-0.00613211534400904
13,0.00544207969243593,-0.00641344401504895,0.991278989478922,-0.0642566401265068,0.991278989471353,-0.0642566401260929,0.0054381498691991,-0.00641134365410601
13.5,0.00548473538623462,-0.00669483491308931,0.991012238967954,-0.066657822864312,0.991012238960455,-0.0666578228640677,0.00548136896369833,-0.00669369552047794
14,0.00552706364995448,-0.00697928635541345,0.990739853041428,-0.0690538737374,0.990739853033986,-0.0690538737373263,0.00552417278004391,-0.00697915783100722
14.5,0.00556892120449981,-0.00726678383950397,0.990462040726374,-0.071444936894121,0.990462040718972,-0.0714449368942267,0.00556641307221195,-0.00726770952917555
15,0.00561016894895994,-0.00755730561717094,0.990178992186638,-0.0738311623310715,0.990178992179265,-0.0738311623313512,0.00560794635585637,-0.00755932215642918
15.5,0.00565067228876615,-0.00785082318692343,0.989890879302382,-0.0762127041374825,0.989890879295023,-0.0762127041379337,0.00564863423156359,-0.00785396040292152
16,0.00569030141375804,-0.00814730179240897,0.98959785636861,-0.0785897189061986,0.989597856361252,-0.078589718906823,0.00568834365270043,-0.00815158266100458
