"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00535002772841153,0,0.994662514931406,0,0.994662519282429,0,0.00535003345220275,0
0.5,0.0057937543887121,0.000995070149635069,0.994179285439305,-0.00548823688323097,0.99417928592408,-0.00548823652349384,0.00579352571277525,0.000996200899251676
1,0.00621154584663941,0.00144194707770851,0.993677467155543,-0.0104207564078145,0.993677467119443,-0.010420756674197,0.00621098704646172,0.00144453076405782
1.5,0.00648160415409116,0.00176053479520633,0.993250736949557,-0.0153834983745647,0.993250736795712,-0.0153834986035761,0.00648083863889859,0.00176476296556771
2,0.00664218783446735,0.00205650826525883,0.9928228149749,-0.0202068301778198,0.992822814777959,-0.020206830332409,0.00664133039356507,0.0020624099631732
2.5,0.00674982926793888,0.00236456008029684,0.992422843580948,-0.0249443833467442,0.992422843395297,-0.0249443834361784,0.00674894695213801,0.00237212855496161
3,0.00683341994160802,0.00268748706651145,0.992049433378824,-0.0296349484982255,0.992049433231289,-0.029634948544679,0.00683255357502421,0.00269671104252112
3.5,0.006906877866657,0.00302239347271716,0.991691199177684,-0.0343005112675723,0.991691199076921,-0.0343005112906702,0.00690605525270138,0.00303326366409529
4,0.0069772147581193,0.00336615478434865,0.991335990312298,-0.0389518613237989,0.991335990257618,-0.0389518613369724,0.00697645707384398,0.0033786646281726
4.5,0.00704818502080551,0.00371631102210657,0.990973672135139,-0.0435935547173543,0.990973672121665,-0.0435935547284796,0.00704750991693937,0.00373045627150148
5,0.00712191868488565,0.00407104295256033,0.990596428805318,-0.048226967915495,0.990596428826545,-0.0482269679284517,0.00712134186294033,0.00408682116752601
5.5,0.00719968702243756,0.00442901221214598,0.990198365832408,-0.0528519585839273,0.990198365881342,-0.0528519586000051,0.00719922308404564,0.00444642234802117
6,0.00728228232800521,0.00478922057254039,0.9897750311911,-0.0574677217206734,0.98977503126072,-0.0574677217395996,0.00728194525875403,0.00480826267724321
6.5,0.00737021678575345,0.00515090783770944,0.989323022389266,-0.0620732175994503,0.989323022472696,-0.0620732176201111,0.0073700202459972,0.00517158283374286
7,0.00746383182054366,0.00551348139748509,0.988839698978937,-0.0666673787723866,0.9888396990695,-0.0666673787932881,0.0074637893294015,0.0055357909244691
7.5,0.00756336088549225,0.00587646807795394,0.98832298111081,-0.0712492043645865,0.988322981202037,-0.0712492043841726,0.00756348594320566,0.005900414377221
8,0.00766896691266894,0.00623948104195993,0.987771210293703,-0.0758177972624541,0.987771210379342,-0.0758177972793002,0.00766927308605103,0.00626506687039363
8.5,0.00778076541200523,0.00660219676473961,0.98718305297058,-0.0803723727346659,0.987183053044601,-0.0803723727475871,0.00778126639703147,0.0066294253289314
9,0.00789883914483913,0.00696433878930414,0.986557432957013,-0.0849122532109687,0.986557433013621,-0.0849122532191027,0.00789954881464899,0.00699321369403805
9.5,0.00802324769094576,0.00732566609469654,0.985893483194287,-0.0894368568609476,0.985893483227944,-0.0894368568637764,0.00802418013429695,0.0073561913015725
10,0.00815403383093238,0.00768596464461879,0.985190510434085,-0.0939456839458579,0.98519051043952,-0.0939456839432022,0.00815520338422865,0.00771814443792973
10.5,0.00829564027035151,0.00804338520939218,0.98453118849666,-0.0985096629287092,0.984531188502458,-0.0985096629263724,0.00829712836912022,0.00807718233092736
11,0.00844314517984068,0.00839708835924657,0.98384893021498,-0.103058762737574,0.983848930221111,-0.103058762735586,0.00844496966254601,0.00843250312184196
11.5,0.00859641732720823,0.00874694556947109,0.983144518913741,-0.107593093962677,0.983144518920174,-0.107593093961063,0.00859859628506957,0.00878397810717768
12,0.00875532214856842,0.0090928341898433,0.9824186936575,-0.112112813457164,0.9824186936642,-0.112112813455943,0.00875787392189345,0.00913148443757228
12.5,0.00891972205702393,0.00943463753008222,0.981672147490376,-0.116618118168409,0.981672147497309,-0.116618118167601,0.00892266523007432,0.00947490520360406
13,0.00908947675177574,0.00977224492706652,0.980905526410489,-0.12110923916608,0.98090552641762,-0.121109239165701,0.00909283014619679,0.00981412950347771
13.5,0.00926444352645174,0.0101055517940787,0.980119429003167,-0.125586435938187,0.98011942901046,-0.125586435938247,0.00926822619333661,0.0101490524928387
14,0.00944447757555864,0.0104344596524797,0.979314406654109,-0.130049991010408,0.979314406661529,-0.130049991010913,0.00944870878620052,0.0104795754171008
14.5,0.00962943229794348,0.0107588761461757,0.97849096426329,-0.134500204929345,0.978490964270804,-0.134500204930302,0.00963413153334771,0.0108056056266812
15,0.00981915959625625,0.0110787150394462,0.977649561382205,-0.138937391636885,0.977649561389778,-0.138937391638295,0.00982434653549037,0.0111270565756429
15.5,0.0100135101714452,0.0113938961986784,0.976790613700423,-0.143361874251069,0.976790613708022,-0.143361874252931,0.010019204678903,0.011443847804351
16,0.0102123338113632,0.0117043455586017,0.975914494812125,-0.14777398125872,0.975914494819718,-0.147773981261027,0.0102185559230312,0.0117559049066749
16.5,0.0104154796726574,0.0120099950737327,0.975021538198807,-0.152174043116471,0.975021538206367,-0.152174043119218,0.0104222495814674,0.0120631594824516
17,0.0106227965551581,0.0123107826557294,0.974112039370457,-0.15656238924984,0.974112039377952,-0.156562389253019,0.0106301345955212,0.0123655490759358
17.5,0.010834133168059,0.0126066520974013,0.973186258113793,-0.160939345434543,0.973186258121198,-0.160939345438142,0.0108420597996713,0.0126630171009188
18,0.0110493383872638,0.0128975529841706,0.972244420802614,-0.16530523153999,0.972244420809904,-0.165305231543998,0.0110578741782701,0.0129555127533467
18.5,0.0112682615033057,0.0131834405937927,0.971286722731463,-0.169660359611991,0.971286722738613,-0.169660359616396,0.0112774271129314,0.0132429909122118
19,0.0114907524593737,0.0134642757851395,0.970313330439771,-0.174005032269686,0.970313330446761,-0.174005032274469,0.0115005686201042,0.0135254120295425
19.5,0.0117166620789921,0.0137400248769302,0.969324383999227,-0.17833954139072,0.969324384006038,-0.178339541395868,0.0117271495783953,0.0138027420103182
20,0.0119458422830048,0.0140106595171869,0.968319999242153,-0.182664167058297,0.968319999248765,-0.182664167063793,0.0119570219452928,0.0140749520831522
20.5,0.0121781462955727,0.0142761565443488,0.967300269913327,-0.186979176744025,0.967300269919724,-0.18697917674985,0.0121900389629864,0.0143420186625915
21,0.0124134288389439,0.0145364978408056,0.96626526973176,-0.191284824701199,0.966265269737928,-0.191284824707336,0.0124260553530506,0.0146039232038455
21.5,0.0126515463168419,0.0147916701797355,0.965215054352556,-0.195581351544258,0.965215054358482,-0.195581351550688,0.0126649274998261,0.0148606520507952
22,0.0128923569863637,0.015041665066061,0.964149663222085,-0.199868983991437,0.964149663227757,-0.199868983998143,0.0129065136223903,0.0151121962780945
22.5,0.0131357211183252,0.0152864785723152,0.96306912132236,-0.204147934749215,0.963069121327768,-0.204147934756178,0.0131506739350596,0.0153585515281596
23,0.0133815011460789,0.0155261111702161,0.961973440802765,-0.208418402518736,0.961973440807902,-0.208418402525936,0.0133972707964194,0.0155997178438279
23.5,0.0136295618028362,0.0157605675587074,0.960862622499113,-0.212680572106019,0.960862622503972,-0.212680572113438,0.0136461688469448,0.0158356994974467
24,0.0138797702476162,0.0159898564892078,0.959736657341524,-0.216934614619498,0.9597366573461,-0.216934614627118,0.0138972351352971,0.0160665048171293
24.5,0.0141319961799488,0.0162139905887562,0.958595527653825,-0.221180687739998,0.958595527658111,-0.221180687747801,0.0141503392334397,0.0162921460108654
25,0.0143861119435307,0.016432986181762,0.95743920834809,-0.225418936049858,0.957439208352085,-0.225418936057826,0.0144053533407554,0.0165126389891794
25.5,0.0146419926190473,0.0166468631109613,0.956267668018662,-0.229649491409397,0.956267668022363,-0.229649491417513,0.0146621523773848,0.0167280031869566
26,0.0148995161064204,0.0168556445582306,0.955080869940457,-0.233872473370303,0.955080869943864,-0.23387247337855,0.0149206140670253,0.0169382613850646
26.5,0.0151585631967651,0.0170593568658068,0.953878772976749,-0.238087989616825,0.953878772979861,-0.238087989625187,0.0151806190094857,0.0171434395323322
27,0.0154190176343616,0.0172580293584499,0.95266133240176,-0.242296136426871,0.952661332404577,-0.24229613643533,0.0154420507432853,0.017343566568419
27.5,0.0156807661689793,0.0174516941670735,0.951428500643516,-0.246496999146152,0.951428500646041,-0.246496999154694,0.0157047957986368,0.0175386742480852
28,0.0159436985989051,0.017640386054278,0.950180227952392,-0.250690652669537,0.950180227954627,-0.250690652678149,0.0159687437411531,0.0177287969673252
28.5,0.0162077078050412,0.017824142242246,0.948916463000674,-0.254877161924663,0.948916463002623,-0.254877161933328,0.0162337872066499,0.0179139715917975
29,0.0164726897764464,0.0180030022433662,0.947637153418354,-0.259056582353615,0.947637153420019,-0.25905658236232,0.016499821927405,0.0180942372879218
29.5,0.0167385436277357,0.0181770076939622,0.946342246270147,-0.263228960389226,0.946342246271534,-0.263228960397958,0.0167667467502811,0.0182696353570466
30,0.0170051716087012,0.0183462021914405,0.945031688478549,-0.267394333923138,0.945031688479661,-0.267394333931885,0.0170344636470908,0.0184402090729585
30.5,0.0172724791065881,0.0185106311351491,0.94370542719745,-0.271552732763339,0.943705427198292,-0.271552732772087,0.017302877717608,0.0186060035230646
31,0.0175403746414188,0.0186703415711966,0.942363410140638,-0.27570417907932,0.942363410141216,-0.275704179088059,0.0175718971856301,0.0187670654534817
31.5,0.0178087698547639,0.0188253820414659,0.941005585869197,-0.279848687833477,0.941005585869518,-0.279848687842197,0.0178414333884933,0.0189234431182645
32,0.0180775794923833,0.0189758024370064,0.939631904041598,-0.283986267197665,0.939631904041668,-0.283986267206354,0.0181114007604383,0.019075186132971
32.5,0.0183467213811204,0.0191216538559742,0.938242315629967,-0.288116918954162,0.938242315629793,-0.288116918962812,0.0183817168102284,0.0192223453327278
33,0.0186161164004505,0.019262988466249,0.936836773105813,-0.292240638880563,0.936836773105401,-0.292240638889164,0.0186523020934101,0.0193649726349285
33.5,0.0188856884490792,0.019399859372851,0.935415230598212,-0.296357417118295,0.935415230597569,-0.296357417126838,0.0189230801796054,0.0195031209066865
34,0.0191553644069568,0.0195323204902269,0.933977644027217,-0.300467238524692,0.93397764402635,-0.30046723853317,0.01919397761521,0.0196368438371215
34.5,0.0194250740930977,0.0196604264194773,0.932523971215052,-0.304570083008668,0.932523971213969,-0.304570083017072,0.0194649238818724,0.0197661958145527
35,0.019694750219547,0.0197842323305548,0.931054171977424,-0.308665925850193,0.931054171976133,-0.308665925858518,0.0197358513511051,0.0198912318086173
35.5,0.019964328341861,0.0199037938494653,0.92956820819708,-0.31275473800384,0.929568208195586,-0.312754738012076,0.0200066952353865,0.0200120072573735
36,0.0202337468064243,0.0200191669504584,0.928066043881548,-0.316836486386783,0.928066043879862,-0.316836486394926,0.02027739353608,0.0201285779593472
36.5,0.0205029466949482,0.0201304078532012,0.92654764520687,-0.320911134151676,0.926547645204997,-0.32091113415972,0.0205478869885035,0.020240999970548
37,0.0207718717664349,0.02023757292489,0.925012980548878,-0.3249786409449,0.925012980546827,-0.324978640952839,0.0208181190044516,0.0203493295063868
37.5,0.0210404683969372,0.0203407185872631,0.923462020503523,-0.329038963150684,0.923462020501301,-0.329038963158515,0.0210880356124782,0.0204536228484775
38,0.021308685517373,0.020439901228448,0.921894737897542,-0.333092054121652,0.921894737895158,-0.333092054129371,0.021357585396216,0.0205539362562457
38.5,0.0215764745496882,0.020535177119571,0.920311107790675,-0.337137864396348,0.920311107788136,-0.337137864403949,0.0216267194310117,0.0206503258832915
39,0.0218437893416034,0.0206266023360471,0.918711107470481,-0.341176341904307,0.918711107467795,-0.341176341911787,0.0218953912191271,0.0207428476983977
39.5,0.0221105861002087,0.0207142326834491,0.917094716440748,-0.345207432159251,0.917094716437922,-0.345207432166607,0.0221635566237535,0.0208315574111211
40,0.0223768233246246,0.0207981236278685,0.915461916404336,-0.349231078440952,0.915461916401378,-0.34923107844818,0.0224311738020715,0.0209165104018532
40.5,0.0226424617379458,0.0208783302306557,0.913812691241253,-0.353247221966336,0.913812691238169,-0.353247221973435,0.0226982031375685,0.0209977616562442
41,0.0229074642186789,0.0209549070874089,0.912147026982638,-0.357255802050374,0.912147026979437,-0.35725580205734,0.0229646071718203,0.0210753657038807
41.5,0.0231717957318531,0.0210279082711227,0.9104649117813,-0.361256756257286,0.91046491177799,-0.361256756264118,0.0232303505359237,0.0211493765610959
42,0.0234354232599903,0.0210973872793381,0.908766335879337,-0.365250020542573,0.908766335875924,-0.365250020549269,0.0234953998817616,0.0212198476777963
42.5,0.0236983157340916,0.0211633969852041,0.907051291573347,-0.36923552938638,0.907051291569839,-0.369235529392939,0.0237597238132641,0.0212868318881794
43,0.0239604439648,0.0212259895922862,0.905319773177671,-0.373213215918675,0.905319773174074,-0.373213215925095,0.0240232928178138,0.0213503813651978
43.5,0.0242217805738697,0.0212852165930131,0.903571776986038,-0.377183012036689,0.903571776982359,-0.37718301204297,0.0242860791979458,0.0214105475786721
44,0.0244822999260843,0.0213411287306251,0.90180730123198,-0.38114484851508,0.901807301228227,-0.381144848521221,0.024548057003465,0.0214673812568844
44.5,0.0247419780617309,0.0213937759644831,0.900026346048298,-0.385098655109223,0.900026346044477,-0.385098655115224,0.0248092019640983,0.0215209323515528
45,0.0250007926297381,0.0214432074386162,0.898228913425854,-0.389044360652037,0.898228913421972,-0.389044360657898,0.0250694914228001,0.0215712500060303
45.5,0.0252587228215929,0.0214894714533691,0.896415007171928,-0.392981893144733,0.89641500716799,-0.392981893150454,0.0253289042698001,0.0216183825266172
46,0.0255157493060955,0.0215326154400175,0.894584632868333,-0.39691117984184,0.894584632864347,-0.39691117984742,0.0255874208774854,0.0216623773568414
46.5,0.0257718541650634,0.0215726859382275,0.892737797829478,-0.400832147330849,0.89273779782545,-0.400832147336289,0.0258450230362012,0.0217032810545872
47,0.026027020830027,0.0216097285762287,0.89087451106052,-0.404744721606814,0.890874511056455,-0.404744721612115,0.0261016938910342,0.0217411392719356
47.5,0.026281234020002,0.0216437880535638,0.888994783215748,-0.40864882814221,0.888994783211653,-0.408648828147374,0.0263574178796492,0.0217759967376048
48,0.0265344796803804,0.0216749081263186,0.887098626557312,-0.412544391952326,0.887098626553193,-0.412544391957352,0.0266121806712352,0.0218078972418621
48.5,0.02678674492299,0.0217031315946805,0.885186054914392,-0.416431337656491,0.885186054910253,-0.416431337661381,0.0268659691065981,0.0218368836237711
49,0.0270380179673692,0.0217285002927277,0.883257083642888,-0.420309589535374,0.883257083638736,-0.420309589540129,0.0271187711394585,0.0218629977606888
49.5,0.0272882880832854,0.0217510550803287,0.881311729585711,-0.424179071584604,0.881311729581551,-0.424179071589225,0.0273705757789804,0.0218862805598723
50,0.0275375455345321,0.021770835837042,0.879350011033714,-0.428039707564941,0.879350011029551,-0.42803970756943,0.0276213730335608,0.0219067719520949
50.5,0.0277857815240187,0.0217878814579017,0.877371947687335,-0.431891421049222,0.877371947683175,-0.43189142105358,0.0278711538559079,0.021924510887157
51,0.0280329881401835,0.0218022298509946,0.875377560618966,-0.435734135466258,0.875377560614814,-0.435734135470488,0.0281199100894232,0.0219395353311997
51.5,0.0282791583047348,0.0218139179367213,0.873366872236096,-0.439567774141903,0.873366872231956,-0.439567774146005,0.0283676344159099,0.0219518822657089
52,0.0285242857217322,0.0218229816486413,0.871339906245239,-0.443392260337453,0.871339906241115,-0.443392260341432,0.0286143203046042,0.0219615876881107
52.5,0.0287683648280133,0.0218294559358139,0.869296687616671,-0.447207517285553,0.869296687612569,-0.447207517289408,0.0288599619625488,0.0219686866138817
