"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00543874069074946,0,0.994574907846982,0,0.994574911441305,0,0.00543873526027028,0
0.5,0.00598700880911451,0.000241682659865461,0.993991839656672,-0.00563846209232466,0.993991839737298,-0.00563846156881809,0.00598677916443791,0.000242247099198067
1,0.00648524641095349,-0.00019526224384947,0.993420474285884,-0.0105958287178929,0.993420474345029,-0.0105958287696062,0.00648462964666763,-0.000193905938566274
1.5,0.00679449002390697,-0.000774355640643876,0.992993824489753,-0.0154032378668099,0.992993824476446,-0.0154032379895348,0.00679328633200882,-0.000772124641997607
2,0.00697262340979066,-0.00137928283818312,0.992658503098326,-0.0201722692376656,0.992658503020552,-0.0201722693618578,0.00697084903712408,-0.00137597114198584
2.5,0.00708638059709976,-0.00197347328143316,0.992349814831622,-0.0249409764187529,0.992349814717114,-0.0249409765200319,0.0070840533573886,-0.0019690011131086
3,0.00716796179243406,-0.00255550411972294,0.992036576761504,-0.0297104538593835,0.992036576631732,-0.0297104539329602,0.00716506459126443,-0.00254982688154293
3.5,0.00723197482988258,-0.00312933529702875,0.991705552396914,-0.0344759333782818,0.991705552266189,-0.0344759334262985,0.00722847009516414,-0.00312240928650809
4,0.00728523396842817,-0.00369857078603353,0.99135160635872,-0.0392331486634117,0.991351606236247,-0.0392331486902595,0.00728107770308117,-0.00369034433261817
4.5,0.00733105932266653,-0.00426572521694446,0.990973205608959,-0.0439792541983071,0.990973205500462,-0.0439792542089119,0.00732620976335729,-0.00425613863176899
5,0.00737115726144966,-0.00483241679715896,0.990570379929038,-0.0487126469208601,0.990570379837783,-0.0487126469199453,0.00736557932962123,-0.00482140508661111
5.5,0.00740647219745272,-0.0053996522748232,0.990143765462309,-0.0534326302459629,0.990143765389751,-0.0534326302377792,0.00740013915755844,-0.00538714832865672
6,0.00743758408629391,-0.00596805132568079,0.989694148306723,-0.0581391160430673,0.989694148252945,-0.0581391160312084,0.00743047748255776,-0.00595398867933739
6.5,0.00746489650202053,-0.00653800062914733,0.989222252712413,-0.0628323946996954,0.989222252676432,-0.0628323946870282,0.00745700514041481,-0.00652231549834781
7,0.00748872522437227,-0.00710975377497558,0.988728653945991,-0.0675129674378079,0.988728653926007,-0.0675129674264294,0.00748004372512279,-0.00709238634375531
7.5,0.00750933897444162,-0.00768349372822286,0.9882137553702,-0.0721814287744449,0.988213755363781,-0.0721814287656617,0.00749986623105969,-0.00766438879912101
8,0.00752697729365726,-0.00825937062465076,0.987677797544887,-0.0768383874617902,0.987677797549131,-0.0768383874561192,0.00751671503279816,-0.00823847778206321
8.5,0.00754185782184591,-0.00883752379661384,0.987120881687312,-0.0814844160502126,0.987120881698976,-0.0814844160474086,0.00753080935932204,-0.00881479723159195
9,0.00755417895417831,-0.00941809397384397,0.98654299780404,-0.0861200211428148,0.986542997819644,-0.0861200211418938,0.00754234817871924,-0.00939349209548457
9.5,0.00756412072238155,-0.0100012295249714,0.985944052365897,-0.0907456281569248,0.985944052381821,-0.0907456281562036,0.00755151130153664,-0.00997471445442866
10,0.00757184518372256,-0.0105870891998103,0.985323893043536,-0.0953615759014204,0.98532389305608,-0.0953615758985542,0.00755845996724613,-0.0105586262154036
10.5,0.00757965224283641,-0.0111541278986138,0.984670450282988,-0.100013302954536,0.984670450295938,-0.100013302952051,0.00756522449412556,-0.0111235858258567
11,0.00758528771010664,-0.0117258011417078,0.983992848813985,-0.104651824041292,0.983992848827308,-0.104651824039224,0.00756982153420249,-0.0116931109694844
11.5,0.00758846414629255,-0.012302147153906,0.983291751802291,-0.109277189413248,0.983291751815948,-0.109277189411629,0.00757196853745856,-0.0122672416942695
12,0.00758889550561176,-0.0128831863581054,0.982567786544928,-0.113889488393257,0.982567786558878,-0.113889488392111,0.00757138406512053,-0.0128460006086177
12.5,0.00758629830726199,-0.0134689218951678,0.981821542919949,-0.118488844312226,0.981821542934151,-0.118488844311577,0.00756778893596521,-0.0134293933641567
13,0.00758039272940689,-0.0140593402205207,0.981053572442959,-0.123075409594031,0.981053572457369,-0.123075409593898,0.00756090729978998,-0.0140174092139853
13.5,0.00757090362153137,-0.0146544117675296,0.980264387869868,-0.127649361048268,0.980264387884445,-0.127649361048659,0.00755046763387723,-0.0146100216370639
14,0.0075575614322741,-0.0152540916677291,0.979454463282665,-0.132210895417775,0.979454463297369,-0.132210895418703,0.00753620365943736,-0.0152071890193453
14.5,0.00754010305098507,-0.0158583205181042,0.97862423459432,-0.136760225215855,0.978624234609106,-0.136760225217324,0.00751785517609069,-0.015808855382291
15,0.00751827256232698,-0.0164670251858916,0.977774100410048,-0.141297574877182,0.977774100424877,-0.141297574879192,0.00749516881347082,-0.0164149511497826
15.5,0.00749182191422765,-0.0170801196418209,0.976904423184664,-0.145823177236727,0.976904423199496,-0.145823177239277,0.00746789869997836,-0.0170253939446754
16,0.00746051150036937,-0.0176975058130657,0.976015530619273,-0.15033727034255,0.97601553063407,-0.150337270345636,0.00743580704955732,-0.0176400894066258
16.5,0.00742411065917552,-0.0183190744478345,0.975107717244854,-0.154840094601247,0.975107717259579,-0.154840094604861,0.00739866466813373,-0.0182589320234343
17,0.00738239809196726,-0.0189447059840435,0.974181246145081,-0.159331890248885,0.974181246159699,-0.159331890253018,0.00735625138202869,-0.0188818059685554
17.5,0.00733516220350799,-0.0195742714151801,0.973236350775769,-0.163812895135681,0.973236350790249,-0.16381289514032,0.00730835639122081,-0.0195085859380857
18,0.00728220136866415,-0.0202076331471099,0.972273236843426,-0.168283342808986,0.972273236857737,-0.168283342814115,0.00725477855082621,-0.0201391379811078
18.5,0.00722332412926917,-0.0208446458402922,0.97129208421041,-0.172743460876629,0.971292084224521,-0.172743460882233,0.00719532658453792,-0.0207733203179421
19,0.00715834932559271,-0.0214851572324486,0.970293048799031,-0.177193469630831,0.970293048812917,-0.177193469636889,0.00712981923408952,-0.0214109841413985
19.5,0.00708710616700187,-0.0221290089374966,0.969276264471432,-0.1816335809119,0.969276264485068,-0.181633580918397,0.00705808534900153,-0.0220519743968497
20,0.00700943424653816,-0.0227760372171022,0.968241844866268,-0.186063997190549,0.96824184487963,-0.186063997197464,0.00697996392104622,-0.0226961305374394
20.5,0.00692518350420773,-0.0234260737218874,0.967189885177007,-0.190484910847673,0.967189885190078,-0.190484910854984,0.00689530406792399,-0.0233432872514143
21,0.00683421414373731,-0.0240789461998627,0.966120463860069,-0.194896503630981,0.966120463872827,-0.194896503638668,0.00680396497066721,-0.0239932751590715
21.5,0.00673639650752589,-0.0247344791702311,0.965033644263987,-0.199298946268648,0.965033644276418,-0.199298946276687,0.00670581576925186,-0.0246459214773238
22,0.00663161091439179,-0.0253924945611668,0.963929476173432,-0.203692398221122,0.963929476185522,-0.203692398229491,0.00660073542081871,-0.025301050650433
22.5,0.00651974746457842,-0.0260528123106889,0.962807997264141,-0.208077007553458,0.962807997275876,-0.208077007562136,0.0064886125247707,-0.0259584849458223
23,0.00640070581628194,-0.0267152509301267,0.961669234466688,-0.212452910911779,0.961669234478056,-0.212452910920741,0.00636934511886211,-0.0266180450143709
23.5,0.00627439493778198,-0.0273796280300433,0.960513205238631,-0.216820233588777,0.960513205249625,-0.216820233598003,0.00624284045022544,-0.0272795504148844
24,0.00614073283901131,-0.0280457608088476,0.959339918745869,-0.22117908966453,0.959339918756479,-0.221179089673997,0.00610901472504649,-0.0279428201028282
24.5,0.00599964628616328,-0.0287134665045854,0.958149376955022,-0.2255295822102,0.958149376965244,-0.225529582219886,0.00596779284041493,-0.0286076728836417
25,0.00585107050269773,-0.0293825628106448,0.956941575639579,-0.229871803543453,0.956941575649407,-0.229871803553336,0.00581910810162287,-0.0292739278312419
25.5,0.00569494885982347,-0.0300528682563508,0.955716505303037,-0.234205835525674,0.955716505312468,-0.234205835535735,0.00566290192795166,-0.029941404672515
26,0.00553123255931542,-0.0307242025535723,0.954474152022856,-0.23853174989217,0.954474152031887,-0.238531749902384,0.00549912354976378,-0.0306099241387972
26.5,0.00535988031124512,-0.0313963869106102,0.953214498219253,-0.242849608607633,0.953214498227883,-0.242849608617983,0.00532772969945344,-0.0312793082854594
27,0.00518085800896578,-0.0320692443147528,0.951937523353127,-0.247159464240131,0.951937523361358,-0.247159464250597,0.00514868429860443,-0.031949380780858
27.5,0.00499413840345186,-0.0327425997849873,0.950643204557472,-0.251461360347782,0.950643204565303,-0.251461360358346,0.00496195814344652,-0.0326199671660175
28,0.00479970077887182,-0.033416280596362,0.949331517206659,-0.255755331873083,0.949331517214092,-0.255755331883725,0.00476752859051027,-0.0332908950864175
28.5,0.00459753063103108,-0.0340901164775964,0.948002435427925,-0.260041405540631,0.948002435434963,-0.260041405551334,0.00456537924414102,-0.0339619944973983
29,0.00438761935014448,-0.0347639397834931,0.946655932559318,-0.264319600254599,0.946655932565965,-0.264319600265347,0.00435549964736903,-0.0346330978446088
29.5,0.00416996390918178,-0.0354375856437843,0.945291981558184,-0.268589927492976,0.945291981564444,-0.26858992750375,0.00413788497739204,-0.0353040402210656
30,0.00394456655885134,-0.036110892089926,0.943910555364144,-0.272852391696025,0.943910555370022,-0.272852391706812,0.00391253574681671,-0.0359746595022552
