"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00537120703341998,0,0.994642162972013,0,0.994642164718243,0,0.00537120850231076,0
0.5,0.0057743764459488,0.00151029747081211,0.99419224460199,-0.00559118185361385,0.994192244832909,-0.00559118252780166,0.00577408236293664,0.00151114180449596
1,0.00615994199752024,0.00251994061794036,0.993701357225074,-0.0106719651815581,0.993701357188694,-0.0106719651870861,0.00615910511292128,0.00252191027361803
1.5,0.00637784554013265,0.00337441280280615,0.993280180451704,-0.0158045612632698,0.993280180418664,-0.0158045612700057,0.00637593719199181,0.00337736884089068
2,0.00650322991601904,0.0042465338486366,0.992823944137517,-0.0207970933556219,0.992823944109931,-0.0207970933633916,0.00650037526093517,0.00425093955876221
2.5,0.00659574793423623,0.00514319292743259,0.992372677464386,-0.0256858075970587,0.992372677443645,-0.0256858076061715,0.00659203111743789,0.00514916307629498
3,0.00667844817380203,0.00605810078636182,0.991938088023742,-0.0305059633420335,0.9919380880104,-0.0305059633527911,0.00667386575277718,0.00606565988507413
3.5,0.00676104582703996,0.00698594200753178,0.991517018059386,-0.035282772304992,0.991517018053348,-0.0352827723174265,0.0067555427708208,0.00699509595442116
4,0.00684811091238524,0.00792322527484934,0.991100907621922,-0.0400317204115233,0.991100907622681,-0.0400317204253717,0.00684160402464551,0.00793398019608382
4.5,0.00694201895920887,0.00886773711800615,0.990680443895793,-0.0447614370447642,0.990680443902583,-0.0447614370595488,0.00693440911398424,0.008880104146332
5,0.00704412082992167,0.00981806948316244,0.990247323345478,-0.0494763260001569,0.990247323357377,-0.0494763260152675,0.00703529932507552,0.00983206568476636
5.5,0.0071552522333318,0.0107733193711663,0.989794684763323,-0.0541783731342926,0.989794684779309,-0.0541783731491083,0.00714510419485381,0.0107889676472359
6,0.00727597451656736,0.0117329066877732,0.989317036847917,-0.0588682535882175,0.989317036866909,-0.0588682536021414,0.00726438078842961,0.011750235465545
6.5,0.00740669661854942,0.0126964630858621,0.988810040732125,-0.0635459713898738,0.98881004075301,-0.0635459714023918,0.0073935348434484,0.012715506030009
7,0.00754774058027352,0.0136637626530698,0.988270284039448,-0.068211214951428,0.988270284061108,-0.0682112149621279,0.00753288582998435,0.0136845584525354
7.5,0.00769937856359992,0.0146346775691519,0.987695088498323,-0.0728635474730179,0.987695088519652,-0.072863547481596,0.0076827037088818,0.0146572698023206
8,0.00786185471873518,0.0156091489928771,0.987082357395091,-0.0775025038043919,0.987082357415019,-0.0775025038106723,0.00784323064344522,0.0156335860606136
8.5,0.00803539862519864,0.0165871674665548,0.986430457673384,-0.0821276353843876,0.986430457690888,-0.0821276353882938,0.00801469434447694,0.0166135025811069
9,0.00822023386120019,0.0175687594134812,0.985738129203409,-0.0867385271027299,0.985738129217525,-0.0867385271042878,0.00819731657920936,0.0175970506330492
9.5,0.00841658366057069,0.0185539776253041,0.985004414504183,-0.0913347996234082,0.985004414514018,-0.0913347996227341,0.00839131878949168,0.0185842879263891
10,0.0086246747771106,0.0195428944171949,0.984228603668855,-0.0959161047816277,0.984228603673588,-0.0959161047789081,0.00859692593111233,0.0195752917988825
10.5,0.00886336391667292,0.0204927213413897,0.983508573263207,-0.100554647307358,0.983508573268139,-0.100554647304691,0.00883359724397476,0.0205268457248531
11,0.00911302811912069,0.0214386492019787,0.982764471988798,-0.105175841720135,0.98276447199392,-0.105175841717537,0.00908113965877738,0.0214745184625964
11.5,0.00937357622994713,0.0223805151247864,0.981997216049424,-0.109779851856189,0.981997216054726,-0.109779851853671,0.00933946138650786,0.0224181484770241
12,0.00964491381795322,0.0233181591968128,0.981207666196041,-0.114366894465927,0.981207666201512,-0.114366894463501,0.0096084673654296,0.0233575772513461
12.5,0.00992694329396818,0.0242514245536127,0.980396626015465,-0.118937231582184,0.980396626021094,-0.118937231579857,0.00988805938356577,0.0242926493747921
