"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00315342244084604,0,0.996858626196627,0,0.996858621336287,0,0.00315341925048074,0
0.5,0.00349871065667173,0.000317450433293232,0.996494307117842,-0.0030808449641313,0.996494306971002,-0.00308084574404788,0.00349863168149511,0.000317658047244151
1,0.00387176322904992,0.000196220323793739,0.996097772623955,-0.00572181725349807,0.996097772443562,-0.00572181732474775,0.00387155273880069,0.000196719614578456
1.5,0.00414677456257095,-2.46208039307305E-005,0.995818887514648,-0.00836697435654443,0.995818887380903,-0.00836697443783407,0.00414639978915332,-2.38996026880045E-005
2,0.00433024790913095,-0.000310432657816051,0.995568271067111,-0.0109006139254078,0.995568270987071,-0.0109006140037202,0.00432965677100228,-0.000309426917386446
2.5,0.00445145943733039,-0.000608118969743998,0.995360087035248,-0.0133703509875502,0.995360087004997,-0.0133703510542595,0.00445063239840238,-0.000606791970593434
3,0.00453590944339766,-0.000901760369757199,0.995186423204437,-0.0158079260887192,0.99518642321393,-0.0158079261389368,0.00453482920816128,-0.000900096084841095
3.5,0.0045992042301588,-0.00118828094569423,0.995034884372801,-0.0182308535243507,0.995034884410364,-0.0182308535564282,0.00459784829048715,-0.00118627344765088
4,0.00465036670042807,-0.001468375375552,0.994894835094433,-0.0206480987859159,0.994894835149353,-0.0206480988006348,0.00464870700032449,-0.00146602300151599
4.5,0.00469468241518456,-0.00174361637828113,0.994758522864815,-0.0230640877241264,0.994758522928437,-0.0230640877238457,0.00469268628950914,-0.00174091907969398
5,0.00473535540181391,-0.00201560043493743,0.994620645842687,-0.0254809174849626,0.994620645908542,-0.0254809174727875,0.00473298640056274,-0.00201255864185867
5.5,0.00477440886369962,-0.00228573437698643,0.99447767179836,-0.0278994912510591,0.994477671861914,-0.0278994912302792,0.00477162726602742,-0.00228234853221565
6,0.00481317680566118,-0.00255521589569163,0.994327268794906,-0.0303200950736215,0.99432726885315,-0.030320095047335,0.0048099398746535,-0.00255148628190227
6.5,0.00485257918754201,-0.00282506601836019,0.994167898539444,-0.0327426956221526,0.994167898590505,-0.0327426955931376,0.00484884123958551,-0.00282099271416492
7,0.00489328089372743,-0.00309616945462565,0.993998543064342,-0.0351670973779168,0.993998543107158,-0.0351670973485412,0.00488899323757996,-0.00309175234791148
7.5,0.00493578668150541,-0.0033693103838548,0.99381852561184,-0.0375930272886915,0.993818525645898,-0.0375930272609182,0.00493089746238073,-0.0033645492111134
8,0.0049804997982501,-0.00364520135977919,0.99362739429866,-0.0400201808694156,0.993627394323823,-0.0400201808448628,0.00497495376793733,-0.00364009575815594
8.5,0.00502775937853661,-0.00392450599046867,0.993424846593263,-0.0424482472440015,0.99342484660963,-0.0424482472239411,0.00502149760310688,-0.00391905555716932
9,0.00507786511579322,-0.00420785670314494,0.993210680083681,-0.0448769224359182,0.993210680091489,-0.0448769224213734,0.00507082462628627,-0.00420206106100629
9.5,0.00513109412666601,-0.00449586884262487,0.992984760165764,-0.0473059160150111,0.99298476016534,-0.047305916006783,0.00512320751393291,-0.00448972771216383
10,0.00518771293923681,-0.0047891521185619,0.992746998661718,-0.0497349539754754,0.992746998653427,-0.049734953974184,0.00517890789109332,-0.004782665397979
10.5,0.00523491910514284,-0.00508144644605046,0.992516340198861,-0.05215628862946,0.992516340190454,-0.0521562886275291,0.00521987425140424,-0.00507694606061015
11,0.00528016931508146,-0.00537605122154616,0.99227983524328,-0.0545716122481625,0.992279835234821,-0.0545716122455957,0.0052591759752274,-0.00537255274108972
11.5,0.00532354166481963,-0.0056728101920438,0.992037789893256,-0.0569811619361396,0.992037789884804,-0.0569811619329421,0.00529696035523219,-0.00566949198707967
12,0.00536510928240053,-0.00597159759310983,0.99179047235835,-0.0593851830414707,0.991790472349964,-0.0593851830376462,0.00533334139093844,-0.00596778345613913
12.5,0.00540493812331544,-0.00627231271761275,0.991538114978492,-0.0617839248999434,0.991538114970224,-0.0617839248955114,0.00536840457445797,-0.006267454576939
13,0.00544308573214281,-0.00657487519621824,0.991280916541849,-0.0641776371836382,0.991280916533749,-0.0641776371786165,0.00540221117089867,-0.00656853666679247
13.5,0.00547960070039011,-0.00687922095947258,0.991019044793586,-0.0665665668290156,0.991019044785703,-0.066566566823429,0.00543480198628288,-0.00687106213405109
14,0.00551452261325536,-0.00718529882561469,0.990752639043966,-0.068950955507419,0.990752639036339,-0.0689509555012924,0.00546620065014491,-0.00717506248745536
14.5,0.00554788232910419,-0.00749306764655522,0.990481812800364,-0.0713310375927776,0.990481812793032,-0.0713310375861402,0.00549641645614452,-0.00748056694529353
15,0.0055797024757358,-0.00780249394189259,0.990206656362871,-0.0737070385767371,0.990206656355865,-0.0737070385696263,0.00552544680953837,-0.00778760149017632
15.5,0.00560999807856766,-0.00811354995334579,0.989927239336854,-0.0760791738797275,0.989927239330204,-0.0760791738721744,0.00555327933011507,-0.00809618825467684
16,0.00563877725974982,-0.00842621205742944,0.989643613027955,-0.0784476480068923,0.989643613021686,-0.0784476479989307,0.00557989365603107,-0.00840634515228267
16.5,0.00566604196496401,-0.00874045948072055,0.989355812695367,-0.080812653999736,0.989355812689499,-0.0808126539914023,0.00560526298940822,-0.00871808568980725
17,0.00569178868802844,-0.00905627326908576,0.98906385964793,-0.0831743731375738,0.989063859642479,-0.0831743731289016,0.00562935541968757,-0.00903141891351478
17.5,0.00571600917319892,-0.00937363546883407,0.988767763174722,-0.0855329748465872,0.988767763169702,-0.0855329748376157,0.00565213505598405,-0.00934634945314983
18,0.00573869108220115,-0.00969252848387558,0.988467522307495,-0.0878886167784128,0.988467522302918,-0.0878886167691784,0.00567356299529564,-0.00966287763684903
18.5,0.00575981861816549,-0.0100129345785556,0.988163127416692,-0.0902414450246551,0.988163127412561,-0.090241445015188,0.00569359814954817,-0.00998099965668064
