"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00544782399987298,0,0.994565837929258,0,0.994565838540439,0,0.00544782397321342,0
0.5,0.0058659495303921,0.00176616334347202,0.994097263619704,-0.00571718437172208,0.994097263674938,-0.00571718493725015,0.00586585279227592,0.00176649807304585
1,0.00626008682557,0.00301370305383486,0.993586324360351,-0.0109054234660313,0.993586324429494,-0.0109054234436918,0.00625983193753754,0.0030144960297136
1.5,0.00644885357896108,0.00408667464962065,0.993152084982544,-0.016158483933161,0.993152085058053,-0.0161584839127897,0.00644812444185305,0.00408790299836781
2,0.00655686847657577,0.00520429740972972,0.992672225927937,-0.0212668009394381,0.992672226002814,-0.0212668009258064,0.00655591992618376,0.00520622055137565
2.5,0.00664245724792334,0.00635354748981776,0.992190049635377,-0.0262624410536727,0.992190049703146,-0.0262624410471766,0.006641442941965,0.00635620992565755
3,0.00672480095360095,0.00752307437973343,0.991721186133887,-0.0311799389434579,0.991721186190554,-0.0311799389422625,0.0067238100774567,0.00752648002126044
3.5,0.00681140982031136,0.00870634686364724,0.99126509382649,-0.036045808774551,0.991265093870491,-0.036045808776441,0.0068105011147459,0.00871049445883187
4,0.00690569834998334,0.00989968855066081,0.990814376656139,-0.0408774141034431,0.990814376687606,-0.0408774141066228,0.00690491591697739,0.00990457909399645
4.5,0.00700942707132035,0.0111009922602516,0.990359922225624,-0.0456851135337075,0.990359922245694,-0.045685113536992,0.00700880769315337,0.0111066302868696
5,0.00712361280388341,0.012309036429242,0.989893140586182,-0.0504746811221812,0.989893140596515,-0.0504746811249097,0.00712318956048086,0.0123154299357706
5.5,0.00724891041849829,0.0135231212777542,0.989406705642377,-0.0552491256870562,0.989406705644866,-0.0552491256889223,0.00724871461482079,0.0135302813921809
6,0.00738578885725549,0.0147428679517105,0.988894647662531,-0.0600098717068338,0.988894647659138,-0.0600098717077389,0.00738585113127066,0.0147508086192092
6.5,0.00753461883133,0.0159681028704561,0.988352211040603,-0.0647574720865061,0.988352211033255,-0.064757472086427,0.00753496984157231,0.0159768406062497
7,0.00769571944635228,0.0171987884046008,0.987775654580549,-0.069492019664195,0.987775654571089,-0.0694920196631239,0.00769639033316516,0.0172083421111786
7.5,0.00786938442165674,0.0184349797820227,0.987162060869909,-0.0742133765033834,0.987162060860059,-0.0742133765012802,0.00787040714181142,0.0184453706173775
8,0.00805589759480679,0.0196767974114245,0.986509174461953,-0.0789212968385922,0.986509174453299,-0.0789212968353548,0.0080573051833604,0.0196880486954933
8.5,0.00825554253244165,0.0209244085828875,0.985815270660472,-0.0836154895910539,0.985815270654454,-0.0836154895865135,0.00825736932226373,0.0209365457319937
9,0.00846860877016908,0.0221780150474906,0.985079050913987,-0.0882956474919157,0.9850790509119,-0.088295647485845,0.00847089058708228,0.0221910655292525
9.5,0.0086953960608403,0.0234378443836505,0.984299559737887,-0.0929614584442495,0.984299559740881,-0.0929614584363696,0.00869817040538273,0.0234518376868706
10,0.00893621741502307,0.024704143861046,0.983476118586843,-0.0976126080034327,0.983476118595929,-0.0976126079934123,0.00893952363789449,0.0247191114765433
10.5,0.00921914008499422,0.025910456805005,0.982713241206737,-0.10232006388919,0.982713241217135,-0.102320063880119,0.00922313932955365,0.0259261509651063
11,0.0095152518577737,0.0271126191440287,0.981925452466023,-0.107008618120364,0.981925452477646,-0.107008618112338,0.00951997943091532,0.0271290361722842
11.5,0.00982446829326485,0.0283104513376591,0.981113747380959,-0.111678481626041,0.981113747393713,-0.111678481619151,0.00982995968787821,0.0283275872734472
12,0.0101467016970387,0.0295037762379695,0.980279056660484,-0.116329921377571,0.980279056674275,-0.116329921371892,0.0101529925943998,0.0295216268229859
12.5,0.0104818612053388,0.0306924191691302,0.979422245257042,-0.120963251649529,0.97942224527177,-0.12096325164513,0.0104889874767558,0.0307109798336032
13,0.010829852872439,0.0318762080034602,0.978544111919939,-0.125578825700003,0.978544111935501,-0.125578825696937,0.0108378505801428,0.031895473852166
13.5,0.0111905797601871,0.0330549732338716,0.977645389624199,-0.130177027956728,0.977645389640493,-0.130177027955038,0.0111994851574534,0.033074939031974
14,0.0115639420295782,0.0342285480426838,0.976726746747802,-0.134758266770942,0.976726746764725,-0.134758266770664,0.0115737915600797,0.0342492082014427
14.5,0.0119498370341854,0.0353967683667142,0.975788788873616,-0.139322967778877,0.975788788891065,-0.139322967780034,0.0119606673305642,0.0354181169291117
15,0.0123481594152756,0.0365594729586025,0.974832061098673,-0.143871567891396,0.974832061116549,-0.143871567894004,0.0123600072969429,0.0365815035849173
15.5,0.012758801198457,0.037716503444341,0.97385705074171,-0.148404509915919,0.973857050759917,-0.148404509919984,0.0127717036686091,0.0377392093977216
16,0.0131816518916703,0.0388677043769512,0.972864190349568,-0.152922237801205,0.97286419036801,-0.152922237806728,0.013195646133534,0.0388910785090189
16.5,0.0136165985843658,0.0400129232863136,0.971853860913509,-0.15742519248465,0.971853860932096,-0.157425192491623,0.0136317219566735,0.0400369580228532
17,0.014063526047695,0.0411520107250922,0.970826395217246,-0.161913808313537,0.970826395235892,-0.161913808321946,0.0140798160793951,0.0411766980518475
17.5,0.0145223168355473,0.0422848203107886,0.96978208124915,-0.166388510005413,0.96978208126777,-0.166388510015239,0.0145398112197645,0.042310151759418
18,0.0149928513862637,0.0434112087638932,0.968721165621342,-0.170849710108834,0.968721165639858,-0.170849710120052,0.0150115879735149,0.0434371753981213
18.5,0.0154750081248654,0.0445310359421454,0.96764385694807,-0.175297806923162,0.967643856966409,-0.175297806935743,0.0154950249155497,0.0445576283441405
19,0.01596866356563,0.0456441648709265,0.966550329144638,-0.179733182835104,0.966550329162732,-0.179733182849015,0.0159899987018046,0.0456713731279512
19.5,0.0164736924148592,0.0467504617697987,0.965440724616234,-0.184156203029819,0.965440724634017,-0.184156203045024,0.0164963841713159,0.0467782754611568
20,0.0169899676736709,0.0478497960752242,0.964315157313148,-0.188567214535366,0.96431515733056,-0.188567214551827,0.0170140544483418,0.0478782042595516
20.5,0.0175173607406696,0.0489420404594805,0.963173715635199,-0.192966545561003,0.963173715652185,-0.192966545578678,0.0175428810443733,0.0489710316623972
21,0.0180557415143393,0.0500270708458466,0.962016465173564,-0.197354505091964,0.962016465190072,-0.19735450511081,0.0180827339598894,0.0500566330480154
21.5,0.0186049784950066,0.0511047664200828,0.960843451282833,-0.201731382705872,0.960843451298817,-0.201731382725844,0.0186334817857143,0.0511348870456947
22,0.0191649388862363,0.0521750096382656,0.959654701479978,-0.206097448578657,0.959654701495396,-0.206097448599708,0.0191949918038242,0.0522056755439868
22.5,0.0197354886955145,0.053237686231042,0.958450227670063,-0.210452953650615,0.958450227684876,-0.210452953672699,0.0197671300874687,0.0532688836954407
23,0.0203164928340848,0.0542926852043664,0.957230028201101,-0.214798129926053,0.957230028215275,-0.214798129949122,0.0203497616004773,0.054324399917854
23.5,0.0209078152158036,0.0553398988367897,0.955994089752461,-0.219133190882725,0.955994089765965,-0.219133190906734,0.020942750295608,0.0553721158920903
24,0.021509318854894,0.0563792226733757,0.95474238906279,-0.223458331969876,0.954742389075595,-0.223458331994775,0.0215459592118264,0.0564119265565592
24.5,0.0221208659624715,0.0574105555163458,0.953474894504517,-0.227773731176207,0.953474894516601,-0.227773731201948,0.0221592505703859,0.0574437300984241
25,0.0227423180417262,0.0584337994124973,0.95219156751286,-0.232079549651411,0.952191567524201,-0.232079549677948,0.0227824858695947,0.0584674279416193
25.5,0.0233735359816521,0.0594488596375189,0.950892363877704,-0.236375932367089,0.950892363888284,-0.236375932394375,0.0234155259781619,0.0594829247317759
26,0.024014380149216,0.0604556446772988,0.949577234907048,-0.240663008804763,0.949577234916853,-0.240663008832752,0.0240582312270152,0.0604901283181445
26.5,0.0246647104798678,0.0614540662062815,0.948246128470774,-0.24494089366058,0.94824612847979,-0.244940893689227,0.0247104614994911,0.0614889497325981
27,0.0253243865662965,0.0624440390630268,0.946898989933427,-0.249209687557804,0.946898989941644,-0.249209687587063,0.0253720763198045,0.0624793031658295
27.5,0.0259932677453449,0.0634254812230313,0.945535762984529,-0.253469477759684,0.94553576299194,-0.253469477789512,0.0260429349397073,0.063461105940831
28,0.0266712131829932,0.0643983137689372,0.944156390374635,-0.257720338876548,0.944156390381234,-0.257720338906901,0.0267228964232526,0.0644342784837659
28.5,0.0273580819573475,0.0653624608582342,0.942760814565043,-0.261962333562032,0.942760814570826,-0.26196233359287,0.0274118197295933,0.0653987442923392
29,0.0280537331395466,0.0663178496885546,0.941348978298633,-0.266195513194428,0.941348978303598,-0.266195513225709,0.0281095637937309,0.0663544299017624
