"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00417927206780178,0,0.995835292691481,0,0.995835289897514,0,0.00417926566547067,0
0.5,0.00466033508507024,-0.000324791730548668,0.995305365634756,-0.00575360390118362,0.995305367090239,-0.00575360411552239,0.00465984122028118,-0.00032282475498846
1,0.00510797517428685,-0.0012577364055808,0.994744411141994,-0.0108951094006216,0.994744410996169,-0.0108951096048742,0.0051066644192268,-0.00125316274272791
1.5,0.00537224767160538,-0.00234701194123943,0.994269455608848,-0.0160553652293203,0.99426945538054,-0.0160553653882936,0.00537008242166692,-0.00233954317777574
2,0.0054992167634822,-0.0034547062101602,0.993801746730773,-0.0210616861506487,0.993801746490126,-0.021061686242291,0.00549634188456416,-0.00344411940684353
2.5,0.00555486342410383,-0.00454568987638737,0.993369824487855,-0.0259773607435108,0.993369824280293,-0.0259773607839335,0.00555136779867027,-0.00453193605604696
3,0.00557138907598809,-0.00561848572845136,0.992968756801922,-0.0308454993803604,0.992968756646472,-0.0308454993925444,0.00556729446680926,-0.00560156517391519
3.5,0.00556396167005691,-0.00667687726966726,0.992584149936429,-0.0356893211342335,0.99258414983654,-0.0356893211359228,0.00555924913239281,-0.00665679873172742
4,0.00554012637314383,-0.00772447973299606,0.992201895045003,-0.0405196273106352,0.992201894996858,-0.0405196273126887,0.00553475422127647,-0.00770124931021776
4.5,0.00550389214270153,-0.00876400711477565,0.991810676907292,-0.0453406308133424,0.991810676904194,-0.0453406308211459,0.00549780585903692,-0.00873762581066018
5,0.00545752245360775,-0.00979739684703951,0.991401973574144,-0.0501533279629189,0.991401973608516,-0.0501533279782684,0.00545066006714023,-0.00976786051677436
5.5,0.00540236434139851,-0.010826025585768,0.990969459196762,-0.0549572529950186,0.990969459260921,-0.0549572530175002,0.00539465942886608,-0.0107933254454871
6,0.00533925624871534,-0.0118508809869713,0.990508410238035,-0.0597513491751478,0.990508410324453,-0.0597513492031592,0.00533063967574998,-0.011815004167806
6.5,0.00526874036731995,-0.0128726815711318,0.990015249139044,-0.0645343880016469,0.990015249240437,-0.0645343880330351,0.00525914134071193,-0.0128336115887784
7,0.00519117892155663,-0.0138919577034233,0.989487221960148,-0.0693051626422054,0.989487222069465,-0.0693051626747039,0.00518052565116478,-0.0138496748274957
7.5,0.0051068207400462,-0.014909106211932,0.988922177381763,-0.0740625696210326,0.988922177492192,-0.0740625696525248,0.00509504087162749,-0.0148635877494545
8,0.0050158408819001,-0.0159244275876071,0.988318416064372,-0.078805635697492,0.988318416169333,-0.0788056357261482,0.00500286179098564,-0.0158756480993416
8.5,0.00491836504614385,-0.0169381516823499,0.987674587176296,-0.0835335184427004,0.987674587269458,-0.0835335184670774,0.00490411404509339,-0.0168860831485409
