"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00543874099514596,0,0.994574907264905,0,0.994574910844676,0,0.0054387335347883,0
0.5,0.00598700880915004,0.000241682659872566,0.993991839656694,-0.00563846209231755,0.993991839737291,-0.00563846156880032,0.00598677916444501,0.000242247099208726
1,0.00648524641095349,-0.00019526224384947,0.993420474285884,-0.0105958287178929,0.993420474345029,-0.0105958287696062,0.00648462964666763,-0.000193905938566274
1.5,0.00679449002391763,-0.00077435564063677,0.992993824489762,-0.0154032378667956,0.992993824476448,-0.0154032379895206,0.00679328633201948,-0.000772124641986949
2,0.00697262340978533,-0.00137928283817601,0.992658503098324,-0.020172269237662,0.99265850302055,-0.0201722693618542,0.00697084903711875,-0.00137597114197163
2.5,0.00708638059709621,-0.00197347328144026,0.992349814831618,-0.0249409764187583,0.992349814717109,-0.024940976520039,0.00708405335738505,-0.00196900111311571
3,0.00716796179243229,-0.00255550411973005,0.9920365767615,-0.0297104538593889,0.992036576631731,-0.029710453932962,0.00716506459126354,-0.0025498268815447
3.5,0.00723197482988436,-0.0031293352970323,0.991705552396916,-0.0344759333782836,0.991705552266186,-0.0344759334262879,0.00722847009516325,-0.00312240928649921
4,0.00728523396842728,-0.00369857078603353,0.99135160635872,-0.0392331486634081,0.991351606236246,-0.039233148690256,0.0072810777030794,-0.00369034433261817
4.5,0.00733105932266742,-0.00426572521694091,0.99097320560896,-0.0439792541983035,0.990973205500462,-0.0439792542089066,0.00732620976335641,-0.00425613863176011
5,0.00737115726144966,-0.00483241679715718,0.990570379929037,-0.0487126469208583,0.990570379837782,-0.0487126469199453,0.00736557932962123,-0.00482140508660933
5.5,0.00740647219745272,-0.0053996522748232,0.990143765462309,-0.0534326302459629,0.990143765389751,-0.0534326302377792,0.00740013915755844,-0.00538714832865672
6,0.00743758408629391,-0.00596805132568257,0.989694148306723,-0.0581391160430691,0.989694148252944,-0.0581391160312155,0.00743047748255865,-0.00595398867934449
6.5,0.00746489650202053,-0.00653800062914733,0.989222252712413,-0.0628323946996954,0.989222252676432,-0.0628323946870282,0.00745700514041481,-0.00652231549834781
