"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00261396846340745,0,0.997397716535488,0,0.997397718208958,0,0.00261397006607922,0
0.5,0.00291266520915201,0.000357831326581959,0.997082043551032,-0.00248674964933571,0.997082043480702,-0.0024867494033245,0.00291271560358553,0.000357692093430728
1,0.00325902239075049,0.000331853904711465,0.996719014106063,-0.00458835246912059,0.996719014045404,-0.00458835255116696,0.00325916033175133,0.000331519941653369
1.5,0.00352034831311698,0.000200445658229853,0.996602457308434,-0.00661936667108876,0.996602457312072,-0.00661936664786111,0.00352062142021481,0.00020002931273666
2,0.0036967057170294,5.16733571487293E-006,0.996429704416524,-0.00859947454976862,0.996429704457526,-0.00859947449971799,0.00369716912773299,4.56384358926698E-006
2.5,0.003813844444295,-0.000202925151125299,0.996246975227024,-0.010540059612012,0.996246975289964,-0.0105400595657912,0.00381448973380571,-0.000203783455098971
3,0.00389548953178576,-0.000407833920231582,0.996072115328285,-0.0124534519786828,0.996072115400832,-0.0124534519459836,0.00389629897756194,-0.000408980073736132
3.5,0.00395647445675174,-0.00060612029749052,0.995910043002846,-0.0143504601123716,0.995910043076584,-0.0143504600940254,0.00395743614560118,-0.000607569702459898
4,0.00400547850447808,-0.000798174163264775,0.995760131419271,-0.0162388448095783,0.995760131489263,-0.0162388448032331,0.00400658786401387,-0.000799934755658427
4.5,0.00404762485675114,-0.000985344610057837,0.995619786064985,-0.0181235680426042,0.995619786128755,-0.0181235680451408,0.0040488832806389,-0.000987421718068759
5,0.00408603568708799,-0.00116906292505092,0.995486044943194,-0.0200075603912211,0.99548604499978,-0.0200075603997618,0.00408744905110758,-0.00117146147201552
5.5,0.00412269060077186,-0.00135060863870962,0.995356203073835,-0.0218924288115119,0.995356203123157,-0.0218924288237261,0.00412426818086864,-0.00135333413806649
6,0.00415889950017956,-0.00153107650220363,0.995227995233432,-0.0237789674214604,0.995227995275848,-0.0237789674355255,0.00416065327202375,-0.00153413551577586
6.5,0.00419556892571915,-0.0017114006358625,0.995099598366424,-0.0256674904353247,0.995099598402489,-0.0256674904498553,0.00419751314372796,-0.00171480099724164
7,0.00423335668115676,-0.00189238982426687,0.99496957207089,-0.0275580384015406,0.994969572101244,-0.0275580384155383,0.00423550765036218,-0.00189614076369438
7.5,0.00427276457143844,-0.00207476025454056,0.994836786694204,-0.0294505023374576,0.994836786719477,-0.0294505023501834,0.00427514055278611,-0.00207887248780025
8,0.00431419589289472,-0.00225916261231696,0.99470035749133,-0.0313446970074196,0.994700357512118,-0.0313446970183335,0.00431681710415255,-0.00226364842335869
8.5,0.00435799229174494,-0.00244620375044846,0.994559590095408,-0.0332404034219742,0.994559590112251,-0.0332404034307068,0.00436088098085285,-0.00245107708213332
9,0.00440445824254176,-0.00263646398406969,0.994413937384726,-0.0351373929470427,0.994413937398111,-0.0351373929533167,0.00440763882005779,-0.00264174054454891
9.5,0.00445387794342356,-0.00283051111502886,0.994262966116177,-0.037035440520448,0.994262966126533,-0.0370354405240718,0.00445737716709216,-0.00283620850444599
10,0.00450652749956282,-0.00302891212160361,0.994106331375862,-0.0389343314702852,0.994106331383572,-0.038934331471129,0.00451037470860483,-0.00303504998248094
10.5,0.00452671882137068,-0.0032012962436756,0.993943892350373,-0.0408344667184615,0.993943892358209,-0.0408344667196392,0.00452677536772805,-0.00321176711433147
11,0.00454791021971745,-0.00337599882815454,0.993777178045636,-0.0427298080918508,0.993777178053568,-0.0427298080933625,0.00454452368731539,-0.00339075358007612
11.5,0.00457004748619916,-0.00355301528645136,0.993606464065013,-0.0446204661183653,0.993606464073016,-0.0446204661202341,0.00456354588536989,-0.00357196657599523
12,0.00459307047845625,-0.00373233675690798,0.993432004790347,-0.0465065661035133,0.99343200479839,-0.0465065661057338,0.00458376052835252,-0.00375536582902747
12.5,0.00461691391332919,-0.00391395066077749,0.993254033266003,-0.0483882453648654,0.99325403327406,-0.0483882453674482,0.00460508027293982,-0.00394091356339565
13,0.00464150815391262,-0.00409784117116985,0.993072761383964,-0.0502656506469545,0.99307276139201,-0.0502656506499015,0.00462741339119921,-0.00412857432907288
13.5,0.00466677997472464,-0.00428398960533372,0.992888380323455,-0.0521389357381867,0.992888380331461,-0.0521389357414943,0.00465066509036616,-0.00431831474135613
14,0.00469265329298607,-0.00447237475085771,0.992701061199973,-0.0540082593027424,0.992701061207914,-0.0540082593064017,0.00467473864322199,-0.00451010316986
14.5,0.0047190498574734,-0.00466297313644759,0.992510955881334,-0.0558737829335598,0.992510955889186,-0.0558737829375655,0.00469953634769871,-0.00470390940637344
15,0.00474588988925695,-0.00485575925700665,0.992318197931632,-0.0577356694262985,0.992318197939373,-0.057735669430647,0.00472496033495107,-0.0048997043327752
15.5,0.00477309267099102,-0.00505070576190292,0.992122903647907,-0.0595940812692657,0.992122903655515,-0.0595940812739411,0.00475091324469767,-0.00509745960410868
16,0.0048005770833337,-0.00524778361422662,0.99192517315839,-0.0614491793405492,0.991925173165846,-0.0614491793455496,0.00477729878547706,-0.0052971473567851
16.5,0.00482826208851139,-0.00544696222783259,0.991725091555327,-0.063301121800821,0.991725091562611,-0.0633011218061288,0.00480402219576437,-0.00549873994797423
17,0.00485606716216869,-0.00564820958753387,0.991522730039453,-0.0651500631680628,0.991522730046547,-0.0651500631736655,0.00483099062031656,-0.00570220972923607
17.5,0.00488391267544552,-0.00585149235723392,0.99131814705702,-0.0669961535595274,0.99131814706391,-0.066996153565408,0.00485811341417985,-0.00590752885537338
18,0.00491172022976549,-0.00605677597944254,0.991111389413854,-0.0688395380853795,0.991111389420527,-0.0688395380915265,0.0048853023852774,-0.00611466912785819
18.5,0.00493941294720701,-0.00626402476907106,0.990902493354148,-0.0706803563785368,0.990902493360592,-0.0706803563849308,0.00491247198485456,-0.00632360187114589
19,0.00496691571948449,-0.0064732020035585,0.990691485594562,-0.0725187422453644,0.990691485600764,-0.0725187422519893,0.00493953945374492,-0.00653429783955417
19.5,0.00499415541870207,-0.00668427001077099,0.990478384306747,-0.0743548234225013,0.990478384312699,-0.0743548234293439,0.00496642493119503,-0.00674672715183533
20,0.00502106107300704,-0.0068971902557653,0.990263200043567,-0.0761887214260071,0.990263200049262,-0.0761887214330486,0.00499305153195984,-0.0069608592506194
20.5,0.00504756401022233,-0.00711192342692257,0.990045936606122,-0.0780205514797485,0.990045936611551,-0.0780205514869738,0.00501934539649862,-0.00717666288362384
21,0.00507359797239759,-0.00732842952178192,0.98982659185019,-0.0798504225111687,0.98982659185535,-0.0798504225185646,0.00504523571834092,-0.0073941061037095
21.5,0.00509909920411789,-0.00754666793266168,0.989605158431995,-0.0816784372035668,0.989605158436882,-0.0816784372111172,0.00507065475206647,-0.00761315628503745
22,0.00512400651720735,-0.00776659753187747,0.989381624494131,-0.0835046920951052,0.989381624498741,-0.083504692102788,0.00509553780484029,-0.00783378015263558
22.5,0.0051482613343305,-0.00798817675636432,0.989155974293318,-0.0853292777158297,0.989155974297649,-0.0853292777236314,0.00511982321396398,-0.00805594382303365
23,0.00517180771380421,-0.00821136369138387,0.988928188772196,-0.0871522787550099,0.988928188776247,-0.0871522787629173,0.00514345231258384,-0.00827961285370638
23.5,0.00519459235775077,-0.00843611615292872,0.988698246077825,-0.0889737742520413,0.988698246081596,-0.0889737742600403,0.00516636938536608,-0.00850475229942482
24,0.00521656460559494,-0.00866239176846673,0.988466122029821,-0.0907938378050428,0.988466122033313,-0.0907938378131181,0.00518852161570571,-0.00873132677372368
24.5,0.00523767641469458,-0.0088901480556256,0.988231790541254,-0.0926125377921103,0.988231790544467,-0.0926125378002496,0.00520985902583265,-0.00895930051399674
25,0.00525788232979169,-0.00911934249845814,0.987995223995501,-0.0944299376008964,0.98799522399844,-0.0944299376090836,0.00523033441098997,-0.00918863744878262
25.5,0.00527713944279284,-0.00934993262100026,0.987756393582302,-0.0962460958629077,0.987756393584967,-0.0962460958711331,0.00524990326872105,-0.00941930126623181
26,0.00529540734426359,-0.00958187605775418,0.987515269596144,-0.0980610666894401,0.98751526959854,-0.0980610666976895,0.00526852372417863,-0.0096512554826047
26.5,0.00531264806789911,-0.00981513062094397,0.987271821700107,-0.0998748999066583,0.987271821702239,-0.099874899914921,0.00528615645224306,-0.00988446351011696
27,0.00532882602910645,-0.0100496543642024,0.987026019158118,-0.101687641287679,0.987026019159988,-0.101687641295946,0.00530276459717599,-0.010118888723289
27.5,0.00534390795874096,-0.0102854056426835,0.986777831038437,-0.103499332780142,0.986777831040049,-0.1034993327884,0.00531831369042923,-0.0103544945233587
28,0.00535786283290074,-0.0105223431693267,0.986527226391049,-0.105310012727783,0.98652722639241,-0.105310012736022,0.00533277156716627,-0.0105912444001977
28.5,0.00537066179965207,-0.0107604260673231,0.986274174401471,-0.107119716085139,0.986274174402586,-0.107119716093351,0.00534610828200016,-0.0108291019914137
29,0.00538227810339414,-0.0109996139186332,0.986018644523289,-0.108928474624547,0.986018644524163,-0.108928474632722,0.00535829602439192,-0.0110680311383442
