"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,3.01663787484821E-005,0,0.99996903733404,0,0.999969037310279,0,3.01663255768136E-005,0
0.5,0.00382210091331625,0.0187886368971157,0.981559469840378,-0.185618391356969,0.981559469840359,-0.18561839135695,0.00382956146997021,0.0187871251818907
1,0.0139480568210213,0.0350266387265643,0.929212677488758,-0.363745935737318,0.929212677488737,-0.363745935737309,0.013975853830837,0.035015372327325
1.5,0.029405014170349,0.046680296377966,0.844971967417158,-0.52839137572337,0.844971967407862,-0.528391375722842,0.0294612975646509,0.0466443104422569
2,0.0482390125751597,0.0521764086010155,0.73184709972015,-0.674180960978165,0.731847099711237,-0.674180960974527,0.0483245940311101,0.0520960902030714
2.5,0.0681347230757047,0.0507303170668768,0.59403950760331,-0.796079191016413,0.594039507598107,-0.796079191012316,0.0682415694399095,0.0505844736029364
3,0.0866569836599387,0.0423622487562358,0.436610432674609,-0.890075161016336,0.436610432673219,-0.890075161014515,0.0867678186055076,0.0421314655434884
3.5,0.101487980716488,0.027888428096024,0.265188583457264,-0.953270315390581,0.265188583458193,-0.953270315392712,0.101577025171444,0.0275584040471488
4,0.11065731951939,0.0088751332845006,0.0857142657780245,-0.983904275750122,0.0857142657792292,-0.983904275756538,0.110692102300677,0.00843964948217135
4.5,0.112788286764711,-0.012459802027247,-0.0957864159697748,-0.981327870051749,-0.0957864159701078,-0.981327870061535,0.112732360298726,-0.0129965968336323
5,0.107350725490588,-0.0334459493102312,-0.27338979065238,-0.94593747281027,-0.273389790655274,-0.945937472821653,0.107167021725308,-0.0340681800723303
5.5,0.0948530092532464,-0.0512982926190629,-0.441421524958552,-0.879088260133089,-0.44142152496395,-0.879088260143973,0.0945075221290503,-0.0519780473907656
6,0.0768677005968904,-0.0635670217601851,-0.594565074607937,-0.783003910104557,-0.59456507461472,-0.783003910113133,0.0763332178544364,-0.0642651096118552
6.5,0.0558179979429148,-0.0685821660578488,-0.72794103247124,-0.6606973844815,-0.727941032477537,-0.660697384486756,0.0550776479947406,-0.0692499567956142
7,0.0345584526331263,-0.0657370112235648,-0.837172040250236,-0.515912277466633,-0.837172040253977,-0.515912277468656,0.0336087692741467,-0.0663193820395964
7.5,0.0158925018709403,-0.0555174365669586,-0.918451527860058,-0.353087131898352,-0.918451527859645,-0.353087131898313,0.0147456010830293,-0.0559567241200729
8,0.00219066014767316,-0.0393136591112966,-0.968635777138088,-0.177336267823913,-0.968635777133031,-0.177336267823667,0.000875174313056226,-0.0395542783725147
8.5,-0.00481137054229919,-0.019147842925932,-0.985376629807433,0.00556967421404408,-0.985376629798758,0.00556967421271182,-0.00625071447992909,-0.0191411300829145
9,-0.0040774658460313,0.00255065665093568,-0.967305042401424,0.18925118452605,-0.967305042391616,0.189251184522425,-0.00558156480400512,0.00284167662647139
9.5,0.00468157678470194,0.0230788287779766,-0.914261965554099,0.366832262182227,-0.914261965546525,0.366832262177672,0.00318313173383983,0.0236748978664318
10,0.0208687421863312,0.0395794384709002,-0.827551956356455,0.531158005136015,-0.827551956354102,0.531158005134672,0.0194529575395515,0.040481078168267
10.5,0.0402860333642333,0.0509714720033286,-0.710893701386875,0.677839047446165,-0.710893701393524,0.677839047450893,0.0390329961662929,0.0521678796883744
11,0.0652750047639322,0.0544680652896173,-0.568859215190061,0.797662532205596,-0.568859215198587,0.797662532214897,0.0642537594098982,0.0559053625927767
11.5,0.0917286593650845,0.0474293012658778,-0.407911420027342,0.887013874708845,-0.40791142003367,0.887013874719343,0.0909831633626923,0.0490440921307987
12,0.114474714881253,0.0299298344657107,-0.234585870927794,0.943816996135516,-0.234585870930738,0.943816996143628,0.114033021221241,0.0316592810770654
12.5,0.129292142808616,0.00477152096056942,-0.0551886451539534,0.967261798954219,-0.0551886451544646,0.967261798957305,0.129172901352962,0.00655009772761899
13,0.134152436763423,-0.0238894124283113,0.124340995007842,0.957525641750229,0.124340995007665,0.957525641747176,0.134360711119597,-0.0221333064541581
13.5,0.129104726280091,-0.0520453274016091,0.298444863107946,0.915551914949365,0.298444863105815,0.915551914940638,0.129626058187616,-0.050384138270575
14,0.115459438775965,-0.0765680489179603,0.461891388774582,0.842918731002846,0.461891388768767,0.842918730990166,0.116260480850104,-0.0750660266552754
14.5,0.095077648325275,-0.0952171110694748,0.609707084287153,0.74180487749903,0.609707084276938,0.741804877484832,0.0961122839546904,-0.0939244497085338
15,0.0700679895489089,-0.106380894051153,0.737142253146338,0.615039822840816,0.737142253132175,0.615039822827641,0.0712842409870049,-0.10533276575428
