"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00596472837941064,0,0.994053789952886,0,0.994053791713668,0,0.00596473438105249,0
0.5,0.00661752270777072,-0.00108765990116666,0.993292970297535,-0.00970914284970448,0.993292970100466,-0.00970914238727616,0.00661765821054772,-0.00108804477724789
1,0.00713413360572979,-0.00297013396339096,0.992483111590886,-0.0186113030129533,0.992483111590897,-0.0186113031760939,0.00713448548756013,-0.00297108623976072
1.5,0.00740300738533506,-0.00501198520019663,0.991750785896858,-0.027310050567726,0.991750785871863,-0.027310050652698,0.00740359064410434,-0.00501358589950485
2,0.00747910837957377,-0.00708016799489819,0.991042211873581,-0.0359400810555588,0.991042211855651,-0.0359400811022983,0.00747984523118994,-0.00708252362074191
2.5,0.00744180984561549,-0.00912674173680372,0.990286363200942,-0.0445390435864965,0.990286363192626,-0.0445390436135522,0.00744262874924662,-0.00912988279358373
3,0.0073315573941497,-0.0111473544132359,0.989453462601038,-0.0531038381971563,0.989453462601593,-0.0531038382113014,0.00733241028080567,-0.0111512859303353
3.5,0.00716811319889432,-0.0131452466602813,0.988534866000194,-0.0616267728581619,0.988534866009975,-0.0616267728620201,0.00716896798099187,-0.0131499670372186
4,0.00696182364238407,-0.0151238911761578,0.987530806942552,-0.0701024506446792,0.987530806962864,-0.0701024506399808,0.00696265761620207,-0.0151293977378835
4.5,0.00671866555210854,-0.0170858379898329,0.986444805104544,-0.0785283301392594,0.986444805136823,-0.078528330128008,0.00671946150991909,-0.0170921282326919
5,0.00644249143485065,-0.0190327801251291,0.985281166589507,-0.0869040640443108,0.985281166634602,-0.0869040640290049,0.00644323551918724,-0.0190398516078911
5.5,0.00613607708768726,-0.0209657895446851,0.984043890340074,-0.0952307318341985,0.984043890397779,-0.0952307318176375,0.00613675761747423,-0.0209736393546089
6,0.00580163826174873,-0.0228855196067075,0.9827362447766,-0.103510206255157,0.982736244845427,-0.103510206240091,0.00580224509637417,-0.0228941436938586
6.5,0.00544109888336786,-0.0247923510286814,0.981360672576306,-0.111744687206194,0.981360672653447,-0.111744687194957,0.00544162309295571,-0.0248017434989203
7,0.00505623650340858,-0.0266864924795378,0.979918851580637,-0.119936384440465,0.97991885166206,-0.119936384434649,0.00505667022007494,-0.0266966448711061
7.5,0.00464876394672403,-0.0285680493140896,0.978411820899187,-0.128087318450905,0.978411820979817,-0.12808731845111,0.00464910032653965,-0.0285789498618385
8,0.0042203762890568,-0.0304370706959709,0.976840123887412,-0.136199209038865,0.976840123961342,-0.136199209044517,0.00422060954314496,-0.0304487035813485
8.5,0.00377277824187877,-0.0322935820788057,0.975203943515537,-0.144273425346428,0.97520394357626,-0.144273425355701,0.00377290371026556,-0.0323059266625449
9,0.00330770009426123,-0.0341376076381148,0.973503219240793,-0.152310976564903,0.973503219281412,-0.152310976574658,0.00330771434420196,-0.0341506376728966
9.5,0.00282690678924521,-0.0359691856659494,0.971737742086198,-0.160312527782938,0.971737742099627,-0.160312527788742,0.00282680772409663,-0.035982868486955
10,0.00233220279781296,-0.037788378917039,0.969907228615335,-0.168278429928501,0.969907228594464,-0.168278429924654,0.00233198976472648,-0.0378026746088591
10.5,0.00180750531056689,-0.0396439343518633,0.968020328691116,-0.176201488842951,0.968020328670372,-0.176201488837858,0.00180722647095218,-0.0396589811832326
11,0.00125653466115511,-0.0414941548446608,0.96607751703543,-0.184089437978408,0.966077517014968,-0.184089437972099,0.00125618454621119,-0.0415099580991867
11.5,0.000679221497714377,-0.0433387019679086,0.964078979658486,-0.191943524925786,0.964078979638449,-0.191943524918319,0.000678794264059701,-0.043355267141798
12,7.54992406015453E-005,-0.0451772273839488,0.962024786522184,-0.199764789849356,0.9620247865027,-0.199764789840803,7.49886446415049E-005,-0.0451945601718875
12.5,-0.000554695224328744,-0.0470093727914942,0.959914927372395,-0.20755408268116,0.959914927353576,-0.207554082671609,-0.000555295852057686,-0.047027479070362
13,-0.00121142084773007,-0.0488347699169336,0.9577493401187,-0.215312081601079,0.957749340100641,-0.215312081590625,-0.00121211862805037,-0.0488536557272767
13.5,-0.00189473171694188,-0.0506530405506322,0.955527932909422,-0.223039311654305,0.955527932892204,-0.223039311643054,-0.001895534247155,-0.0506727120758366
14,-0.00260467635727535,-0.0524637966283339,0.953250600980151,-0.230736162737525,0.953250600963837,-0.230736162725586,-0.00260559173570224,-0.0524842601714584
14.5,-0.00334129703732799,-0.0542666403574814,0.950917239244648,-0.238402906472577,0.950917239229283,-0.238402906460062,-0.0033423338870425,-0.0542879023157323
15,-0.00410462908123799,-0.0560611643881419,0.948527751471379,-0.246039711697564,0.948527751456995,-0.246039711684585,-0.00410579657277388,-0.0560832312249939
15.5,-0.00489470019076549,-0.0578469520279699,0.946082056761916,-0.25364665845564,0.94608205674853,-0.253646658442309,-0.00489600806356977,-0.0578698302429541
16,-0.00571152978007039,-0.0596235775005254,0.943580093927735,-0.261223750464915,0.943580093915349,-0.261223750451339,-0.00571298836246775,-0.0596472735967408
16.5,-0.00655512832596461,-0.0613906062459817,0.941021824254311,-0.268770926120462,0.941021824242916,-0.268770926106743,-0.00655674855340616,-0.0614151266953962
17,-0.00742549673638582,-0.0631475952631284,0.938407233047516,-0.276288068121033,0.938407233037094,-0.276288068107269,-0.00742729016776283,-0.063172946469761
17.5,-0.0083226257397418,-0.064894093491374,0.935736330277506,-0.283775011835978,0.935736330268027,-0.28377501182226,-0.00832460457154183,-0.0649202817524883
18,-0.00924649529769783,-0.0666296422312755,0.933009150568512,-0.291231552537717,0.93300915055994,-0.291231552524126,-0.00924867237579341,-0.0666566736967122
18.5,-0.0101970740438354,-0.0683537756019219,0.930225752728174,-0.298657451626251,0.930225752720466,-0.298657451612864,-0.010199462872712,-0.068381656231731
19,-0.0111743187505531,-0.0700660210333877,0.927386218965361,-0.306052441967707,0.927386218958468,-0.30605244195459,-0.011176933499786,-0.0700947565539556
19.5,-0.0121781738263806,-0.0717658997922461,0.924490653909727,-0.313416232460905,0.924490653903595,-0.31341623244812,-0.0121810293341919,-0.0717954956511044
20,-0.0132085708457905,-0.0734529275380673,0.921539183517679,-0.320748511936271,0.921539183512251,-0.320748511923868,-0.0132116826195318,-0.0734833888576054
20.5,-0.0142654281133938,-0.0751266149085932,0.918531953927099,-0.328048952480765,0.918531953922317,-0.328048952468788,-0.0142688123268263,-0.0751579464389174
21,-0.0153486502642755,-0.0767864681312387,0.915469130305604,-0.33531721227201,0.915469130301408,-0.335317212260496,-0.0153523237515278,-0.0768186742024195
21.5,-0.0164581279020374,-0.0784319896584278,0.912350895723634,-0.342552937994627,0.912350895719963,-0.342552937983605,-0.0164621081481489,-0.0784650741323916
22,-0.0175937372759229,-0.0800626788241414,0.909177450073349,-0.349755766902247,0.909177450070142,-0.349755766891739,-0.0175980424039126,-0.0800966450464944
22.5,-0.0187553399982354,-0.0816780325190187,0.905949009046488,-0.356925328580079,0.905949009043685,-0.356925328570102,-0.018759988752642,-0.0817128832710654
23,-0.0199427828030427,-0.0832775458812556,0.902665803178543,-0.364061246455095,0.902665803176085,-0.364061246445658,-0.019947794529927,-0.0833132833325057
23.5,-0.0211558973469828,-0.0848607130004932,0.899328076962344,-0.371163139094012,0.899328076960174,-0.371163139085121,-0.0211612919703892,-0.0848973386619456
24,-0.0223945000527577,-0.0864270276318391,0.89593608803112,-0.378230621323186,0.895936088029183,-0.378230621314839,-0.0224002980476768,-0.0864645423103203
24.5,-0.0236583919957181,-0.0879759839171623,0.892490106408953,-0.385263305199263,0.892490106407198,-0.385263305191455,-0.0236646143576042,-0.0880143876710211
25,-0.0249473588337322,-0.0895070771107689,0.888990413825165,-0.392260800854882,0.888990413823541,-0.392260800847603,-0.0249540270446573,-0.0895463692071954
25.5,-0.0262611707803103,-0.0910198043065831,0.88543730308827,-0.399222717239798,0.885437303086733,-0.399222717233036,-0.0262683067718695,-0.0910599831808343
26,-0.0275995826207738,-0.0925136651639908,0.881831077514672,-0.406148662774461,0.881831077513178,-0.4061486627682,-0.0276072087338737,-0.0925547283807857
26.5,-0.028962333771045,-0.0939881626295163,0.878172050407064,-0.413038245930234,0.878172050405572,-0.413038245924453,-0.0289704727127288,-0.094030106846851
27,-0.0303491483784322,-0.0954428036515738,0.874460544577534,-0.419891075748016,0.874460544576007,-0.419891075742695,-0.0303578231759268,-0.0954856245872053
27.5,-0.0317597354636144,-0.0968770998856088,0.870696891910522,-0.426706762305036,0.870696891908927,-0.42670676230015,-0.0317689694157933,-0.0969207922864228
28,-0.0331937891028143,-0.0982905683870052,0.866881432961032,-0.433484917137841,0.866881432959338,-0.433484917133365,-0.0332036057293017,-0.0983351260014738
28.5,-0.034650988649005,-0.0996827322892437,0.863014516583823,-0.440225153628101,0.863014516582004,-0.440225153624009,-0.0346614116371514,-0.0997281478431666
29,-0.0361309989908043,-0.101053121464908,0.859096499589665,-0.446927087356648,0.859096499587698,-0.446927087352913,-0.0361420521407897,-0.101099386640599
29.5,-0.0376334708475601,-0.102401273167243,0.85512774642507,-0.453590336430191,0.855127746422933,-0.453590336426784,-0.0376451780158925,-0.102448378586307
30,-0.0391580410989933,-0.103726732650122,0.851108628872314,-0.460214521784318,0.851108628869991,-0.460214521781211,-0.0391704261406725,-0.103774667859931
30.5,-0.0407043331476147,-0.105029053764376,0.847039525766896,-0.466799267465725,0.847039525764371,-0.466799267462887,-0.0407174198572517,-0.10507780722836
31,-0.0422719573120204,-0.106307799528655,0.842920822729899,-0.47334420089607,0.842920822727161,-0.473344200893474,-0.0422857693642046,-0.106357358620467
31.5,-0.0438605112490568,-0.107562542673086,0.838752911913064,-0.479848953119387,0.838752911910104,-0.479848953117004,-0.043875072138266,-0.107612893674683
32,-0.0454695804027536,-0.108792866154192,0.834536191754637,-0.486313159034607,0.834536191751448,-0.486313159032409,-0.0454849133831073,-0.10884399425786
32.5,-0.0470987384778339,-0.109998363639682,0.830271066744339,-0.492736457614474,0.830271066740917,-0.492736457612433,-0.0471148665029815,-0.110050252953998
33,-0.0487475479355501,-0.111178639961927,0.825957947196034,-0.499118492111879,0.825957947192377,-0.499118492109969,-0.0487644935990033,-0.111231273521628
33.5,-0.0504155605095437,-0.112333311539079,0.821597249026877,-0.505458910254431,0.821597249022986,-0.505458910252625,-0.0504333459857233,-0.112386671318776
34,-0.0521023177393668,-0.113462006762983,0.81718939354193,-0.511757364427964,0.817189393537806,-0.511757364426237,-0.0521209647256683,-0.113516073694656
34.5,-0.0538073515193083,-0.114564366353201,0.812734807223378,-0.51801351184951,0.812734807219025,-0.51801351184784,-0.0538268811794418,-0.114619120347364
35,-0.0555301846601258,-0.115640043676664,0.808233921523656,-0.524227014730222,0.808233921519079,-0.524227014728585,-0.0555506175690063,-0.115695463647077
35.5,-0.0572703314613167,-0.116688705032622,0.803687172661879,-0.530397540428631,0.803687172657086,-0.530397540427006,-0.0572916875517449,-0.116744768924414
36,-0.0590272982915396,-0.117710029902732,0.799095001423139,-0.536524761594538,0.799095001418138,-0.536524761592905,-0.0590495968029169,-0.117766714723763
36.5,-0.0608005841748686,-0.118703711166303,0.794457852960269,-0.542608356303867,0.79445785295507,-0.542608356302207,-0.0608238436041591,-0.118760993021595
37,-0.0625896813805599,-0.119669455280884,0.789776176597805,-0.5486480081847,0.789776176592417,-0.548648008182995,-0.0626139194357029,-0.119727309409919
37.5,-0.0643940760141013,-0.120606982428514,0.785050425637909,-0.554643406534734,0.785050425632345,-0.554643406532968,-0.0644193095700604,-0.120665383245196
38,-0.0662132486073405,-0.121516026628127,0.780281057168116,-0.560594246430371,0.780281057162388,-0.56059424642853,-0.0662394936649497,-0.121574947763183
38.5,-0.068046674705588,-0.122396335814732,0.775468531870777,-0.566500228827639,0.775468531864898,-0.566500228825707,-0.068073946353338,-0.122455750160318
39,-0.0698938254496592,-0.123247671886128,0.770613313834137,-0.572361060655131,0.77061331382812,-0.572361060653099,-0.0699221378285545,-0.123307551642407
39.5,-0.0717541681509087,-0.124069810718039,0.765715870365022,-0.578176454899158,0.765715870358882,-0.578176454897013,-0.071783534422485,-0.124130127441481
40,-0.0736271668574112,-0.124862542148664,0.760776671803128,-0.583946130681279,0.760776671796878,-0.583946130679012,-0.0736575991750078,-0.124923266801818
40.5,-0.0755122829095433,-0.125625669933754,0.755796191336926,-0.589669813328412,0.755796191330582,-0.589669813326015,-0.0755437923928779,-0.125686772936243
41,-0.0774089754833324,-0.126359011673418,0.750774904821231,-0.595347234435696,0.750774904814807,-0.595347234433163,-0.077441572196426,-0.126420462953894
41.5,-0.0793167021200511,-0.127062398711941,0.745713290596477,-0.60097813192228,0.745713290589989,-0.600978131919604,-0.079350395052516,-0.127124167760763
42,-0.081234919240644,-0.127735676011991,0.740611829309772,-0.606562250080234,0.740611829303234,-0.606562250077411,-0.0812697162923335,-0.127797731934355
42.5,-0.0831630826437149,-0.128378702004634,0.735471003737793,-0.612099339616758,0.735471003731219,-0.612099339613784,-0.0831989906127147,-0.128441013573934
43,-0.0851006479859006,-0.128991348416656,0.730291298611602,-0.617589157689863,0.730291298605009,-0.617589157686737,-0.0851376725598167,-0.129053884127826
43.5,-0.087047071243593,-0.12957350007673,0.725073200443471,-0.623031467937741,0.725073200436872,-0.623031467934461,-0.0870852169940869,-0.129636228199323
44,-0.0890018091551,-0.130125054701974,0.719817197355779,-0.628426040501968,0.719817197349189,-0.628426040498533,-0.0890410795355808,-0.130187943332787
44.5,-0.0909643196424366,-0.130645922666541,0.714523778912083,-0.633772652044749,0.714523778905515,-0.633772652041162,-0.0910047169888359,-0.130708939781538
