"Freq [thz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.265593698732118,0,0.734418599036871,0,0.734418599444325,0,0.265593696723954,0
0.0005,0.265988286678257,0.00246689028217646,0.734002984115851,-0.0066642087638242,0.734002984076983,-0.00666420850193178,0.265988238987906,0.00246725236298629
0.001,0.266654309829193,0.00457754719751451,0.733306288329344,-0.0129724212773644,0.73330628834214,-0.0129724212374601,0.266654119515961,0.0045783130656905
0.0015,0.267459759986024,0.00634480403571904,0.73245018245105,-0.0189378448488828,0.7324501824248,-0.0189378448528219,0.267459383911018,0.00634605757275215
0.002,0.268235072577521,0.00783863841251999,0.731605519840098,-0.0246283177555364,0.731605519788547,-0.0246283177354575,0.268234517301842,0.00784043071614254
0.0025,0.268925256594732,0.00916320407974251,0.730827129568641,-0.0301499395075589,0.730827129531055,-0.0301499394623847,0.268924531083608,0.00916555444828777
0.003,0.269527662184223,0.0103947526858341,0.730116637363258,-0.0355790804300298,0.730116637350741,-0.0355790803815279,0.269526766212797,0.0103976666919393
0.0035,0.270058964013423,0.0115804523249509,0.72945704318337,-0.0409624095594977,0.729457043189034,-0.040962409522549,0.270057890044811,0.0115839312671815
0.004,0.270539410586236,0.0127467424352512,0.728828201558108,-0.0463260216291102,0.728828201571428,-0.0463260216082918,0.270538146605361,0.0127507865230514
0.0045,0.270986946740287,0.0139073349261662,0.728212350110772,-0.0516835109601173,0.728212350123649,-0.0516835109538712,0.27098547797445,0.013911944229487
0.005,0.271415811422456,0.0150686981916008,0.727595378673359,-0.0570413555121615,0.727595378681166,-0.0570413555165585,0.271414121274241,0.0150738729428742
0.0055,0.271836782838005,0.0162333581127855,0.726966565869219,-0.062402136545008,0.726966565870133,-0.0624021365558416,0.271834853413532,0.0162390988247881
0.006,0.27225785844817,0.01740176759961,0.726317915149657,-0.0677663666572997,0.726317915143713,-0.0677663666709901,0.272255670881594,0.01740807512239
0.0065,0.272684931324234,0.0185733332636079,0.725643497518822,-0.0731335001664106,0.725643497507152,-0.0731335001802778,0.272682465991626,0.018580208815158
0.007,0.27312234067383,0.019746969005488,0.724938915214971,-0.07850248247661,0.72493891519929,-0.0785024824888653,0.27311957734101,0.0197544141887053
0.0075,0.273573287185242,0.0209213897493848,0.724200895445289,-0.0838720444091465,0.724200895427556,-0.0838720444187805,0.273570205112998,0.0209294065615999
0.008,0.274040136415329,0.0220952638502749,0.723426992378999,-0.0892408566729018,0.723426992361228,-0.0892408566795491,0.274036714435721,0.0221038546890694
0.0085,0.274524637635082,0.0232672890948216,0.72261537134451,-0.0946076080420494,0.722615371328658,-0.094607608045864,0.274520854207553,0.0232764567624687
0.009,0.275028081312427,0.0244362276951541,0.721764653005111,-0.0999710421849265,0.721764652993015,-0.0999710421864767,0.275023914565613,0.0244459754030713
0.0095,0.275551412794427,0.0256009195709315,0.720873800550451,-0.105329972351737,0.720873800543802,-0.105329972351923,0.275546840557756,0.0256112509449237
0.01,0.276095314886307,0.0267602844366806,0.719942037563195,-0.110683284482038,0.719942037563523,-0.110683284482025,0.276090314714322,0.026771203523357
0.0105,0.276675293899898,0.0280081572946638,0.718929422084478,-0.116077506473401,0.718929422084866,-0.116077506472524,0.276670082076715,0.0280195129753715
0.011,0.277280967604076,0.0292433136005351,0.717875190673055,-0.121456652459059,0.717875190673607,-0.121456652457352,0.277275520211261,0.0292550949172032
0.0115,0.277911991986034,0.0304652549363122,0.716779724101826,-0.126820688475361,0.716779724102635,-0.126820688472868,0.27790628359171,0.0304774514816013
0.012,0.278568012837777,0.0316734960079904,0.715643359495658,-0.132169573535323,0.715643359496805,-0.132169573532097,0.278562016513138,0.0316860980365477
0.0125,0.279248666408905,0.0328675648684573,0.714466395747068,-0.137503255696062,0.714466395748627,-0.137503255692163,0.279242353752944,0.0328805634058441
0.013,0.279953580061496,0.0340470031022333,0.713249098804195,-0.142821669194226,0.713249098806226,-0.142821669189717,0.279946921233627,0.0340603900509027
0.0135,0.280682372924595,0.0352113659724912,0.7119917067081,-0.148124732498484,0.711991706710656,-0.148124732493434,0.280675336684858,0.0352251342142351
0.014,0.281434656545998,0.0363602225309912,0.710694434295759,-0.153412347132247,0.71069443429888,-0.153412347126722,0.281427210302425,0.0363743660253092
0.0145,0.282210035538983,0.0374931556917092,0.709357477517293,-0.158684397129352,0.709357477521012,-0.158684397123423,0.282202145401737,0.0375076695695977
0.015,0.283008108221853,0.0386097622690942,0.707981017341706,-0.163940748998309,0.707981017346047,-0.163940748992046,0.282999739063645,0.0386246429217956
0.0155,0.283828467248172,0.0397096529820197,0.706565223244965,-0.169181252085151,0.706565223249943,-0.169181252078621,0.28381958277049,0.0397248981443197
0.016,0.284670700225758,0.0407924524246198,0.705110256288788,-0.17440573923984,0.705110256294414,-0.174405739233108,0.284661263030387,0.0408080612523264
0.0165,0.285534390322579,0.0418577990053087,0.703616271808704,-0.179614027705635,0.703616271814978,-0.179614027698765,0.285524361987868,0.0418737721465993
0.017,0.286419116857831,0.0429053448553947,0.702083421736548,-0.18480592016432,0.702083421743469,-0.184805920157373,0.286408458019173,0.0429216845157652
0.0175,0.287324455876642,0.043934755708769,0.700511856586612,-0.189981205882383,0.70051185659417,-0.189981205875414,0.287313126310587,0.0439514657093664
0.018,0.288249980706927,0.0449457107542414,0.698901727136417,-0.195139661913997,0.6989017271446,-0.195139661907062,0.288237939418373,0.0449627965834182
0.0185,0.289195262497108,0.0459379024621504,0.697253185833453,-0.200281054325986,0.697253185842244,-0.200281054319134,0.289182467808994,0.0459553713201193
0.019,0.290159870733529,0.0469110363869293,0.695566387958399,-0.205405139417821,0.695566387967778,-0.2054051394111,0.290146280378459,0.0469288972234538
0.0195,0.29114337373652,0.0478648309473446,0.69384149257382,-0.210511664916356,0.693841492583766,-0.210511664909808,0.291128944949769,0.0478830944924414
