"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00412237823849182,0,0.995892117221956,0,0.995892104794621,0,0.00412236511095898,0
0.5,0.00462211422615866,-0.000364459016765295,0.995340432838461,-0.00581703828214231,0.995340434063102,-0.00581704186475562,0.00462187621197074,-0.000363912838221125
1,0.00509431481517808,-0.0013710425589224,0.994745903419389,-0.0109874787678415,0.994745902941094,-0.0109874784093833,0.00509366094186703,-0.00136965980620118
1.5,0.00535113276629318,-0.00255839619778442,0.994251064049088,-0.0161838112527697,0.994251063758888,-0.0161838109038115,0.00534980726559908,-0.00255611051174753
2,0.00546300542276512,-0.0037469323591921,0.993761848768182,-0.0212169776655458,0.993761848605743,-0.0212169773844977,0.00546118236707116,-0.00374340358783343
2.5,0.00550395796356895,-0.00491112202552202,0.993310080547179,-0.0261519115846269,0.993310080459844,-0.0261519113810138,0.0055018007338159,-0.00490626206737232
3,0.00550646103744334,-0.00605377396535545,0.992892004710524,-0.0310340701609739,0.992892004665393,-0.0310340700244858,0.00550406643271373,-0.00604757139554479
3.5,0.00548503897638319,-0.00718023428991188,0.992493082017457,-0.0358885381816823,0.992493081996519,-0.0358885380976943,0.00548246058147939,-0.00717269636109208
4,0.00544671781203743,-0.00829464811030078,0.992098537928074,-0.0407273257535472,0.992098537921898,-0.0407273257085823,0.00544398477019925,-0.00828578410852288
4.5,0.00539517568519976,-0.00939986693996708,0.991696297954002,-0.0455553716802903,0.991696297957566,-0.0455553716633013,0.00539230332199514,-0.0093896837494718
5,0.0053324777984769,-0.0104978098754955,0.9912771543495,-0.0503741086512584,0.991277154359845,-0.0503741086535019,0.0053294734199909,-0.0104863111123912
5.5,0.00525985693480191,-0.0115897708424022,0.990834215143338,-0.055183351082567,0.990834215158377,-0.0551833510971456,0.00525672306468561,-0.0115769569963451
6,0.00517809022397575,-0.0126766277206798,0.99036231067153,-0.0599822440422777,0.990362310689461,-0.0599822440638,0.00517482647942469,-0.0126624965295488
6.5,0.00508769271386345,-0.0137589782165559,0.989857523517365,-0.0647697235484177,0.989857523536409,-0.0647697235726383,0.00508429693727841,-0.0137435250441325
7,0.00498902234375431,-0.0148372279682576,0.989316850037568,-0.069544729604468,0.989316850055876,-0.0695447296280953,0.00498549131276338,-0.0148204461260182
7.5,0.00488233959146478,-0.0159116484206763,0.988737964448878,-0.074306295739837,0.988737964464509,-0.0743062957603327,0.00487866948145932,-0.0158935294277285
8,0.00476784276337483,-0.0169824155340006,0.988119055198922,-0.0790535777441219,0.988119055209871,-0.0790535777596082,0.00476402945981902,-0.016962949323891
8.5,0.00464568962052458,-0.0180496361808142,0.98745871029926,-0.0837858533591076,0.987458710303492,-0.0837858533682407,0.00464172893716497,-0.0180288112662375
9,0.00451601104424171,-0.0191133664963914,0.986755835373261,-0.0885025090732086,0.986755835368753,-0.0885025090751075,0.00451189888066661,-0.0190911701017269
9.5,0.00437891990666983,-0.0201736248716911,0.98600959357534,-0.0932030222119433,0.986009593560119,-0.093203022206116,0.00437465236568102,-0.0201500430411672
10,0.00423451696590327,-0.0212304013134181,0.985219360282437,-0.0978869424200122,0.985219360254609,-0.0978869424062871,0.00423009044357414,-0.0212054190009363
