"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.018437893853843,0,0.981568922084989,0,0.981568922710721,0,0.0184379129495937,0
0.5,0.0211215357266212,0.00466534342893254,0.978854608591266,-0.0129290961762791,0.978854608206884,-0.0129290961525657,0.0211219955907431,0.00466129271093596
1,0.0232557748523989,0.00690374629742507,0.976605384960108,-0.0234212989747018,0.976605385148988,-0.0234212992165777,0.0232560475566439,0.00689512371815937
1.5,0.0251518731317315,0.00850163946057059,0.974483675468676,-0.0332962482734542,0.974483675504891,-0.0332962485526433,0.0251513964745538,0.00848849587620126
2,0.0268797422746658,0.00977975079962423,0.972508077377112,-0.042805082404751,0.972508077311694,-0.0428050826385054,0.0268781511407807,0.00976228182106098
2.5,0.0285603719042173,0.0108079012813205,0.970539680941892,-0.0520768892965648,0.97053968083057,-0.0520768894657717,0.0285573756433659,0.010786316523296
3,0.0302086373345656,0.0115991684943593,0.968534352800229,-0.0611290072688968,0.968534352680249,-0.0611290073794049,0.030203999333104,0.0115737000899641
3.5,0.0318093014769092,0.0121747026074663,0.966495044168979,-0.0699698779860163,0.966495044062276,-0.0699698780509483,0.0318028417088652,0.0121455956020222
4,0.0333466148454333,0.012563367779221,0.964437824493346,-0.0786162800476591,0.964437824411528,-0.078616280080904,0.0333382066918417,0.0125308644897637
4.5,0.0348114692831571,0.0127949069578444,0.962377547648861,-0.0870913882351601,0.96237754759677,-0.0870913882490258,0.0348010302781439,0.0127592346345202
5,0.0362009531030352,0.0128958033864457,0.960323421045644,-0.0954203672754694,0.960323421023713,-0.0954203672799001,0.0361884336082134,0.0128571675105515
5.5,0.0375161640201784,0.0128878637766112,0.958278778478945,-0.103627106146944,0.958278778484783,-0.10362710614937,0.0375015367404952,0.0128464460705957
6,0.038760229164976,0.0127883392324755,0.956242329193001,-0.11173244833131,0.956242329222452,-0.111732448336748,0.038743480759486,0.0127442986507824
