"Freq [thz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00787793764629896,0,0.992134939471725,0,0.99213493973366,0,0.00787793998631514,0
0.0005,0.00885043168635136,0.00333302398200708,0.991125078737589,-0.0105481829904353,0.991125078737248,-0.0105481829909397,0.00885030057001401,0.00333261522597361
0.001,0.010431033386709,0.00573936108941453,0.989464734133907,-0.0201698545834628,0.989464734133092,-0.0201698545840028,0.0104303619455823,0.00573847330405819
0.0015,0.0122786968948896,0.00734249345362947,0.98747685527973,-0.0289928761367726,0.987476855279209,-0.0289928761364564,0.0122766885979466,0.0073410853417446
0.002,0.0140434470493691,0.00831087123906826,0.985527440821409,-0.0371689538476945,0.985527440821413,-0.0371689538473037,0.0140400601819204,0.00830937681499044
0.0025,0.0156051156519368,0.00885581404542535,0.983736061367269,-0.0449235462289916,0.983736061367479,-0.0449235462288273,0.0156002124644892,0.00885419582189595
0.003,0.0169369211192998,0.00913743891206575,0.982121996669173,-0.0524180349661014,0.982121996669364,-0.0524180349661236,0.0169301410092357,0.00913567413598138
0.0035,0.0180559320137936,0.00926710385178353,0.980665415806073,-0.0597600135942944,0.980665415806172,-0.0597600135943903,0.0180468826798115,0.00926529509817176
0.004,0.0189957470866129,0.00931649322873707,0.979333371089932,-0.0670181983673057,0.979333371089945,-0.0670181983673999,0.0189840952419793,0.00931480846563115
0.0045,0.0197921086653507,0.00932887017874862,0.978091630272315,-0.074234611084214,0.978091630272281,-0.0742346110842709,0.0197775832839493,0.00932748220427637
0.005,0.0204767653643971,0.00932888757562633,0.976909634566165,-0.0814337658812052,0.976909634566113,-0.0814337658812168,0.0204591330024939,0.00932794584175145
0.0055,0.0210757261075798,0.0093296985173934,0.975761984501519,-0.0886291263904537,0.975761984501472,-0.0886291263904271,0.0210547665739058,0.00932932381611806
0.006,0.0216094465251169,0.0093376216951766,0.974628338846394,-0.095827385661956,0.974628338846365,-0.0958273856619032,0.0215849362337697,0.00933791153355479
0.0065,0.0220936779468534,0.00935503981825825,0.973492720642393,-0.103031189172458,0.973492720642383,-0.103031189172392,0.0220653805528083,0.00935607721727383
0.007,0.0225404181405762,0.00938214566254558,0.972342699474331,-0.110240821787154,0.97234269947434,-0.110240821787087,0.022508080345958,0.00938400803176354
0.0075,0.0229587556201841,0.00941797427966629,0.971168641282884,-0.117455234777209,0.971168641282908,-0.117455234777145,0.0229221062505477,0.00942074113228975
0.008,0.0233555545606247,0.00946100455355303,0.96996308476141,-0.124672663065441,0.969963084761439,-0.124672663065387,0.023314305584871,0.00946476377948002
0.0085,0.0237359874789316,0.00950950442928766,0.968720247065687,-0.131890991715931,0.968720247065714,-0.131890991715889,0.0236898361345651,0.00951435721035265
0.009,0.0241039413026914,0.0095617246530364,0.967435641395133,-0.139107970262493,0.96743564139515,-0.139107970262463,0.0240525728195886,0.00956778921085721
0.0095,0.0244623243333298,0.00961600340693192,0.966105784594491,-0.146321335221186,0.966105784594491,-0.146321335221167,0.0244054149542386,0.00962341777803033
0.01,0.0248132978735714,0.00967081881286891,0.96472797461521,-0.153528877494197,0.964727974615185,-0.153528877494187,0.0247505179904989,0.00967974281753747
0.0105,0.0251904169492375,0.0097228984920914,0.963324875069044,-0.160730356578976,0.96332487506724,-0.160730356577294,0.0251188556350691,0.00973310243168068
0.011,0.0255562990794542,0.00977190128307681,0.96187244387923,-0.167925650440149,0.961872443876171,-0.167925650436829,0.0254760929923823,0.00978395013429978
0.0115,0.0259128248991775,0.00981801422022865,0.960369695174751,-0.175113039770376,0.96036969517087,-0.175113039765498,0.0258241051972992,0.00983237277933924
0.012,0.0262615793951987,0.00986125639707414,0.958815929909852,-0.182290979772377,0.958815929905509,-0.182290979766054,0.0261644620838379,0.00987830766966491
