"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.0049325903044064,0,0.99508039560169,0,0.995080395543482,0,0.00493258298143928,0
0.5,0.00543900444424139,0.000292072059661308,0.994543582748996,-0.005011754088315,0.994543582765303,-0.00501175401053899,0.00543880729225066,0.00029325187616891
1,0.00591030098232537,-4.66494863751166E-005,0.994013141579803,-0.00939054285679575,0.994013141512529,-0.00939054247679394,0.00590980928383189,-4.40616340746658E-005
1.5,0.00622947100606197,-0.000487446635133892,0.993586427825555,-0.0137614174306719,0.993586427924345,-0.0137614171407385,0.00622844808621537,-0.000483862415219249
2,0.00642591342861643,-0.000988023993805598,0.993210778900329,-0.018003650397759,0.99321077905296,-0.0180036502170857,0.00642422346141025,-0.000983038953364712
2.5,0.00654818093720166,-0.00149139987954072,0.992889641637992,-0.0221885140350437,0.99288964178624,-0.0221885139340117,0.00654588001034995,-0.00148479961857007
3,0.006629165142785,-0.00198473330591575,0.992603761165236,-0.0263519065085092,0.992603761287795,-0.0263519064562701,0.00662631248324708,-0.00197642344476812
3.5,0.00668696817092762,-0.00246751567403081,0.992334217640548,-0.030508455316749,0.992334217732857,-0.0305084552917467,0.00668359309349142,-0.00245745195218028
4,0.00673143488528805,-0.0029420130245903,0.992067036130437,-0.0346629003073975,0.992067036194241,-0.0346629002963077,0.00672754029610179,-0.00293016842961613
4.5,0.00676810213916212,-0.0034107323368211,0.99179260435229,-0.0388158576716044,0.991792604391238,-0.0388158576666608,0.00676367212873519,-0.00339708341371647
5,0.00680022298930583,-0.00387584570089494,0.99150435511786,-0.042966377280532,0.991504355135877,-0.0429663772774145,0.00679522864467508,-0.00386036696378333
5.5,0.00682979422122854,-0.00433913487457183,0.991197716628961,-0.0471130216015698,0.991197716629714,-0.0471130215980438,0.00682419741741036,-0.0043217965211344
6,0.0068580930615898,-0.00480205699259351,0.990869411892007,-0.0512543043044875,0.990869411878778,-0.0512543042995421,0.00685184882073253,-0.00478282395837404
6.5,0.00688596849395529,-0.0052658233677878,0.990517015058265,-0.0553888565873741,0.990517015033983,-0.0553888565807235,0.00687902642297855,-0.00524465491420401
7,0.0069140057072159,-0.00573146565312221,0.990138673827384,-0.0595154788334664,0.990138673794678,-0.0595154788252152,0.006906310852969,-0.00570831515183734
7.5,0.00694262243737809,-0.00619988640748126,0.989732934957641,-0.0636331450081453,0.989732934918901,-0.0636331449986169,0.00693411576962988,-0.00617470117770225
8,0.00697212736949182,-0.00667189664885015,0.989298633199735,-0.0677409887213791,0.989298633157157,-0.0677409887109768,0.00696274602015334,-0.00664461778604419
8.5,0.00700275666044448,-0.00714824365161881,0.988834819358546,-0.071838283334297,0.988834819314175,-0.0718382833234292,0.00699243399756933,-0.00711880582111668
9,0.00703469743825469,-0.00762963171154052,0.988340712681555,-0.0759244213093604,0.9883407126373,-0.0759244212984038,0.00702336302317375,-0.00759796289567749
9.5,0.0070681033231158,-0.0081167379161311,0.987815668513117,-0.0799988948740529,0.987815668470774,-0.0799988948633166,0.00705568278061808,-0.00808275910957601
10,0.00710310493260335,-0.00861022438581394,0.987259155622258,-0.0840612787108759,0.987259155583519,-0.0840612787005828,0.00708951975258398,-0.0085738492360754
10.5,0.00713161837233101,-0.00907955155150741,0.986730394269715,-0.088165279447348,0.986730394231299,-0.0881652794365957,0.00711721121474262,-0.0090411302591038
11,0.00715884042503578,-0.00955353379034118,0.986182581996259,-0.0922581213948517,0.986182581958181,-0.0922581213836562,0.00714358142245197,-0.0095130351522883
11.5,0.00718448611285383,-0.010032187583624,0.985616299114328,-0.0963398677978242,0.985616299076605,-0.096339867786198,0.00716834678389688,-0.00998957944204459
12,0.00720827503116372,-0.0105155113844768,0.985032094558327,-0.100410616422851,0.985032094520971,-0.100410616410809,0.0071912283165203,-0.0104707607047541
12.5,0.00722993252099702,-0.0110034865047401,0.984430484481251,-0.104470495143365,0.984430484444278,-0.104470495130919,0.00721195281378617,-0.0109565594557859
13,0.00724919071985469,-0.0114960780685829,0.983811951381852,-0.108519657646663,0.983811951345274,-0.10851965763383,0.00723025389016363,-0.011446940104725
13.5,0.00726578948992707,-0.0119932360177657,0.983176943710523,-0.112558279315943,0.98317694367435,-0.112558279302737,0.00724587290340101,-0.0119418519616294
14,0.00727947722444688,-0.0124948961540046,0.982525875899575,-0.116586553328851,0.982525875863818,-0.116586553315291,0.0072585597548962,-0.0124412302798582
14.5,0.00729001153448566,-0.0130009812049936,0.981859128762839,-0.120604687003931,0.981859128727509,-0.12060468699003,0.00726807357053871,-0.0129449973219602
15,0.00729715981982162,-0.0135114019014377,0.981177050210294,-0.124612898416579,0.981177050175399,-0.124612898402359,0.00727418326571475,-0.0134530634360548
15.5,0.0073006997286619,-0.0140260580537426,0.980479956225456,-0.128611413297915,0.980479956191003,-0.128611413283391,0.00727666799933213,-0.0139653281313237
16,0.00730041951192267,-0.0145448396180434,0.97976813205617,-0.132600462222447,0.979768132022167,-0.132600462207637,0.00727531752261235,-0.0144816811423523
16.5,0.00729611827851502,-0.0150676277425421,0.979041833573107,-0.136580278084201,0.979041833539559,-0.13658027806912,0.0072699324291441,-0.0150020034733318
17,0.00728760615860274,-0.0155942957862747,0.978301288754295,-0.140551093855811,0.978301288721207,-0.140551093840477,0.00726032431322943,-0.0155261684142807
17.5,0.00727470438220168,-0.016124710303671,0.977546699258334,-0.144513140620937,0.977546699225709,-0.144513140605371,0.00724631584388837,-0.0160540425226863
18,0.00725724528066105,-0.0166587319893408,0.976778242053324,-0.148466645867082,0.976778242021165,-0.148466645851299,0.00722774076213258,-0.016585486565051
18.5,0.00723507221866805,-0.0171962165786881,0.975996071072865,-0.152411832023657,0.975996071041174,-0.152411832007673,0.00720444380913478,-0.0171203564140177
19,0.00720803946434996,-0.0177370157008978,0.975200318874639,-0.156348915228403,0.975200318843418,-0.156348915212236,0.0071762805928976,-0.0176585038976316
19.5,0.00717601200488241,-0.0182809776818313,0.974391098281029,-0.160278104304374,0.974391098250277,-0.16027810428804,0.00714311740083819,-0.0181997775983427
20,0.00713886531478104,-0.0188279482951774,0.973568503984834,-0.164199599929238,0.973568503954552,-0.164199599912753,0.00710483096546252,-0.0187440236001497
20.5,0.00709648508373428,-0.0193777714610328,0.97273261410649,-0.16811359397867,0.972732614076676,-0.168113593962049,0.00706130818997563,-0.0192910861830864
21,0.00704876691044928,-0.0199302898916729,0.971883491692139,-0.172020269025928,0.971883491662791,-0.172020269009187,0.00701244584030838,-0.0198408084648678
21.5,0.0069956159685996,-0.0204853456849525,0.971021186144546,-0.175919797980414,0.971021186115663,-0.175919797963568,0.00695815020961787,-0.0203930329901505
22,0.00693694665049577,-0.0210427808662286,0.970145734581144,-0.179812343848794,0.970145734552722,-0.179812343831857,0.00689833676087492,-0.0209476022683761
22.5,0.00687268219366707,-0.0216024378801278,0.969257163115478,-0.183698059603256,0.969257163087513,-0.183698059586243,0.00683292975271169,-0.0215043592615034
23,0.00680275429507296,-0.0221641600338534,0.968355488059971,-0.187577088142599,0.96835548803246,-0.187577088125523,0.00676186185321043,-0.022063147823391
23.5,0.00672710271720545,-0.0227277918939834,0.967440717049384,-0.191449562332894,0.967440717022323,-0.191449562315768,0.00668507374589417,-0.022623813092769
