"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00731615534198227,0,0.992698976988322,0,0.992698977017426,0,0.00731615375138972,0
0.5,0.00782176347425434,0.00201993230145803,0.992122281446964,-0.00810635690003814,0.992122281688903,-0.00810635691042272,0.00782158397175081,0.00202058952455708
1,0.00824810392447972,0.00345934753179655,0.991516173866236,-0.0156173575384191,0.99151617385639,-0.0156173575235581,0.00824763369257653,0.00346089244860259
1.5,0.00849929064190391,0.00473971977941012,0.990921804304765,-0.0231955492135292,0.990921804305645,-0.0231955492032601,0.00849826093202122,0.00474210731749736
2,0.00866246171380691,0.00604756035057186,0.990237490696877,-0.0306033603790059,0.99023749070346,-0.0306033603779792,0.00866108117526831,0.00605109522120451
2.5,0.00880267737328166,0.00738397021831716,0.98951604752014,-0.0378757950038686,0.989516047527144,-0.0378757950125941,0.00880109567658094,0.00738871794788487
3,0.0089438599608882,0.00874024949209229,0.988778704915926,-0.0450519477790738,0.988778704919773,-0.0450519477957041,0.00894216095322964,0.00874622018189264
3.5,0.00909588117716731,0.0101100466765809,0.988027494309109,-0.052162263119417,0.988027494308081,-0.0521622631414429,0.00909411335571941,0.0101172407798362
4,0.0092633564907969,0.0114893519639656,0.987255869325415,-0.0592265864444386,0.987255869319134,-0.0592265864695474,0.00926155025257724,0.0114977713368374
4.5,0.00944870156857935,0.0128756459985198,0.986454796590846,-0.0662563257524136,0.986454796579718,-0.0662563257788014,0.00944687786831833,0.0128852963327555
5,0.00965332007902919,0.0142673103058986,0.985615512119703,-0.0732571790210912,0.985615512104526,-0.0732571790474799,0.00965149489259021,0.0142782013642115
5.5,0.00987811470146549,0.0156632770799554,0.984730486344393,-0.0802312847091677,0.984730486326121,-0.0802312847347135,0.00987630145920937,0.0156754224129836
6,0.0101237266451878,0.0170628236471657,0.983793585687449,-0.0871786723126684,0.983793585667066,-0.0871786723368508,0.010121937644928,0.0170762402431741
6.5,0.0103906562486092,0.018465449314423,0.982799932396819,-0.0940981741215898,0.982799932375281,-0.094098174144138,0.0103889035318206,0.0184801572942987
7,0.0106793274720681,0.0198707993678475,0.981745685185575,-0.100987978415997,0.981745685163784,-0.100987978436802,0.0106776234053722,0.0198868217426851
7.5,0.010990124204222,0.0212786166831704,0.980627827489719,-0.107845958682115,0.980627827468517,-0.107845958701181,0.0109884818929487,0.0212959791666356
8,0.0113234116302958,0.022688709956153,0.979443990503607,-0.114669866960101,0.979443990483775,-0.114669866977511,0.0113218452335009,0.0227074408194263
8.5,0.0116795493108938,0.0241009322161654,0.978192314308109,-0.121457445832698,0.978192314290377,-0.121457445848586,0.0116780742973365,0.0241210621744274
9,0.0120588994734352,0.0255151658685131,0.976871342198781,-0.128206491925238,0.97687134218383,-0.128206491939766,0.0120575328418805,0.0255367279901977
9.5,0.012461832440094,0.0269313119803249,0.97547994147114,-0.134914890535764,0.97547994145961,-0.134914890549116,0.0124605929182236,0.0269543416124249
10,0.0128887302886985,0.0283492823826643,0.974017244392796,-0.14158063307918,0.974017244385293,-0.141580633091544,0.0128876385196568,0.0283738170870795
10.5,0.0133701567111001,0.0296973501824667,0.972595112950413,-0.148331206040091,0.972595112941499,-0.148331206049597,0.0133693268592086,0.029723136825377
