"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00776293438161701,0,0.992250007620896,0,0.992250007548137,0,0.00776292855209704,0
0.5,0.00875628730875277,0.00349114812322604,0.991220246754835,-0.0106114006804994,0.991220246816916,-0.0106114007421514,0.0087558024338783,0.00349332587573059
1,0.0103640394217805,0.00604547441689007,0.989535020952593,-0.0202862456170418,0.989535020950786,-0.0202862456154076,0.0103622911654355,0.00604999369697445
1.5,0.0122535009614051,0.00778294453440331,0.987510252911183,-0.0291486522765698,0.987510252910464,-0.0291486522750244,0.0122494263665978,0.00778983703925462
2,0.014060630760647,0.00886839614752244,0.985523909780561,-0.037347735365981,0.985523909780389,-0.0373477353650431,0.0140538622512301,0.00887815859215291
2.5,0.0156599498161598,0.00952027778491349,0.983701359638976,-0.0451148277818358,0.98370135963887,-0.0451148277814148,0.0156500646504347,0.00953292668466688
3,0.0170245282986339,0.00990385297637619,0.982062682456402,-0.0526165556174689,0.982062682456199,-0.0526165556173082,0.0170108788598067,0.0099193760742704
3.5,0.0181726404748912,0.0101332969953711,0.980586964402199,-0.0599636776599795,0.980586964401924,-0.0599636776599066,0.018154515605632,0.0101517875741575
4,0.0191391655540192,0.0102817226278971,0.979239869421979,-0.0672265332825628,0.979239869421708,-0.0672265332825068,0.0191158816164236,0.0103033444727272
4.5,0.0199609024411298,0.0103930825271501,0.977985982950892,-0.0744478838251652,0.977985982950688,-0.074447883825111,0.0199318167367049,0.0104180215217751
5,0.0206704118122962,0.010492332964307,0.976793856945329,-0.0816525275295028,0.976793856945222,-0.0816525275294735,0.0206349074160543,0.0105207722581975
5.5,0.0212943136510162,0.0105927282198701,0.975637454414692,-0.0888539925417309,0.975637454414688,-0.088853992541746,0.0212517815167494,0.0106248423241047
6,0.0218535223470162,0.0107005818312942,0.974495984812187,-0.0960589378148962,0.974495984812273,-0.0960589378149725,0.0218033484438671,0.0107365402283004
6.5,0.0223641355298179,0.0108182153784289,0.97335315530074,-0.103269935615265,0.973353155300891,-0.103269935615405,0.0223056935318313,0.0108581895588999
7,0.0228384144197676,0.0109457311764531,0.972196312369555,-0.110487186643796,0.972196312369742,-0.110487186643994,0.0227710625804217,0.0109899021351314
7.5,0.0232856493192904,0.0110820586692792,0.971015663158623,-0.117709559670495,0.971015663158816,-0.117709559670734,0.0232087301126017,0.0111306236703856
8,0.0237128594504076,0.0112255635909562,0.96980363233438,-0.124935213854663,0.969803632334549,-0.124935213854918,0.0236257009358979,0.0112787418527027
8.5,0.0241253361089365,0.0113743973261267,0.968554354500619,-0.132161966750032,0.968554354500733,-0.132161966750267,0.0240272543391817,0.0114324346158829
9,0.0245270561095669,0.0115266929620357,0.967263282694517,-0.139387508549043,0.967263282694553,-0.13938750854922,0.0244173581555509,0.0115898652076267
9.5,0.0249209939940936,0.0116806712985627,0.965926889735113,-0.146609523861773,0.965926889735047,-0.146609523861843,0.0247989813258956,0.0117492873411935
10,0.025309357446036,0.0118346942591048,0.964542441337261,-0.153825758186736,0.964542441337073,-0.15382575818665,0.0251743295034003,0.0119090978608445
10.5,0.025737259228482,0.0119886542494232,0.96313182804993,-0.161035576664809,0.963131828053492,-0.161035576666882,0.0255817668358129,0.0120670615895659
11,0.0261540122300166,0.0121370722775715,0.961672049085131,-0.168239250359319,0.96167204909152,-0.168239250363618,0.0259782233263934,0.0122210328896295
11.5,0.0265614838474849,0.0122805483334316,0.960162060094909,-0.175435063469254,0.960162060103347,-0.175435063475747,0.026365609945577,0.0123713692183705
12,0.0269612939829321,0.0124194455156039,0.958601113100712,-0.182621469339304,0.958601113110548,-0.182621469347892,0.0267455568045048,0.01251822834368
12.5,0.0273548372223972,0.0125539499764868,0.956988691607988,-0.189797074431128,0.956988691618678,-0.189797074441663,0.0271194455947568,0.0126616247020559
13,0.0277433059001248,0.0126841173863088,0.955324460519924,-0.196960622699914,0.955324460531021,-0.196960622712213,0.0274884402789631,0.0128014719898677
13.5,0.0281277126086094,0.0128099087997713,0.95360822717195,-0.204110980958011,0.953608227183088,-0.204110980971877,0.0278535152167679,0.0129376152282914
14,0.0285089113534847,0.012931218242823,0.951839910795947,-0.211247125467361,0.951839910806829,-0.211247125482581,0.0282154804184385,0.0130698548079651
14.5,0.0288876169594561,0.0130478938569636,0.9500195184306,-0.218368129816358,0.950019518440994,-0.218368129832719,0.0285750039140136,0.0131979644362403
