"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00776435025250066,0,0.992248583032051,0,0.992248582842876,0,0.00776434353315381,0
0.5,0.00875705951131067,0.00348960978799795,0.991219428585534,-0.0106132066795581,0.991219428584728,-0.0106132066746092,0.00875659505145165,0.00349179008125233
1,0.0103663435053232,0.00604260267216183,0.989532608327139,-0.0202900643312045,0.989532608324978,-0.0202900643308563,0.010364619948378,0.00604707412862915
1.5,0.0122577327065683,0.00777736751785874,0.987505880632923,-0.0291530960722586,0.987505880631876,-0.0291530960707949,0.0122535975235092,0.00778412117763594
2,0.0140663403078856,0.0088592672847847,0.98551790697102,-0.0373519715326376,0.985517906971061,-0.0373519715314758,0.0140594258657289,0.00886882988277993
2.5,0.0156666561772956,0.00950736304219824,0.983694172023472,-0.0451185614964453,0.983694172023839,-0.0451185614959604,0.0156565227142802,0.0095197175762598
3,0.0170319563989905,0.0098871198446604,0.982054589083789,-0.0526197320037811,0.982054589084036,-0.0526197320037483,0.0170179005397695,0.00990222545673625
3.5,0.0181806362166119,0.0101127312337805,0.980578112056415,-0.059966286156417,0.980578112056446,-0.0599662861565555,0.0181618817539038,0.0101306765141969
4,0.0191476190856481,0.0102572978367963,0.97923034529252,-0.0672285537134494,0.979230345292396,-0.0672285537135906,0.0191234246206444,0.0102782571992392
4.5,0.0199697167185158,0.0103647682498069,0.977975854336353,-0.0744492862129773,0.977975854336169,-0.0744492862130492,0.019939391652249,0.010388943198139
5,0.0206794945427413,0.0104601033093701,0.976783185394911,-0.0816532808192454,0.976783185394743,-0.0816532808192445,0.0206423810908964,0.0104876918566141
5.5,0.0213035769620993,0.0105565653618571,0.975626298589792,-0.0888540702726228,0.975626298589684,-0.0888540702725713,0.0212590287576528,0.0105877541016008
6,0.0218628838584622,0.0106604761210805,0.974484399894113,-0.0960583200896203,0.974484399894086,-0.0960583200895466,0.0218102504025619,0.0106954437950164
6.5,0.0223735190253614,0.0107741640357886,0.973341191984411,-0.103268608903292,0.973341191984465,-0.10326860890322,0.0223121366704386,0.0108130893483445
7,0.0228477499038838,0.0108977366750631,0.972184016286848,-0.110485142685535,0.972184016286975,-0.110485142685486,0.0227769377861509,0.010940806792648
7.5,0.0232948726471697,0.0110301272852227,0.971003074788328,-0.117706794184883,0.971003074788508,-0.117706794184865,0.0232139319043394,0.0110775455729755
8,0.0237219117428288,0.0111697042537897,0.969790787251713,-0.124931725362204,0.969790787251927,-0.124931725362222,0.0236301267863447,0.0112216968071115
8.5,0.024134163100014,0.011314620769562,0.968541283813029,-0.13215775561356,0.968541283813255,-0.132157755613607,0.0240308041343039,0.0113714417125208
9,0.0245356075126774,0.0114630111230687,0.967250013552961,-0.139382576238505,0.967250013553176,-0.139382576238571,0.0244199337964578,0.0115249467872807
9.5,0.0249292229277484,0.011613096906284,0.965913445852485,-0.146603872412634,0.96591344585267,-0.146603872412703,0.0248004864649167,0.0116804690320951
10,0.0253172199353112,0.0117632405615637,0.96452884347681,-0.153819389812806,0.964528843476944,-0.153819389812857,0.0251746693986338,0.0118364086510367
