"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00334652063855856,0,0.996667888030061,0,0.996667886822252,0,0.00334650797003633,0
0.5,0.0037996685175159,-0.00119784356216002,0.996124061728686,-0.00622071291315507,0.996124061736936,-0.00622071299477156,0.00379919562529807,-0.00119621379993262
1,0.00420047500914222,-0.00300588896188714,0.995489603619795,-0.0118112472538847,0.995489603567826,-0.0118112472314031,0.00419921266928114,-0.00300207082761261
1.5,0.00413615150693758,-0.00503518618355514,0.994980466593965,-0.0175012730374249,0.994980466559138,-0.017501273012698,0.00413274048749912,-0.00502802949932146
2,0.00404882262030704,-0.00695331851803616,0.994394868429454,-0.0230166730441255,0.99439486841106,-0.0230166730222621,0.00404456983849677,-0.00694310683278943
2.5,0.00393767563958569,-0.00882229140477975,0.993787200830633,-0.0283806699807698,0.993787200825832,-0.0283806699642604,0.00393293752446588,-0.00880911271731932
3,0.0038027847670703,-0.0106616952636038,0.993184649045686,-0.0336278089604249,0.993184649051169,-0.0336278089495821,0.00379768496180688,-0.0106455729852257
3.5,0.00364447063046836,-0.0124790240177468,0.992594393497471,-0.0387901758626228,0.992594393510305,-0.038790175856505,0.00363905494001404,-0.012459951529955
4,0.00346317566059273,-0.0142772596498517,0.992012530413517,-0.043892499525068,0.992012530431309,-0.0438924995222667,0.00345745936836828,-0.0142552129712268
4.5,0.0032594278308129,-0.0160574039055472,0.991430512361205,-0.0489521054149691,0.991430512382057,-0.0489521054140756,0.00325341365345011,-0.0160323474219926
5,0.0030338259812015,-0.0178194938155301,0.99083878932902,-0.0539805197275953,0.990838789351415,-0.0539805197274053,0.00302751201998719,-0.0177913833314243
5.5,0.00278703163397598,-0.0195630656220587,0.990228522187355,-0.0589851930497698,0.990228522210069,-0.0589851930493914,0.00278041533888729,-0.0195318502309192
6,0.00251976300469314,-0.0212873886332741,0.989592214926761,-0.0639708552584679,0.989592214948791,-0.063970855257292,0.00251284334412061,-0.0212530120168832
6.5,0.00223278978474362,-0.0229915926587374,0.988923816199407,-0.0689404576258994,0.988923816219939,-0.0689404576235564,0.00222556852151667,-0.0229539940889261
7,0.00192692817682949,-0.0246747420133016,0.988218593649181,-0.0738957911435971,0.988218593667552,-0.0738957911399325,0.00191941065642354,-0.0246338571893219
7.5,0.00160303599031097,-0.0263358808126437,0.98747293248343,-0.0788378820587923,0.987472932499115,-0.0788378820537918,0.00159523163858455,-0.0262916426017661
8,0.00126200773237972,-0.0279740619207161,0.986684127555502,-0.0837672433415886,0.986684127568087,-0.0837672433353482,0.00125393036527255,-0.0279264010375275
8.5,0.000904769686083551,-0.0295883660947016,0.985850196979308,-0.0886840357531486,0.985850196988483,-0.0886840357458425,0.000896437687683882,-0.0295372117376811
9,0.00053227499088393,-0.0311779149672065,0.984969725765269,-0.0935881728362604,0.984969725770805,-0.0935881728280998,0.000523711392854231,-0.0311231954219648
9.5,0.000145498752315731,-0.0327418799788068,0.984041739340328,-0.0984793910638784,0.984041739342068,-0.098479391055097,0.000136731235268805,-0.032683523192321
10,-0.000254566788178257,-0.0342794885355007,0.983065603455827,-0.103357298080892,0.983065603453674,-0.103357298071734,-0.000263505957618704,-0.0342174226627172
10.5,-0.000530116169121464,-0.0359156310000275,0.982176695003605,-0.108180490756322,0.982176695000228,-0.108180490749567,-0.0005388801853079,-0.0358489564705593
11,-0.000823918894312548,-0.0375481252438741,0.981274511099853,-0.112984460379413,0.981274511095006,-0.112984460374669,-0.000832569253005455,-0.0374769476215144
11.5,-0.00113569475675407,-0.0391770778328597,0.980359013672977,-0.117770948708082,0.980359013666491,-0.117770948704957,-0.00114427466594291,-0.0391014951920514
12,-0.00146517538431662,-0.0408025467677557,0.979430015962073,-0.122541504000464,0.979430015953847,-0.122541503998584,-0.0014737132392324,-0.0407226491249428
12.5,-0.00181210645352892,-0.042424549990888,0.978487219514142,-0.127297489191956,0.978487219504132,-0.127297489190962,-0.00182061874271666,-0.0423404191993537
13,-0.00217624868441307,-0.0440430725997247,0.977530245062301,-0.132040093104278,0.977530245050512,-0.132040093103839,-0.00218474239212585,-0.0439547825482878
13.5,-0.0025573780019516,-0.0456580728993465,0.976558657897247,-0.136770343426284,0.976558657883727,-0.136770343426098,-0.00256585257625716,-0.0455656898999752
14,-0.00295528514701227,-0.0472694874402881,0.975571988404325,-0.141489120521716,0.975571988389155,-0.141489120521508,-0.00296373410045819,-0.0471730707235904
14.5,-0.00336977494073112,-0.0488772351864757,0.97456974843999,-0.146197171378535,0.974569748423276,-0.146197171378067,-0.00337818714433488,-0.0487768374491511
15,-0.00380066534697496,-0.0504812209476952,0.973551444186104,-0.150895123222011,0.973551444167973,-0.150895123221078,-0.00380902607091341,-0.0503768889143457
15.5,-0.00424778643354151,-0.0520813381963361,0.972516586064325,-0.155583496474771,0.972516586044918,-0.155583496473192,-0.00425607818024351,-0.0519731131712042
16,-0.00471097930064074,-0.0536774713727448,0.971464696226948,-0.160262716869314,0.971464696206418,-0.16026271686694,-0.00471918246877318,-0.0535653897662209
16.5,-0.0051900950219668,-0.0552694977680277,0.970395314072555,-0.164933126608632,0.970395314051058,-0.164933126605347,-0.0051981884333212,-0.0551535915892325
17,-0.0056849936271903,-0.0568572890593142,0.969308000169108,-0.169594994535524,0.969308000146805,-0.169594994531233,-0.00569295494284086,-0.0567375863704944
17.5,-0.00619554314301499,-0.0584407125599951,0.968202338906686,-0.174248525316247,0.968202338883737,-0.174248525310879,-0.00620334919032797,-0.0583172378913588
18,-0.00672161870194779,-0.060019632236755,0.967077940147875,-0.178893867674372,0.967077940124436,-0.17889386766788,-0.0067292457300093,-0.0598924069623461
18.5,-0.00726310172241534,-0.061593909536195,0.965934440096632,-0.183531121729592,0.965934440072855,-0.183531121721948,-0.00727052560011388,-0.0614629522125081
19,-0.00781987916025007,-0.0631634040560254,0.964771501565867,-0.188160345506968,0.964771501541899,-0.188160345498162,-0.00782707552852888,-0.0630287307258111
19.5,-0.00839184282924546,-0.0647279740896862,0.963588813789662,-0.192781560687172,0.963588813765642,-0.19278156067721,-0.0083987872168067,-0.0645895985536677
20,-0.00897888878706676,-0.0662874770678288,0.962386091897371,-0.197394757669041,0.962386091873429,-0.197394757657941,-0.00898555669700013,-0.0661454111272017
20.5,-0.00958091678204651,-0.0678417699158369,0.961163076143041,-0.201999900014072,0.961163076119297,-0.201999900001868,-0.00958728375538356,-0.0676960235883786
21,-0.0101978297560169,-0.0693907093430819,0.959919530964055,-0.206596928338927,0.959919530940621,-0.206596928325661,-0.0102038714170415,-0.0692412910555511
21.5,-0.0108295333983132,-0.0709341520765956,0.958655243926968,-0.211185763717478,0.958655243903948,-0.211185763703202,-0.0108352254854895,-0.0707810688359878
22,-0.0114759357461727,-0.0724719550496022,0.957370024605569,-0.215766310648894,0.957370024583055,-0.215766310633665,-0.0114812541317894,-0.0723152125955298
22.5,-0.0121369468270174,-0.0740039755533641,0.956063703425775,-0.220338459643099,0.956063703403849,-0.220338459626984,-0.0121418675280325,-0.0738435784937321
23,-0.0128124783383985,-0.0755300713592519,0.954736130503647,-0.224902089469803,0.954736130482382,-0.224902089452871,-0.0128169775204612,-0.075366023291084
23.5,-0.013502443361709,-0.077050100816654,0.953387174496156,-0.229457069112383,0.953387174475615,-0.229457069094708,-0.0135064973379518,-0.076882404433813
24,-0.0142067561061237,-0.0785639229313184,0.952016721479048,-0.234003259463353,0.952016721459287,-0.234003259445011,-0.01421034133198,-0.0783925801206289
24.5,-0.0149253316795597,-0.0800713974278815,0.950624673862044,-0.238540514793959,0.950624673843106,-0.23854051477503,-0.0149284247446153,-0.0798964093550132
25,-0.015658085883748,-0.081572384799629,0.949210949348329,-0.243068684026545,0.949210949330253,-0.243068684007109,-0.0156606635014244,-0.0813937519859267
