"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00507275259474227,0,0.994956518828985,0,0.994956519789412,0,0.00507277567936626,0
0.5,0.0055250926503021,0.000663637443963694,0.994284696347123,-0.00999583867523057,0.994284696085657,-0.00999583874559562,0.00552540065439899,0.000662755013365768
1,0.00583556225784854,0.000734048461598746,0.993437473135067,-0.0193352773780262,0.993437473109895,-0.0193352774456947,0.00583645420957346,0.000731836691009846
1.5,0.00588901712210888,0.000721177283367069,0.992511045863585,-0.0284605625993404,0.992511045842269,-0.0284605626197241,0.00589041945530244,0.000717343132073722
2,0.00576230286820723,0.00074716520648721,0.991496962737609,-0.0374472383447451,0.99149696273185,-0.0374472383516071,0.00576408218711011,0.000741601074791376
2.5,0.0055294677449016,0.000849454312168874,0.99036198254938,-0.0463190838922625,0.990361982552227,-0.0463190838977265,0.00553154596887495,0.000842137562571565
3,0.00523290139001298,0.00103461313236863,0.989102465264471,-0.0550691084697412,0.989102465270362,-0.0550691084749726,0.00523523717010699,0.00102554230664076
3.5,0.00490006618310179,0.00130223146619368,0.987730879506389,-0.0636900627580044,0.987730879513487,-0.0636900627608821,0.00490263611357311,0.00129141156741497
4,0.0045513262806034,0.00164922282779578,0.986265165443944,-0.0721803450505352,0.986265165453025,-0.0721803450489222,0.00455411638215486,0.00163666335458412
4.5,0.00420285506345097,0.00207067138749206,0.984723345575043,-0.080543751079686,0.98472334558812,-0.0805437510725397,0.00420585799010098,0.00205638654011064
5,0.00386770449481222,0.00256022058293315,0.983121083585311,-0.0887879082968404,0.983121083604566,-0.0887879082843996,0.00387091918245686,0.00254422910986385
5.5,0.00355625849576907,0.00311047189437108,0.981470795100255,-0.0969226643239098,0.981470795127341,-0.096922664307443,0.00355969055929811,0.00309279621677749
6,0.00327651403403517,0.00371340447715607,0.979781574992365,-0.104958773520344,0.979781575028019,-0.104958773501764,0.00328017611957343,0.0036940692930143
6.5,0.00303433781970688,0.00436076664812379,0.978059531843145,-0.112906946358788,0.978059531887026,-0.112906946340237,0.00303824959893256,0.0043397973178303
7,0.00283373509892457,0.0050444039617572,0.976308291871004,-0.120777228592814,0.976308291921697,-0.120777228576305,0.00283792284573157,0.00502182493256065
7.5,0.00267712762845057,0.00575650952045548,0.974529536141736,-0.128578644450947,0.974529536196858,-0.128578644438074,0.00268162344233527,0.00573234296424241
8,0.00256562733486664,0.00648979740222666,0.972723498563605,-0.136319033690801,0.972723498619955,-0.136319033682542,0.00257046812368726,0.00646406215975937
8.5,0.00249929271058444,0.00723760870161128,0.970889391957792,-0.144005020615253,0.970889392011529,-0.144005020611832,0.0025045190506911,0.00721031956182694
9,0.00247735908343173,0.0079939632626691,0.969025753169035,-0.151642065920505,0.969025753215848,-0.151642065921331,0.00248301405868935,0.00796513056141768
9.5,0.00249843831113335,0.00875357056040649,0.967130711088301,-0.159234565210427,0.967130711123569,-0.159234565214057,0.00250456640749822,0.00872320005718796
10,0.00256068700417353,0.00951181181910687,0.965202187498241,-0.166785969185589,0.965202187517169,-0.166785969189747,0.0025673331110122,0.00947990479865224
10.5,0.00270922443220531,0.010270590858056,0.96325155671641,-0.174286708961505,0.963251556769501,-0.174286708950127,0.00271681266259857,0.01023734311535
11,0.00288291447270664,0.0110150157218021,0.961275077275824,-0.181752408111667,0.961275077361272,-0.181752408092183,0.00289145721192027,0.0109803734840064
11.5,0.00307966988287656,0.0117452432267484,0.9592710715145,-0.189186354178871,0.959271071629591,-0.189186354157528,0.00308918097056854,0.0117091609865909
12,0.00329770450211209,0.0124614663188001,0.957237803169001,-0.196591256584739,0.957237803310409,-0.196591256566637,0.00330819969293036,0.0124239050513393
