"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.0090487485522317,0,0.99097088103008,0,0.990970875223866,0,0.00904875606420319,0
0.5,0.0098160668669891,-0.000181086206604064,0.990115435955804,-0.0105747610590523,0.990115439513477,-0.0105747701387333,0.00981670214264696,-0.000183888480508543
1,0.0103936471436779,-0.00124486157375436,0.989299256295118,-0.0202572749542043,0.989299257900917,-0.0202572738122129,0.0103951685147443,-0.00125131778295362
1.5,0.0107458499891173,-0.00245002615424994,0.988558030939979,-0.0297836664804532,0.98855803237,-0.0297836664330706,0.0107482284828446,-0.00246045470118794
2,0.0109344647078187,-0.00368814190719924,0.987846161771091,-0.0392404659912557,0.98784616274304,-0.0392404662908454,0.0109374614680151,-0.00370276579190332
2.5,0.0110372942626062,-0.00491869983769,0.987090725100846,-0.0486759958397656,0.987090725745018,-0.0486759961629826,0.0110407875859542,-0.00493754673718172
3,0.0110900342685993,-0.00614024799644852,0.986256402756695,-0.0580914528452379,0.986256403211192,-0.0580914530961998,0.0110940020938579,-0.00616332729090452
3.5,0.0111082114891055,-0.00735644507182798,0.985329560398473,-0.0674801300037364,0.985329560751129,-0.0674801301738777,0.0111126715977381,-0.00738379549379697
4,0.0110989490329168,-0.00857015762308411,0.984306501891824,-0.0768360461161928,0.984306502188354,-0.0768360462244786,0.0111039210018693,-0.00860184750007598
4.5,0.0110658657204594,-0.00978302685380061,0.983187813446776,-0.0861553034000639,0.983187813705679,-0.0861553034693161,0.0110713533245488,-0.00981914168359399
5,0.0110110690866965,-0.0109958758061213,0.981975728957697,-0.0954358530270802,0.981975729182229,-0.0954358530753128,0.0110170554622231,-0.0110365055138795
5.5,0.0109359706641713,-0.0122090870495146,0.98067289017486,-0.104676988892561,0.980672890361401,-0.10467698893078,0.0109424200776237,-0.0122543166948796
6,0.0108416215448792,-0.013422840970418,0.979281775864334,-0.113878876949766,0.979281776007889,-0.113878876982618,0.0108484838074293,-0.0134727452857302
6.5,0.0107288523121928,-0.0146372452986503,0.977804467110374,-0.123042182830823,0.977804467207905,-0.123042182858388,0.0107360676430054,-0.0146918862585421
7,0.0105983341326179,-0.0158523976829201,0.976242585022875,-0.132167798487608,0.976242585075087,-0.132167798507523,0.0106058374482411,-0.0159118240954061
7.5,0.0104506087925918,-0.0170684113499502,0.974597314716866,-0.14125665290823,0.974597314728894,-0.141256652917701,0.0104583330801315,-0.0171326596199384
8,0.0102861067807107,-0.0182854220888524,0.972869468321795,-0.15030958916286,0.972869468303174,-0.150309589160373,0.0102939855546433,-0.0183545175532132
8.5,0.0101051607063497,-0.0195035867202149,0.971059560918024,-0.159327291247083,0.971059560882208,-0.159327291233741,0.0101131296897488,-0.0195775451747973
9,0.00990801662639704,-0.0207230783422547,0.969167885436397,-0.168310246716461,0.969167885400034,-0.168310246696951,0.0099160148326754,-0.0208019075443269
9.5,0.0096948440726507,-0.0219440809167804,0.967194579682572,-0.177258733921145,0.967194579664672,-0.177258733904372,0.0097028144512295,-0.0220277819540868
10,0.00946574497289233,-0.0231667843071581,0.9651396827942,-0.186172825296095,0.965139682815299,-0.186172825295551,0.00947363475258066,-0.0232553527904251
10.5,0.00923545153824767,-0.0243845712408812,0.962981139732115,-0.195116643716631,0.962981139753428,-0.195116643716216,0.00924319148925087,-0.0244775529952834
11,0.00898664575212477,-0.0256074408971521,0.960738356573524,-0.204018271441459,0.960738356595044,-0.204018271441188,0.00899423415233623,-0.0257048388447569
11.5,0.00871868253809144,-0.0268349604064446,0.958412973894969,-0.212877547330635,0.958412973916694,-0.212877547330523,0.00872611772344895,-0.0269367783173986
12,0.00843095173061925,-0.0280666501485047,0.956006524633051,-0.221694385531475,0.956006524654974,-0.221694385531536,0.0084382320152972,-0.028172892629132
12.5,0.00812288076592044,-0.0293019882205314,0.953520434558229,-0.230468760574041,0.953520434580343,-0.230468760574292,0.00813000436817338,-0.0294126606918197
13,0.00779393681363075,-0.0305404149400048,0.950956024320273,-0.239200693620064,0.950956024342572,-0.239200693620518,0.0078009017883266,-0.0306555236077908
13.5,0.00744362837951923,-0.0317813373187295,0.948314512789098,-0.247890239958156,0.948314512811573,-0.247890239958826,0.00745043255815675,-0.0319008891370234
14,0.00707150641510976,-0.0330241334529138,0.945597021429533,-0.256537477791349,0.945597021452175,-0.256537477792246,0.00707814735384529,-0.0331481360817842
14.5,0.00667716497420395,-0.0342681567824299,0.942804579468684,-0.265142498323677,0.942804579491483,-0.265142498324814,0.00668363991017151,-0.0343966185418745
15,0.00626024145893012,-0.0355127401805688,0.939938129638127,-0.27370539712055,0.939938129661071,-0.273705397121937,0.00626654727493542,-0.0356456700017243
15.5,0.00582041649929288,-0.0367571998434992,0.936998534298517,-0.282226266692823,0.936998534321595,-0.28222626669447,0.00582654969674945,-0.0368946072184886
16,0.00535741351044017,-0.0380008389559581,0.933986581780147,-0.290705190235857,0.933986581803347,-0.290705190237771,0.0053633701902599,-0.0381427338875404
16.5,0.00487099797108598,-0.0392429511165211,0.930902992798337,-0.299142236442032,0.930902992821647,-0.299142236444222,0.00487677382209917,-0.0393893440686122
17,0.0043609764650881,-0.0404828235118193,0.927748426826712,-0.307537455297126,0.927748426850119,-0.307537455299599,0.00436656675943892,-0.0406337253618332
17.5,0.00382719552598454,-0.0417197398344975,0.924523488333739,-0.315890874766875,0.924523488357231,-0.315890874769639,0.00383259512089629,-0.0418751618282747
18,0.00326954032179255,-0.0429529829443198,0.921228732808148,-0.324202498279405,0.921228732831711,-0.324202498282463,0.00327474366700192,-0.043112936654347
18.5,0.00268793321443589,-0.0441818372757601,0.917864672516799,-0.332472302910858,0.91786467254042,-0.332472302914215,0.00269293436457768,-0.0443463345632049
19,0.00208233222510862,-0.0454055909986859,0.914431781954197,-0.340700238185381,0.914431781977862,-0.34070023818904,0.00208712485630785,-0.0455746439796578
19.5,0.00145272943371283,-0.0466235379413034,0.910930502956241,-0.348886225405593,0.910930502979937,-0.348886225409557,0.00145730686364404,-0.0467971589576459
20,0.000799149337324556,-0.0478349792866148,0.907361249462004,-0.357030157435741,0.907361249485717,-0.357030157440013,0.000803504548004264,-0.0480131808814146
20.5,0.000121647189558316,-0.0490392250550804,0.903724411916642,-0.365131898866171,0.903724411940359,-0.365131898870751,0.000125772852171246,-0.0492220199529834
21,-0.000579692660284015,-0.0502355953872249,0.900020361315992,-0.373191286494547,0.900020361339698,-0.373191286499435,-0.000575804159198112,-0.0504229964795737
21.5,-0.00130475841221006,-0.0514234216405736,0.896249452899352,-0.381208130065955,0.896249452923036,-0.381208130071152,-0.00130111494383289,-0.0516154419752941
22,-0.00205341243121299,-0.0526020473155506,0.892412029501481,-0.389182213220586,0.892412029525128,-0.38918221322609,-0.00205002209737171,-0.0527987000916503
22.5,-0.00282549282258393,-0.0537708288249998,0.8885084245782,-0.397113294603938,0.888508424601798,-0.397113294609748,-0.00282236392904861,-0.0539721273915037
23,-0.00362081495797656,-0.054929136121715,0.884538964922434,-0.405001109100305,0.884538964945969,-0.405001109106418,-0.0036179559886102,-0.0551350939807971
23.5,-0.00443917294531937,-0.0560763531979855,0.880503973088995,-0.412845369155756,0.880503973112455,-0.412845369162171,-0.00443659253750744,-0.0562869840120359
24,-0.00528034103740238,-0.0572118784705411,0.876403769547389,-0.420645766161692,0.876403769570762,-0.420645766168404,-0.00527804795913223,-0.0574271960728767
24.5,-0.00614407497547681,-0.0583351250636361,0.872238674582221,-0.428401971874518,0.872238674605494,-0.428401971881523,-0.00614207810439121,-0.0585551434725453
25,-0.00703011326556052,-0.0594455210022549,0.868009009960714,-0.436113639850972,0.868009009983875,-0.436113639858266,-0.00702842157025618,-0.0596702544380459
25.5,-0.00793817838623778,-0.0605425093266081,0.863715100386461,-0.443780406882125,0.8637151004095,-0.443780406889701,-0.00793680091004323,-0.060771972231336
26,-0.00886797792774557,-0.0616255481382706,0.859357274757876,-0.451401894412162,0.859357274780781,-0.451401894420018,-0.00886692377515341,-0.0618597551978106
26.5,-0.00981920566289962,-0.0626941105874865,0.854935867248971,-0.458977709930795,0.85493586727173,-0.458977709938923,-0.0098184839888073,-0.0629330767556113
