"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00625736799776178,0,0.993757422649651,0,0.993757384087075,0,0.00625734735638162,0
0.5,0.00683046135004162,7.29599687137039E-005,0.993138962944936,-0.00682748609047579,0.993138955984389,-0.00682748828833546,0.00683061080023251,7.21212117955616E-005
1,0.0073045841318411,-0.000536881578760529,0.992559094381289,-0.0129691887642167,0.992559094644619,-0.0129691858571981,0.00730489023124292,-0.000538701294846788
1.5,0.0076287399836179,-0.00122841609721647,0.992049788513347,-0.0191194361244733,0.992049790088595,-0.0191194340371474,0.0076292747766189,-0.00123098160267077
2,0.00782607718705286,-0.00198551144124259,0.991566127894247,-0.0251284473452564,0.991566129829778,-0.0251284462242509,0.00782696183063436,-0.00198893087523189
2.5,0.00794399344929708,-0.00274796963024393,0.99111700531448,-0.0310701508962303,0.991117007113584,-0.031070150461133,0.00794528216109036,-0.00275231011342569
3,0.00801597716694502,-0.003501377611137,0.990684864877558,-0.0369836917847586,0.990684866368897,-0.0369836917442452,0.00801771604904467,-0.00350667428214813
3.5,0.00806079032160856,-0.00424467760094238,0.990250749965663,-0.0428856592859734,0.990250751127449,-0.0428856594358926,0.00806303097466721,-0.00425095137953413
4,0.00808872336348854,-0.00498000927770903,0.989800241388181,-0.0487815783230268,0.989800242253157,-0.0487815785383212,0.0080915239354673,-0.00498727616078476
4.5,0.00810557702313375,-0.00570991039459479,0.989323362047803,-0.0546721083211086,0.989323362662913,-0.0546721085308466,0.00810900102347389,-0.00571818560915993
5,0.00811474686831515,-0.00643663774188674,0.98881336653552,-0.060555917989042,0.988813366947071,-0.0605559181564121,0.00811886202859569,-0.00644593757105838
5.5,0.00811829403149256,-0.00716207282756454,0.988265674474002,-0.0664309472465261,0.988265674723209,-0.0664309473556859,0.00812317154186837,-0.00717241543823999
6,0.00811750861134986,-0.00788777327860668,0.987677125174945,-0.0722949447583447,0.987677125297386,-0.0722949448063757,0.00812322267517729,-0.00789917912340954
6.5,0.00811321690510369,-0.00861504669289292,0.987045491126011,-0.0781456879672717,0.987045491152371,-0.0781456879592639,0.00811984451456582,-0.0086275387321253
7,0.00810595530717628,-0.00934501538019283,0.986369166258387,-0.0839810654418187,0.986369166215482,-0.0839810653878761,0.00811357616580621,-0.00935861923158132
7.5,0.00809607226991993,-0.0100786667692478,0.985646966021977,-0.0897991004920247,0.985646965933735,-0.0897991004054202,0.00810476881332145,-0.0100934108340356
8,0.00808379002616166,-0.0108168911780879,0.984877998003018,-0.0955979507413236,0.984877997891284,-0.0955979506373223,0.0080936475102652,-0.0108328067659391
8.5,0.00806924302012924,-0.0115605098621456,0.984061577175102,-0.101375898832506,0.984061577060279,-0.101375898727604,0.00808034965803939,-0.0115776313257268
9,0.00805250241885402,-0.0123102959382146,0.983197169680184,-0.107131340780413,0.983197169581725,-0.107131340691827,0.0080649495546441,-0.0123286608229867
9.5,0.00803359205467369,-0.0130669901820442,0.982284355090125,-0.11286277462153,0.982284355026901,-0.112862774566842,0.00804747436704828,-0.0130866393944178
10,0.00801249894426542,-0.0138313131568566,0.981322800809841,-0.118568790300913,0.981322800800415,-0.118568790297815,0.00802791467594827,-0.013852291152868
10.5,0.00798502930409511,-0.0145765852794,0.98039902561593,-0.124273084693349,0.980399025608905,-0.124273084698633,0.0080018424910932,-0.0145987792516342
11,0.00795179025374243,-0.0153277845081776,0.979444160349163,-0.129966399590251,0.979444160343002,-0.129966399603915,0.00797006581116969,-0.0153512189044855
11.5,0.00791235040865865,-0.0160848230779398,0.978457865197334,-0.135648675904655,0.978457865190641,-0.135648675926476,0.00793215270874664,-0.0161095234158264
12,0.00786629257358874,-0.0168475850475804,0.977439888766885,-0.141319797526271,0.97743988875842,-0.141319797555844,0.00788768542087039,-0.0168735778831448
12.5,0.00781321543995074,-0.0176159284469057,0.976390057168475,-0.146979610685212,0.976390057157158,-0.146979610721992,0.00783626204975468,-0.0176432413418741
13,0.00775273500415694,-0.0183896874799343,0.975308263405824,-0.152627938455622,0.97530826339073,-0.152627938498965,0.00777749798459884,-0.0184183489672507
13.5,0.00768448571650721,-0.0191686747517328,0.974194457462718,-0.158264591494441,0.974194457443076,-0.15826459154363,0.00771102705409954,-0.0191987143002001
14,0.00760812137364493,-0.0199526834891328,0.973048637279877,-0.163889375880279,0.973048637255059,-0.163889375934549,0.00763650242256367,-0.0199841314675715
14.5,0.00752331577016378,-0.0207414897292137,0.971870840688414,-0.169502098728836,0.971870840657925,-0.169502098787401,0.00755359724513653,-0.0207743773706155
