"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
6,0.0722721817274719,-0.0603696613552238,-0.596967252628045,-0.78207009094241,-0.596967252632244,-0.782070090947835,0.0719508913332629,-0.0607288441282782
6.1,0.0685043275103591,-0.0619150489522462,-0.625344991552519,-0.759500288695284,-0.625344991555972,-0.759500288699461,0.0681566571347489,-0.0622793578623155
6.2,0.0646441873980492,-0.0631844076036129,-0.652897057428755,-0.735903916246914,-0.652897057431412,-0.735903916249934,0.0642689560003722,-0.0635530574850451
6.3,0.0607117778809164,-0.0641718719024429,-0.679586572145062,-0.711308613625957,-0.679586572146887,-0.71130861362792,0.060307782626543,-0.0645439650367137
6.4,0.0567274319798145,-0.0648730324346183,-0.705377317952139,-0.685743318629383,-0.705377317953106,-0.685743318630392,0.056293459929401,-0.0652475514636741
6.5,0.0527116902416309,-0.0652849433572231,-0.730233781181881,-0.659238280946993,-0.730233781181977,-0.659238280947159,0.052246530890997,-0.0656607456647246
6.6,0.0486851935128784,-0.0654061211487347,-0.754121200428914,-0.63182507505678,-0.754121200428142,-0.631825075056216,0.0481876519714706,-0.0657819347683232
6.7,0.0446685783291293,-0.0652365350288278,-0.777005619212396,-0.603536611336477,-0.777005619210771,-0.603536611335298,0.0441374889282681,-0.0656109561058439
6.8,0.0406823756623085,-0.0647775896437836,-0.798853943078806,-0.574407144823684,-0.798853943076359,-0.574407144822008,0.0401166157927861,-0.0651490814466179
6.9,0.0367469136586542,-0.0640321006948695,-0.819634001046924,-0.544472281049105,-0.819634001043702,-0.544472281047047,0.0361454176500234,-0.064398994145128
7,0.0328822248803558,-0.063004264249806,-0.839314611234186,-0.513768978365158,-0.83931461123025,-0.513768978362831,0.0322439977507022,-0.0633647599173218
7.1,0.0291079584366951,-0.0616996205201658,-0.857865650439798,-0.482335546196049,-0.857865650435224,-0.482335546193562,0.0284320893608093,-0.0620517920100916
7.2,0.0254432972590188,-0.0601250129094303,-0.875258127394648,-0.450211638645754,-0.875258127389527,-0.45021163864321,0.0247289726238809,-0.0604668115543965
7.3,0.0219068806414939,-0.0582885431370642,-0.891464259322061,-0.417438242917644,-0.891464259316498,-0.417438242915139,0.0211533965798193,-0.0586178038978733
7.4,0.0185167320394561,-0.0561995232235417,-0.9064575513873,-0.384057662024126,-0.906457551381413,-0.384057662021745,0.0177235063538552,-0.0565139716969192
7.5,0.0152901919924561,-0.0538684250803256,-0.920212878548349,-0.350113491296919,-0.920212878542266,-0.350113491294737,0.0144567754036685,-0.0541656855116819
7.6,0.0122438559227867,-0.0513068283883404,-0.932706569256727,-0.315650588248675,-0.932706569250586,-0.315650588246751,0.0113699425946777,-0.05158443259092
7.7,0.00939351645512748,-0.048527367369924,-0.943916490395855,-0.280715035384683,-0.9439164903898,-0.280715035383065,0.00847895376598262,-0.0487827644585757
7.8,0.00675410981153796,-0.0455436769641002,-0.95382213278679,-0.245354095619434,-0.953822132780972,-0.24535409561815,0.00579890735511518,-0.0457742438216739
7.9,0.00433966576070871,-0.0423703388054475,-0.962404696538075,-0.209616160016579,-0.962404696532647,-0.209616160015644,0.0033440035710261,-0.0425733912117154
8,0.00216326054323024,-0.0390228272847644,-0.969647175468981,-0.173550687642292,-0.969647175464094,-0.173550687641703,0.00112749654389649,-0.0391956316511175
8.1,0.00023697215759666,-0.0355174558377622,-0.975534439794762,-0.137208137400485,-0.975534439790562,-0.137208137400219,-0.000838351160581285,-0.0356572415048899
8.2,-0.00142816262364021,-0.0318713234686396,-0.980053316229674,-0.100639891803419,-0.980053316226299,-0.100639891803438,-0.00254231229403865,-0.0319752955382273
8.3,-0.00282219013021212,-0.0281022613713908,-0.983192664639477,-0.0638981727221362,-0.983192664637052,-0.0638981727223848,-0.00397423757287707,-0.0281676140556613
8.4,-0.00393628115317068,-0.0242287793662825,-0.984943450360914,-0.0270359492568364,-0.984943450359546,-0.0270359492572414,-0.00512509781899761,-0.0242527098503391
8.5,-0.00476277231884481,-0.020270011725195,-0.985298811302126,0.00989316203310864,-0.985298811301895,0.00989316203263257,-0.0059870261377668,-0.020249734545601
8.6,-0.0052952079256543,-0.0162456618213849,-0.984254118945751,0.0468350041977068,-0.984254118946732,0.0468350041972396,-0.0065533605957202,-0.0161784237698015
8.7,-0.00552838258054367,-0.012175944909969,-0.981807032396497,0.0837349938181307,-0.981807032398711,0.0837349938177834,-0.0068186877513694,-0.0120590404721819
8.8,-0.00545838483407546,-0.00808152823097963,-0.977957544646902,0.120538241233836,-0.977957544650342,0.120538241233707,-0.00677888725638642,-0.00791231556858829
8.9,-0.00508264184870272,-0.00398346752931555,-0.972708020280345,0.157189676425153,-0.972708020284964,0.157189676425339,-0.00643117758029166,-0.00375938500372541
9,-0.00439996494543066,9.68609866101033E-005,-0.966063223887611,0.193634179804308,-0.966063223893319,0.193634179804896,-0.00577416272217002,0.000378277761287293
9.1,-0.00341059566127655,0.00413783426982484,-0.95803033854343,0.229816717074973,-0.958030338550088,0.229816717076031,-0.00480787955865325,0.00447893487664119
9.2,-0.00211625171705654,0.00811766267499237,-0.948618973771302,0.265682477234582,-0.948618973778718,0.265682477236149,-0.0035338452418312,0.00852066390200457
9.3,-0.000520172046221512,0.0120144778136402,-0.937841162518045,0.301177012716415,-0.937841162525975,0.301177012718495,-0.00195510380811403,0.0124814453035993
9.4,0.00137284022357398,0.0158064289464157,-0.92571134676295,0.336246380600912,-0.925711346771094,0.33624638060346,-7.62708948858215E-005,0.0163392586053221
9.5,0.00355637820632926,0.0194717887044984,-0.912246351498848,0.370837283769681,-0.91224635150685,0.370837283772592,0.00209642480645433,0.0200721880230039
9.6,0.00602239673684829,0.0229890687463885,-0.897465346942599,0.404897210832223,-0.897465346950044,0.404897210835316,0.0045551049957207,0.0236585382276513
9.7,0.00876118475774929,0.0263371457109158,-0.8813897989587,0.438374573625647,-0.881389798965125,0.438374573628657,0.00729021198937629,0.0270769606394718
9.8,0.0117613466881195,0.0294953975213238,-0.864043407810301,0.471218841072384,-0.864043407815186,0.471218841074941,0.010290487826779,0.0303065903480599
9.9,0.0150097950134324,0.0324438497296536,-0.845452035484852,0.503380668180671,-0.845452035487636,0.503380668182287,0.0135429645335648,0.0333271933860723
10,0.0184917564439293,0.0351633311697013,-0.825643621975199,0.534812018987692,-0.825643621975281,0.534812018987741,0.0170329679360974,0.0361193236581447
