"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00385294588284069,0,0.996162401672336,0,0.996162404393544,0,0.00385294823854565,0
0.5,0.00435136612435372,-0.00147694610937421,0.9955564171361,-0.00752593574901894,0.995556417582968,-0.00752593531776213,0.00435152679311557,-0.0014777581931682
1,0.00475404643859889,-0.00360604481102556,0.99486801073013,-0.0143787193393656,0.994868010548636,-0.0143787194394953,0.00475445666790364,-0.00360790769598296
1.5,0.00467180080617524,-0.00595312321897978,0.994252508017507,-0.0213199961823101,0.994252507802825,-0.0213199962832995,0.00467254106207093,-0.00595630473002728
2,0.00455822955135154,-0.0081848081192426,0.993545766577974,-0.028069937135907,0.993545766353108,-0.0280699372158217,0.00455908274054195,-0.00818923057256171
2.5,0.0044130978276824,-0.0103651015817263,0.99280842610088,-0.0346616480401956,0.992808425890657,-0.0346616480932838,0.0044140002169204,-0.0103707348092392
3,0.00423667348460732,-0.0125141323896827,0.992067888148678,-0.041136549721422,0.99206788797096,-0.041136549751922,0.00423759901238174,-0.0125209619468674
3.5,0.00402939866083152,-0.0146395192224595,0.991329365792154,-0.0475293778196377,0.991329365656286,-0.0475293778351542,0.00403033399208486,-0.0146475374310562
4,0.00379182458539207,-0.0167442161286804,0.990586947014182,-0.053864437275827,0.990586946922749,-0.053864437283444,0.00379276151440733,-0.0167534187218124
4.5,0.00352459126123561,-0.0188291314379239,0.989830654384746,-0.0601569686312331,0.989830654335873,-0.0601569686360524,0.00352552384495475,-0.0188395160544683
5,0.00322841794551554,-0.020894178429911,0.989050017983192,-0.066415736508489,0.989050017972351,-0.0664157365135267,0.00322934124677721,-0.0209057438432652
5.5,0.00290409673819059,-0.0229387554756126,0.988235560186763,-0.0726453102018176,0.988235560207966,-0.0726453102083813,0.00290500620915868,-0.0229515011538464
6,0.00255248710675016,-0.0249619882059804,0.987379240996223,-0.0788476989449727,0.987379241042757,-0.0788476989532043,0.00255337825895374,-0.0249759140365811
6.5,0.00217451064250662,-0.0269628616014952,0.986474454574407,-0.0850234202575688,0.986474454639269,-0.0850234202669018,0.00217537885822239,-0.0269779677040063
7,0.00177114580749826,-0.0289402968047305,0.985515865053796,-0.091172163067351,0.985515865129943,-0.0911721630768882,0.00177198622699737,-0.0289565833934153
7.5,0.00134342259792286,-0.0308931982251854,0.984499207741645,-0.0972931854129673,0.984499207822163,-0.0972931854217363,0.00134423005075057,-0.0309106655017697
8,0.000892417116163724,-0.0328204837188482,0.983421104286948,-0.103385545808198,0.983421104365147,-0.103385545815324,0.000893186079929831,-0.0328391317843932
8.5,0.000419246071597379,-0.0347211046107043,0.982278906177689,-0.109448233010796,0.982278906247174,-0.109448233015616,0.000419970649224388,-0.034740933390391
9,-7.49387573486526E-005,-0.0365940593234084,0.981070567231241,-0.115480234907723,0.981070567285962,-0.115480234909838,-7.42648471763196E-005,-0.0366150685006108
9.5,-0.000588956062497425,-0.0384384027961993,0.979794541113981,-0.121480571626951,0.979794541148264,-0.121480571626244,-0.000588339484909994,-0.0384605917537373
10,-0.00112160050778554,-0.0402532530112873,0.978449699039474,-0.127448308194669,0.978449699048046,-0.127448308191303,-0.0011210483034253,-0.040276620778612
10.5,-0.00158085371780778,-0.042221364723841,0.977194988491674,-0.133425344614688,0.977194988500401,-0.133425344612446,-0.00158082346255481,-0.042245877338206
11,-0.00206206509276127,-0.0441830731978641,0.975912080262958,-0.139373349142496,0.975912080271712,-0.139373349141345,-0.00206256576274735,-0.0442087265800657
11.5,-0.00256516956298655,-0.0461380995978162,0.974601677282564,-0.145294065386955,0.974601677291234,-0.14529406538685,-0.00256620822890674,-0.0461648893828341
12,-0.00309009875933275,-0.0480861682377887,0.973264262685835,-0.15118911798439,0.973264262694317,-0.151189117985273,-0.00309168058736678,-0.0481140897779602
12.5,-0.00363678100147577,-0.0500270066294251,0.971900134562799,-0.157060002471557,0.971900134571006,-0.157060002473367,-0.00363890926229726,-0.0500560550002183
13,-0.00420514128980234,-0.0519603455214313,0.970509437658649,-0.162908080404003,0.970509437666507,-0.162908080406673,-0.00420781737536388,-0.0519905155298241
13.5,-0.00479510130106911,-0.053885918930936,0.969092191779011,-0.168734578585459,0.969092191786456,-0.16873457858892,-0.00479832474879449,-0.0539172051264192
14,-0.00540657938794392,-0.0558034641671052,0.967648316853489,-0.174540591421356,0.967648316860468,-0.174540591425537,-0.00541034791192641,-0.0558358608552734
14.5,-0.00603949058249578,-0.0577127218473419,0.966177654752754,-0.180327085561011,0.966177654759224,-0.180327085565845,-0.00604380011129399,-0.0577462231060211
15,-0.00669374660369219,-0.0596134359064919,0.96467998804862,-0.18609490613838,0.964679988054546,-0.186094906143797,-0.00669859132427393,-0.0596480356042846
15.5,-0.00736925586889253,-0.0615053535994727,0.96315505596338,-0.191844784054072,0.963155055968738,-0.191844784060002,-0.0073746282762801,-0.0615410454166256
16,-0.00806592350930235,-0.063388225497734,0.96160256778352,-0.197577343858428,0.961602567788292,-0.197577343864809,-0.00807181446144004,-0.0634250029491557
16.5,-0.00878365138931406,-0.0652618054799965,0.96002221402126,-0.203293111895907,0.960022214025433,-0.203293111902676,-0.00879005016669968,-0.0652996619402644
17,-0.00952233812963699,-0.0671258507177153,0.958413675601781,-0.208992524455063,0.958413675605348,-0.208992524462159,-0.00952923249923121,-0.0671647794478716
17.5,-0.0102818791340646,-0.0689801216556685,0.956776631339075,-0.2146759357373,0.956776631342037,-0.214675935744669,-0.0102892554170084,-0.0690201158316035
18,-0.0110621666197346,-0.0708243819881589,0.955110763942966,-0.220343625513168,0.955110763945323,-0.220343625520757,-0.0110700097624076,-0.0708654347303384
18.5,-0.0118630896506816,-0.0726583986312019,0.95341576477669,-0.225995806378687,0.953415764778449,-0.225995806386448,-0.0118713832986347,-0.0727005030355232
19,-0.0126845341744807,-0.0744819416911522,0.951691337560337,-0.231632630558346,0.951691337561507,-0.231632630566232,-0.0126932607487966,-0.0745250908606656
19.5,-0.0135263830617572,-0.07629478443015,0.949937201191807,-0.237254196227251,0.949937201192401,-0.237254196235219,-0.0135355238374007,-0.0763389715074085
20,-0.0143885161483208,-0.0780967032288076,0.948153091834531,-0.242860553344275,0.948153091834562,-0.242860553352288,-0.014398051334053,-0.0781419214285912
20.5,-0.015270810279677,-0.0798874775464875,0.946338764400546,-0.248451709002087,0.94633876440003,-0.248451709010109,-0.0152807190991295,-0.0799337201886439
21,-0.0161731393576522,-0.0816668898795303,0.944493993538821,-0.254027632309743,0.944493993537775,-0.254027632317741,-0.0161834001311731,-0.0817141504216936
21.5,-0.0170953743888791,-0.0834347257178063,0.942618574222073,-0.259588258830248,0.942618574220515,-0.259588258838189,-0.0171059646157753,-0.0834829977877556
22,-0.0180373835348627,-0.0851907734998698,0.940712322010724,-0.265133494599529,0.940712322008673,-0.265133494607388,-0.0180482799756966,-0.0852400509272897
22.5,-0.0189990321633738,-0.0869348245670829,0.938775073059888,-0.270663219755637,0.938775073057363,-0.270663219763387,-0.0190102109219783,-0.0869851014145029
23,-0.019980182900901,-0.0886666731169155,0.936806683924304,-0.276177291807752,0.936806683921326,-0.276177291815374,-0.019991619505805,-0.0887179437096322
23.5,-0.0209806956859039,-0.090386116155782,0.934807031206751,-0.281675548574603,0.93480703120334,-0.281675548582075,-0.020992365170879,-0.0904383751105469
24,-0.0220004278226129,-0.0920929534515866,0.932776011087454,-0.287157810820979,0.93277601108363,-0.287157810828282,-0.0220123048060785,-0.0921461957039118
24.5,-0.0230392340351479,-0.0937869874862707,0.930713538765237,-0.292623884619795,0.930713538761021,-0.292623884626914,-0.0230512927981723,-0.0938412083161517
25,-0.0240969665216945,-0.0954680234085328,0.928619547835497,-0.298073563465577,0.928619547830908,-0.298073563472498,-0.0241091810843879,-0.0955232184644723
25.5,-0.0251734750085548,-0.0971358689869568,0.92649398962526,-0.303506630163479,0.926493989620318,-0.303506630170188,-0.0251858192046187,-0.0971920343081414
26,-0.0262686068038226,-0.0987903345636996,0.924336832501654,-0.308922858516107,0.92433683249638,-0.308922858522597,-0.0262810543530889,-0.0988474666002261
26.5,-0.0273822068505209,-0.100431233008935,0.922148061166784,-0.314322014828675,0.922148061161196,-0.314322014834933,-0.0273947314293027,-0.100489328639993
27,-0.0285141177790031,-0.102058379676186,0.919927675949266,-0.319703859251091,0.919927675943384,-0.319703859257109,-0.0285266930881006,-0.102117436226112
27.5,-0.0296641799584554,-0.103671592358684,0.917675692100452,-0.325068146974042,0.917675692094294,-0.325068146979812,-0.0296767797886885,-0.103731607610848
28,-0.0308322315473479,-0.105270691246905,0.915392139101486,-0.330414629294382,0.91539213909507,-0.330414629299901,-0.0308448298424954,-0.105331663455365
28.5,-0.0320181085426983,-0.106855498887366,0.913077059985851,-0.335743054563743,0.913077059979194,-0.335743054569004,-0.0320306794597398,-0.106917426786286
29,-0.0332216448280213,-0.108425840142797,0.910730510680828,-0.341053169032773,0.910730510673949,-0.341053169037775,-0.0332341627945983,-0.108488722953617
29.5,-0.0344426722198695,-0.109981542153785,0.908352559370289,-0.346344717602294,0.908352559363203,-0.346344717607032,-0.0344551119888882,-0.110045379590138
30,-0.035681020512857,-0.111522434301962,0.90594328588046,-0.351617444491334,0.905943285873185,-0.351617444495808,-0.0356933572141772,-0.111587226572382
30.5,-0.0369365175231003,-0.113048348174811,0.903502781089642,-0.356871093831063,0.903502781082192,-0.356871093835271,-0.0369487267122659,-0.11311409598325
31,-0.038208989130012,-0.114559117532156,0.901031146362373,-0.362105410192635,0.901031146354763,-0.362105410196577,-0.0382210468339863,-0.114625822076371
31.5,-0.0394982593163877,-0.116054578274382,0.898528493008136,-0.36732013905609,0.898528493000381,-0.367320139059766,-0.0395101420762737,-0.11612224124225
32,-0.0408041502067676,-0.117534568412454,0.895994941764376,-0.372515027226719,0.895994941756489,-0.372515027230129,-0.0408158351174986,-0.117603191976278
32.5,-0.0421264821040259,-0.118998928039733,0.893430622303397,-0.377689823204554,0.893430622295392,-0.377689823207702,-0.0421379468510339,-0.119068514848644
33,-0.0434650735242016,-0.120447499305687,0.890835672762493,-0.382844277512081,0.890835672754383,-0.382844277514967,-0.0434762964170667,-0.120518052476201
33.5,-0.0448197412295452,-0.121880126391445,0.888210239296583,-0.387978142984633,0.888210239288381,-0.38797814298726,-0.0448307012326435,-0.1219516494963
34,-0.0461903002598103,-0.123296655487298,0.885554475652493,-0.393091175027533,0.88555447564421,-0.393091175029904,-0.0462009770199918,-0.123369152542664
34.5,-0.0475765639618033,-0.124696934772099,0.88286854276399,-0.39818313184351,0.882868542755638,-0.398183131845629,-0.0475869378331291,-0.124770410223273
35,-0.0489783440172127,-0.126080814394613,0.880152608366642,-0.403253774633578,0.880152608358232,-0.403253774635447,-0.0489883960828009,-0.126155273100313
