"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00482663256229898,0,0.995187551976414,0,0.995187568056281,0,0.0048266377912114,0
0.5,0.00534746602106395,1.99472196236172E-005,0.994626532686333,-0.00568017133853616,0.994626532650742,-0.00568016894166234,0.00534720662938071,2.0883231552915E-005
1,0.00583059581840573,-0.000613973815926983,0.994054397440621,-0.0107039918280236,0.994054397617013,-0.0107039924438617,0.00582997876852787,-0.000611749425260655
1.5,0.00614035982642136,-0.00138023089873229,0.993578678705845,-0.0157239003361553,0.99357867860147,-0.0157239008526844,0.00613938622845822,-0.00137655139733894
2,0.00631287398918978,-0.00218959975418542,0.993140954577697,-0.0205991965513874,0.993140954350933,-0.0205991969133414,0.00631170088109378,-0.00218428698712714
2.5,0.00640863526030344,-0.00299190941741401,0.992752810490128,-0.0254039895553468,0.992752810235976,-0.0254039897903304,0.00640741436698455,-0.00298491105796472
3,0.00646234020362435,-0.00377941613220223,0.992397723012894,-0.0301789111471447,0.992397722773409,-0.0301789112952466,0.00646118468101697,-0.00377072702033132
3.5,0.00649165347643699,-0.00455392321379655,0.992056646401188,-0.0349419125351176,0.992056646190984,-0.0349419126279429,0.00649064833516633,-0.00454355183357436
4,0.00650575302809919,-0.00531861854650728,0.991714621159088,-0.0396995137165082,0.991714620980901,-0.0396995137753695,0.0065049662384471,-0.00530657579334459
4.5,0.00650964268392684,-0.00607632089666055,0.991361006251482,-0.0444531089314868,0.991361006103467,-0.0444531089699378,0.00650913220451699,-0.00606261669590502
5,0.00650618971786709,-0.00682924634605619,0.990988388992208,-0.0492019672288624,0.990988388871072,-0.0492019672552964,0.00650600759683639,-0.00681388885471179
5.5,0.00649711154469701,-0.00757909867279771,0.990591554137161,-0.0539445776490481,0.990591554039402,-0.053944577668565,0.006497306317792,-0.00756209429190235
