"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00679933194794557,0,0.993216011294862,0,0.993216010538163,0,0.00679933942171829,0
0.5,0.00740725545504262,3.9745617542053E-005,0.992556664325132,-0.0074502165214021,0.992556664105958,-0.00745021740522489,0.00740764892197987,3.82390731239468E-005
1,0.00790038762155376,-0.000641706614262105,0.991939050432478,-0.014175414234046,0.991939050223369,-0.0141754150234963,0.00790121807684585,-0.000645348288115244
1.5,0.00820369557167133,-0.00144706457460231,0.991433831795813,-0.0207661540558384,0.991433831503478,-0.0207661543226951,0.00820454999706044,-0.00145323469788394
2,0.0083746587040725,-0.0022772388191683,0.990991900421967,-0.0273117171834283,0.990991900240056,-0.027311717211683,0.0083753047410724,-0.00228589068826501
2.5,0.00847992650925011,-0.00309779782828912,0.990549728224374,-0.0338499121653051,0.990549728148975,-0.0338499121042162,0.00848020925251269,-0.00310894150891095
3,0.00855073473348877,-0.00390799210612336,0.990077121686503,-0.0403812406769557,0.990077121683442,-0.0403812405937742,0.00855049341844616,-0.00392166200501798
3.5,0.00860091034936072,-0.00471175875748742,0.989561943614446,-0.0469003938811507,0.989561943651645,-0.0469003938057906,0.00859996808462871,-0.00472798655367335
4,0.00863677283668185,-0.00551242422714893,0.989000189193038,-0.0534027660009055,0.989000189244807,-0.0534027659455454,0.00863494201391157,-0.00553122760210734
4.5,0.00866137948434531,-0.00631216643413346,0.988391395090542,-0.0598853824080816,0.988391395137304,-0.0598853823756151,0.00865846869975861,-0.00633354649250961
5,0.00867633580168747,-0.00711229477736985,0.987736541748734,-0.0663466813873503,0.987736541776413,-0.0663466813754443,0.00867215499181939,-0.0071362375102364
5.5,0.00868258640971464,-0.00791356982336566,0.98703706966008,-0.0727861259638214,0.987037069659625,-0.0727861259672844,0.00867694979142786,-0.00794004904915369
6,0.0086807658509005,-0.00871643515838105,0.986294417916524,-0.0792038562114872,0.986294417883543,-0.0792038562238622,0.00867349309117715,-0.00874541560828668
6.5,0.00867135405465613,-0.00952116537185788,0.985509821675756,-0.0856004180580818,0.985509821610121,-0.0856004180728878,0.00866227025839672,-0.00955260531818336
7,0.00865474412650835,-0.0103279543611832,0.98468424235082,-0.0919765644276449,0.984684242256218,-0.0919765644393307,0.00864367915172581,-0.010361807600936
7.5,0.00863127114844153,-0.0111369652039874,0.983818365494449,-0.0983331161604397,0.983818365377868,-0.0983331161651124,0.00861805861423137,-0.0111731824189327
8,0.00860122419888798,-0.0119483566022254,0.982912631099948,-0.104670869598895,0.982912630971131,-0.104670869594864,0.00858570041633033,-0.0119868862018322
