"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00837554094186999,0,0.991646021779161,0,0.991646025911905,0,0.00837554387771888,0
0.5,0.00936037466836126,-0.00303467768411814,0.990546191004007,-0.0109777527079693,0.990546190264027,-0.0109777536614768,0.00936072698202395,-0.00303529075440068
1,0.0100150333046614,-0.00723174200537002,0.989571483896924,-0.0207951840294847,0.989571483593263,-0.0207951839909715,0.0100160372124556,-0.0072333458493965
1.5,0.010317764069141,-0.0115962329540622,0.988749134271595,-0.0304321804134986,0.988749134092247,-0.0304321802688392,0.0103196025251506,-0.0115989488837247
2,0.0103550479052696,-0.0159899211564394,0.987991751918138,-0.0400190373076477,0.987991751837779,-0.0400190371757958,0.010357813149346,-0.0159939239260716
2.5,0.010230755702203,-0.0203638473088361,0.987197198017254,-0.0496050240938946,0.987197197984983,-0.0496050240055936,0.0102345450033878,-0.0203692383210132
3,0.00999172098050671,-0.0247179861532185,0.986318749831101,-0.0591874743230658,0.986318749814004,-0.0591874742753031,0.00999664435455205,-0.0247248479961968
3.5,0.00965784923750235,-0.0290581210806629,0.985337087142733,-0.0687568468266022,0.98533708712439,-0.0687568468073003,0.00966401952081064,-0.0290665322539283
4,0.00923764663253523,-0.0333884370325386,0.984244808384393,-0.0783050328915529,0.984244808359011,-0.0783050328884087,0.00924517437253103,-0.0333984739954438
4.5,0.00873477581116822,-0.037710961278691,0.983039686282037,-0.0878262245864825,0.983039686249864,-0.0878262245899322,0.00874376814109734,-0.0377226979215646
5,0.00815085445402763,-0.0420261170193443,0.981721707772854,-0.097316448559793,0.981721707737052,-0.097316448563654,0.00816141577892759,-0.0420396242541861
5.5,0.00748668472846381,-0.0463332987783334,0.980291731376933,-0.106772990640493,0.980291731341524,-0.106772990641641,0.0074989179380176,-0.0463486447237349
6,0.006742795472368,-0.0506312979689794,0.978750873450215,-0.116193934481589,0.978750873418817,-0.116193934479282,0.00675680307976156,-0.0506485486090957
6.5,0.00591967132146221,-0.0549185871539866,0.977100240311552,-0.125577829672184,0.977100240286669,-0.12557782966727,0.00593555630786491,-0.054937807249881
7,0.0050178375028096,-0.0591934992242553,0.975340829001239,-0.134923465571964,0.975340828983957,-0.134923465566146,0.00503570383465046,-0.0592147532950715
7.5,0.0040378798012467,-0.0634543344136311,0.973473509388164,-0.144229724197141,0.973473509378097,-0.144229724192352,0.00405783266672366,-0.063477687670745
8,0.00298043784751534,-0.0676994199394185,0.971499042934445,-0.153495489761662,0.971499042929852,-0.153495489759563,0.00300258368204598,-0.0677249391126598
8.5,0.00184618979607953,-0.0719271396985377,0.969418115028303,-0.162719597516555,0.969418115026292,-0.162719597518188,0.00187063616357608,-0.0719548937322969
9,0.000635836497492881,-0.0761359457955111,0.967231369271736,-0.171900808957282,0.967231369268509,-0.171900808962812,0.000662691881791022,-0.076166006415523
9.5,-0.000649911650437762,-0.0803243596089551,0.964939438326319,-0.181037804051051,0.964939438317428,-0.18103780405963,-0.000620538103952961,-0.0803568017724707
10,-0.00201034433695746,-0.0844909672876035,0.962542969261687,-0.190129183913299,0.962542969242269,-0.190129183922987,-0.00197834310206574,-0.0845258695342803
10.5,-0.00342466580613487,-0.0886167724331433,0.960020734674162,-0.19917854626736,0.960020734653877,-0.199178546276774,-0.00338991522530013,-0.0886540088993666
11,-0.00491377360947637,-0.0927220075979287,0.957398988395818,-0.208174954249654,0.957398988374697,-0.208174954258738,-0.00487615195534635,-0.0927616797141075
11.5,-0.00647766820201973,-0.0968047512910317,0.954679275069997,-0.217117734043654,0.954679275048072,-0.217117734052356,-0.0064370585415337,-0.096846965719017
12,-0.00811624285520374,-0.100863064352044,0.951863053074543,-0.226006217944316,0.951863053051849,-0.226006217952587,-0.00807253334807578,-0.10090793253184
12.5,-0.00982928511276121,-0.104895000202718,0.948951706750801,-0.234839735277017,0.948951706727377,-0.234839735284814,-0.00978236924247794,-0.104942637884181
13,-0.0116164792394269,-0.108898614307529,0.945946558330186,-0.24361760588456,0.945946558306071,-0.243617605891841,-0.0115662559793309,-0.108949141077857
13.5,-0.0134774094840453,-0.112871972789668,0.942848879255932,-0.252339135818038,0.942848879231165,-0.25233913582477,-0.0134237834025452,-0.112925511606099
14,-0.0154115639891851,-0.116813160178514,0.939659900693331,-0.261003614876045,0.939659900667953,-0.261003614882198,-0.0153544452992232,-0.116869836914182
14.5,-0.0174183391932032,-0.120720286289214,0.936380823100529,-0.269610315658871,0.936380823074582,-0.269610315664416,-0.0173576437518284,-0.120780229298592
