"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00787793754477661,0,0.992134939820971,0,0.992134939850075,0,0.00787793978327045,0
0.5,0.00885043168635136,0.00333302398200708,0.991125078737589,-0.0105481829904353,0.991125078737248,-0.0105481829909397,0.00885030057001401,0.00333261522597361
1,0.010431033386709,0.00573936108941453,0.989464734133907,-0.0201698545834628,0.989464734133092,-0.0201698545840028,0.0104303619455823,0.00573847330405819
1.5,0.0122786968948905,0.0073424934536277,0.98747685527973,-0.0289928761367726,0.98747685527921,-0.0289928761364529,0.0122766885979484,0.0073410853417446
2,0.0140434470493691,0.00831087123906826,0.985527440821409,-0.0371689538476945,0.985527440821413,-0.0371689538473037,0.0140400601819204,0.00830937681499044
2.5,0.0156051156519363,0.00885581404542624,0.983736061367269,-0.0449235462289916,0.983736061367481,-0.0449235462288256,0.0156002124644892,0.00885419582189595
3,0.0169369211193011,0.00913743891206487,0.982121996669175,-0.0524180349661014,0.982121996669366,-0.0524180349661236,0.0169301410092362,0.00913567413598049
3.5,0.0180559320137936,0.00926710385178353,0.980665415806074,-0.0597600135942962,0.980665415806171,-0.0597600135943939,0.0180468826798106,0.00926529509816998
4,0.0189957470866129,0.00931649322873707,0.979333371089932,-0.0670181983673057,0.979333371089945,-0.0670181983673999,0.0189840952419793,0.00931480846563115
4.5,0.0197921086653507,0.00932887017874862,0.978091630272315,-0.074234611084214,0.978091630272281,-0.0742346110842709,0.0197775832839493,0.00932748220427637
5,0.0204767653643969,0.00932888757562811,0.976909634566164,-0.0814337658812043,0.976909634566113,-0.081433765881215,0.0204591330024941,0.00932794584175323
5.5,0.0210757261075798,0.0093296985173934,0.975761984501519,-0.0886291263904537,0.975761984501472,-0.0886291263904271,0.0210547665739058,0.00932932381611806
6,0.0216094465251169,0.0093376216951766,0.974628338846394,-0.095827385661956,0.974628338846365,-0.0958273856619032,0.0215849362337697,0.00933791153355479
6.5,0.0220936779468534,0.00935503981825825,0.973492720642393,-0.103031189172458,0.973492720642383,-0.103031189172392,0.0220653805528083,0.00935607721727383
7,0.0225404181405756,0.00938214566254558,0.97234269947433,-0.110240821787155,0.972342699474339,-0.110240821787087,0.0225080803459573,0.00938400803176354
7.5,0.0229587556201845,0.00941797427966717,0.971168641282885,-0.117455234777209,0.971168641282908,-0.117455234777145,0.0229221062505474,0.00942074113229108
8,0.0233555545606248,0.00946100455355392,0.96996308476141,-0.124672663065441,0.969963084761439,-0.124672663065386,0.0233143055848709,0.00946476377948136
8.5,0.0237359874789316,0.00950950442928766,0.968720247065687,-0.131890991715931,0.968720247065714,-0.131890991715889,0.0236898361345651,0.00951435721035265
9,0.0241039413026906,0.00956172465303595,0.967435641395132,-0.139107970262494,0.96743564139515,-0.139107970262465,0.0240525728195882,0.00956778921085677
9.5,0.0244623243333298,0.00961600340693192,0.966105784594491,-0.146321335221186,0.966105784594491,-0.146321335221167,0.0244054149542386,0.00962341777803033
10,0.0248132978735714,0.00967081881286891,0.96472797461521,-0.153528877494197,0.964727974615185,-0.153528877494187,0.0247505179904989,0.00967974281753747
10.5,0.0251904169492384,0.00972289849209096,0.963324875069044,-0.160730356578975,0.963324875067241,-0.160730356577294,0.0251188556350692,0.00973310243168113
11,0.0255562990794543,0.00977190128307726,0.96187244387923,-0.167925650440149,0.961872443876171,-0.167925650436829,0.0254760929923823,0.00978395013429978
11.5,0.0259128248991771,0.00981801422022599,0.960369695174751,-0.175113039770378,0.960369695170869,-0.175113039765499,0.0258241051972988,0.00983237277933791
12,0.026261579395199,0.00986125639707458,0.958815929909852,-0.182290979772376,0.958815929905508,-0.182290979766053,0.0261644620838378,0.00987830766966669
12.5,0.0266038904295593,0.00990153094747548,0.957210672518716,-0.189458082436506,0.957210672514205,-0.189458082428874,0.026498470428097,0.00992159192346564
13,0.0269408637238017,0.00993866359439854,0.955553622110062,-0.196613099720624,0.955553622105625,-0.19661309971183,0.026827211557626,0.00996199863259761
13.5,0.0272734139723861,0.00997243111366686,0.953844614561364,-0.20375490806269,0.953844614557189,-0.203754908052886,0.0271515742970122,0.00999926321359101
14,0.027602292139258,0.0100025822425538,0.952083592858579,-0.210882494364237,0.952083592854817,-0.210882494353581,0.0274722835260904,0.0100331024878444
14.5,0.0279281091922647,0.0100288529356238,0.950270583730703,-0.217994943429112,0.950270583727467,-0.217994943417757,0.0277899247678096,0.0100632283762332
15,0.0282513566203202,0.0100509773942086,0.948405679133337,-0.225091426766554,0.94840567913071,-0.225091426754647,0.0281049652682653,0.0100893576066603
15.5,0.0285724241044232,0.0100686959373979,0.946489021500478,-0.23217119263612,0.946489021498515,-0.232171192623805,0.0284177720247497,0.0101112184714547
16,0.0288916147046518,0.0100817605138817,0.944520791949604,-0.239233557203993,0.944520791948339,-0.239233557191402,0.0287286271847468,0.010128555403595
16.5,0.0292091578982156,0.0100899384529534,0.942501200820188,-0.246277896684709,0.942501200819634,-0.246277896671968,0.0290377411944353,0.0101411319424316
17,0.0295252207689942,0.0100930149031697,0.940430480070005,-0.253303640352408,0.94043048007016,-0.253303640339632,0.0293452640281634,0.0101487325130691
17.5,0.0298399176124283,0.0100907942950184,0.938308877161109,-0.260310264318118,0.938308877161957,-0.260310264305412,0.0296512947848153,0.0101511633349212
18,0.0301533181844882,0.0100831010803544,0.936136650148058,-0.267297285982081,0.936136650149572,-0.26729728596954,0.0299558898954571,0.0101482526946413
18.5,0.0304654547911669,0.0100697799387528,0.93391406374207,-0.274264259081914,0.933914063744213,-0.274264259069622,0.0302590701497812,0.0101398507589048
19,0.0307763283862727,0.0100506955940283,0.931641386171417,-0.28121076926802,0.931641386174144,-0.281210769256052,0.030560826716939,0.0101258290581578
19.5,0.0310859138202888,0.0100257323490092,0.929318886694218,-0.288136430146872,0.929318886697481,-0.288136430135292,0.0308611263090101,0.0101060797394086
20,0.0313941643615211,0.00999479342015142,0.926946833647597,-0.295040879740827,0.926946833651342,-0.295040879729689,0.0311599156121619,0.0100805146614094
20.5,0.0317010155924053,0.0099578001337024,0.924525492938906,-0.301923777319858,0.924525492943074,-0.30192377730921,0.0314571250910452,0.0100490643871676
21,0.0320063887682633,0.00991469102998788,0.922055126901856,-0.308784800566408,0.922055126906388,-0.308784800556286,0.0317526722555457,0.0100116771148098
21.5,0.0323101937126559,0.00986542091104625,0.919535993454028,-0.315623643039377,0.919535993458864,-0.31562364302981,0.0320464644652979,0.00996831757741856
22,0.0326123313124122,0.00980995985818711,0.916968345503149,-0.32244001190737,0.916968345508228,-0.322440011898381,0.0323384013358975,0.00991896593466324
22.5,0.0329126956660614,0.00974829223941232,0.914352430558344,-0.329233625924848,0.914352430563606,-0.329233625916451,0.0326283768010973,0.00986361667300262
23,0.0332111759316066,0.00968041572170097,0.911688490509765,-0.336004213627681,0.911688490515151,-0.336004213619883,0.0329162808772957,0.00980227752687735
23.5,0.0335076579129349,0.00960634029925611,0.908976761545902,-0.342751511727213,0.908976761551354,-0.342751511720018,0.0332020011698427,0.00973496842979737
24,0.0338020254186344,0.00952608734592464,0.906217474182745,-0.349475263684039,0.906217474188208,-0.349475263677443,0.0334854241550707,0.00966172050171288
24.5,0.0340941614222798,0.00943968869771816,0.903410853383048,-0.356175218444582,0.903410853388468,-0.356175218438576,0.0337664362671805,0.00958257507702864
25,0.0343839490493048,0.00934718576962368,0.900557118747303,-0.362851129325183,0.90055711875263,-0.362851129319755,0.0340449248151272,0.00949758277615964
25.5,0.0346712724122035,0.00924862870959697,0.89765648476096,-0.369502753029831,0.897656484766147,-0.369502753024964,0.0343207787512465,0.00940680262235749
26,0.0349560173129613,0.0091440755915424,0.894709161084771,-0.376129848788917,0.894709161089772,-0.376129848784591,0.0345938893104881,0.00931030120465182
26.5,0.0352380718291792,0.0090335916483264,0.891715352877258,-0.382732177607531,0.891715352882032,-0.382732177603723,0.0348641505366912,0.00920815188709834
27,0.0355173267982851,0.00891724854524112,0.888675261140024,-0.38930950161279,0.888675261144532,-0.389309501609474,0.0351314597102265,0.00910043406400574
27.5,0.0357936762124292,0.00879512369385038,0.885589083078134,-0.395861583490627,0.885589083082343,-0.395861583487774,0.0353957176895546,0.00898723246041588
28,0.0360670175351484,0.00866729960580925,0.882457012469079,-0.402388186003259,0.882457012472956,-0.402388186000841,0.035656829177708,0.00886863647684266
28.5,0.0363372519495331,0.00853386328591887,0.879279240034926,-0.408889071579326,0.879279240038443,-0.40888907157731,0.035914702923363,0.0087447395770317
29,0.0366042845465107,0.00839490566352619,0.876055953813221,-0.415364001969348,0.876055953816354,-0.415364001967703,0.0361692518650293,0.00861563871735238
29.5,0.0368680244608426,0.00825052106115276,0.87278733952301,-0.421812737959796,0.872787339525736,-0.421812737958488,0.0364203932258765,0.00848143381633104
30,0.0371283849615587,0.00810080669916136,0.869473580923028,-0.428235039139637,0.86947358092533,-0.428235039138632,0.0366680485658324,0.00834222726272027
30.5,0.0373852835028146,0.00794586223516724,0.866114860159735,-0.434630663713743,0.866114860161596,-0.434630663713007,0.036912143796844,0.00819812346049831
31,0.0376386417404476,0.00778578933683127,0.862711358103353,-0.440999368358055,0.862711358104761,-0.440999368357554,0.037152609166491,0.00804922840911193
31.5,0.0378883855189578,0.00762069128664455,0.859263254670516,-0.44734090811183,0.85926325467146,-0.447340908111528,0.0373893792145687,0.00789564931730746
32,0.0381344448330803,0.00745067261729571,0.855770729132494,-0.453655036302715,0.855770729132969,-0.453655036302581,0.0376223927067252,0.00773749424887693
32.5,0.0383767537676884,0.00727583877619309,0.852233960408308,-0.459941504500806,0.852233960408308,-0.459941504500805,0.0378515925487673,0.00757487179867111
33,0.0386152504193132,0.00709629581773008,0.848653127342247,-0.466200062498149,0.848653127341771,-0.466200062498249,0.0380769256848468,0.0074078907972559
33.5,0.0388498768022464,0.00691215012188173,0.845028408965596,-0.472430458310539,0.845028408964642,-0.472430458310708,0.0382983429823631,0.00723666004262025
34,0.0390805787418204,0.00672350813776201,0.84135998474251,-0.478632438198703,0.841359984741082,-0.47863243819891,0.0385157991060943,0.0070612880573856
34.5,0.0393073057571971,0.00653047615077396,0.837648034800162,-0.48480574670629,0.837648034798264,-0.484805746706505,0.0387292523837702,0.00688188287000879
35,0.0395300109357288,0.00633316007204121,0.833892740143387,-0.490950126712297,0.833892740141025,-0.490950126712491,0.0389386646650518,0.00669855181852375
35.5,0.0397486508007019,0.00613166524882691,0.830094282854166,-0.497065319495843,0.830094282851349,-0.497065319495989,0.0391440011756318,0.00651140137540984
36,0.03996318517409,0.00592609629469876,0.826252846276369,-0.503151064811367,0.826252846273105,-0.50315106481144,0.0393452303679699,0.00632053699223156
36.5,0.0401735770357339,0.00571655693822704,0.822368615186221,-0.509207100972572,0.822368615182522,-0.509207100972545,0.0395423237699917,0.00612606296275342
37,0.0403797923801951,0.00550314988906031,0.818441775949043,-0.51523316494357,0.818441775944921,-0.51523316494342,0.0397352558328976,0.00592808230328401
37.5,0.0405818000724295,0.00528597672027964,0.814472516662802,-0.521228992435886,0.81447251665827,-0.521228992435593,0.0399240037790973,0.00572669664900982
38,0.0407795717030989,0.00506513776588491,0.810461027289065,-0.527194318010118,0.810461027284138,-0.527194318009659,0.0401085474511305,0.00552200616534815
38.5,0.0409730814446105,0.00484073203252144,0.806407499771967,-0.533128875181148,0.806407499766661,-0.533128875180505,0.0402888691623279,0.00531410947295508
39,0.0411623059083482,0.00461285712432691,0.802312128145772,-0.539032396526003,0.802312128140103,-0.539032396525157,0.040464953549851,0.00510310358564881
39.5,0.041347224003888,0.00438160918005881,0.798175108631647,-0.544904613793487,0.798175108625631,-0.544904613792422,0.0406367874306537,0.00488908386010101
40,0.0415278168006746,0.00414708282157161,0.793996639724246,-0.550745258014878,0.793996639717902,-0.55074525801358,0.0408043596608222,0.00467214395643378
40.5,0.0417040673926324,0.00390937111281864,0.789776922268689,-0.55655405961503,0.789776922262035,-0.556554059613486,0.0409676609986807,0.00445237580884661
41,0.0418759607660885,0.00366856552856476,0.785516159528511,-0.562330748523336,0.785516159521565,-0.562330748521533,0.0411266839719608,0.0042298696054428
41.5,0.0420434836713289,0.00342475593206815,0.781214557245139,-0.568075054284038,0.781214557237921,-0.568075054281966,0.0412814227493026,0.00400471377649947
42,0.0422066244980612,0.0031780305609993,0.776872323689447,-0.573786706165509,0.776872323681974,-0.573786706163159,0.0414318730162696,0.00377699499043183
42.5,0.0423653731549847,0.00292847602093449,0.772489669705888,-0.57946543326811,0.77248966969818,-0.579465433265473,0.0415780318560376,0.00354679815678927
43,0.0425197209536447,0.00267617728578917,0.768066808749737,-0.585110964630325,0.768066808741814,-0.585110964627396,0.0417198976348639,0.00331420643563674
43.5,0.0426696604966931,0.00242121770457226,0.763603956917884,-0.59072302933295,0.763603956909766,-0.590723029329723,0.0418574698924016,0.00307930125271327
