"Freq [thz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,-4.25758053893823E-011,0,0.999999999959073,0,1.00000000013461,0,5.23338975779407E-011,0
0.0005,3.62101613636256E-005,0.00529142687559414,0.999962724518963,-0.00682263236731018,0.999962724542298,-0.00682263236743097,3.59959985988811E-005,0.00529142833786267
0.001,0.000144824812294553,0.0105815849028197,0.999850912965819,-0.0136439771028627,0.999850912946263,-0.0136439771026033,0.000143970216353484,0.0105815965647764
0.0015,0.000325800546077781,0.0158691669104414,0.99966460925722,-0.0204627865904143,0.999664609238471,-0.0204627865900306,0.000323876242734888,0.0158692071505104
0.002,0.000579062832071209,0.0211528987580891,0.999403887260101,-0.0272777836164053,0.999403887242461,-0.0272777836159204,0.000575642430805212,0.0211529940201363
0.0025,0.000904508053791331,0.0264315010100784,0.999068850041824,-0.0340877013817913,0.99906885002557,-0.0340877013812335,0.000899165923690604,0.0264316861209757
0.003,0.00130200316800871,0.0317036976108165,0.998659629935615,-0.0408912765269633,0.998659629920999,-0.0408912765263638,0.00129431453336476,0.031704015884725
0.0035,0.00177138583761755,0.0369682167216716,0.998176388404593,-0.0476872499823129,0.99817638839183,-0.0476872499817,0.00176092696102859,0.0369687200312008
0.004,0.00231246459337259,0.0422237915524644,0.997619315876104,-0.0544743678125146,0.99761931586537,-0.0544743678119284,0.00229881298153267,0.0422245403599257
0.0045,0.00292501902412767,0.0474691611863367,0.996988631546708,-0.0612513820534915,0.996988631538131,-0.0612513820529657,0.00290775363272444,0.0474702245501666
0.005,0.00360879999513869,0.0527030713970609,0.996284583158165,-0.0680170515407053,0.99628458315182,-0.0680170515402727,0.00358750142724884,0.0527045269642139
0.0055,0.00436352989396155,0.0579242754575611,0.995507446744877,-0.0747701427277461,0.995507446740779,-0.0747701427274383,0.00433778059165235,0.0579262094473267
0.006,0.00518890290343393,0.0631315349385861,0.994657526353246,-0.0815094304940018,0.994657526351345,-0.0815094304938464,0.00515828733340806,0.0631340421202142
0.0065,0.00608458530117412,0.0683236204964497,0.993735153733499,-0.0882336989403321,0.993735153733673,-0.0882336989403494,0.00604869013531867,0.0683268041615031
0.007,0.00705021578501897,0.0734993126487655,0.992740688004552,-0.0949417421716245,0.992740688006604,-0.0949417421718239,0.00700863007652913,0.0735032845784835
0.0075,0.00808540582377593,0.0786574025371425,0.991674515292562,-0.101632365065204,0.991674515296206,-0.101632365065581,0.00803772117936968,0.0786622829648169
0.008,0.00918974003263745,0.0837966926757727,0.990537048343819,-0.108304384024076,0.990537048348683,-0.108304384024613,0.00913555078126299,0.0838026102440859
0.0085,0.0103627765725764,0.0889159976849716,0.989328726112738,-0.114956627714006,0.989328726118352,-0.114956627714665,0.0103016799309404,0.0889230893982074
0.009,0.0116040475730224,0.0940141450086882,0.988050013325685,-0.121587937783505,0.988050013331479,-0.121587937784224,0.0115356438082078,0.0940225561797714
0.0095,0.012913059577069,0.0990899756150818,0.986701400021463,-0.128197169565802,0.986701400026757,-0.128197169566494,0.0128369521664806,0.0990998598074215
0.01,0.0142892940084645,0.104142344679303,0.985283401069288,-0.134783192761953,0.98528340107329,-0.1347831927625,0.0142050897972913,0.104153863643485
0.0105,0.0157322182519739,0.109170135850198,0.983796546458945,-0.141344869920639,0.983796546462847,-0.141344869921199,0.0156395304327627,0.109183452702557
0.011,0.0172412555701987,0.114172227580054,0.982241411042534,-0.147881115690722,0.98224141104633,-0.147881115691293,0.0171396992236741,0.114187517491191
0.0115,0.0188158153317172,0.119147522821935,0.980618581972391,-0.154390845383754,0.980618581976078,-0.154390845384335,0.0187050095360108,0.119164968452641
0.012,0.020455283922317,0.124094941370265,0.978928669235804,-0.160872991098711,0.978928669239376,-0.160872991099298,0.0203348519087643,0.124114732758401
0.0125,0.022159025316433,0.129013420442118,0.977172305085343,-0.167326502301403,0.977172305088797,-0.167326502301995,0.0220285946215336,0.129035754885579
0.013,0.0239263816654032,0.133901915236119,0.97535014345244,-0.173750346381595,0.975350143455772,-0.17375034638219,0.0237855842788332,0.133926997172052
0.0135,0.0257566739015493,0.138759399468445,0.973462859345181,-0.180143509187296,0.973462859348387,-0.180143509187891,0.0256051464101185,0.138787440348866
0.014,0.0276492023570893,0.143584865885456,0.971511148231324,-0.186504995535739,0.9715111482344,-0.186504995536331,0.027486586084542,0.14361608404942
0.0145,0.029603247396843,0.148377326752508,0.969495725407549,-0.192833829700628,0.969495725410491,-0.192833829701216,0.0294291885394167,0.148411947294994
0.015,0.0316180700637235,0.153135814318572,0.967417325355984,-0.19912905587528,0.967417325358788,-0.19912905587586,0.0314322198213662,0.153174068956248
0.0155,0.0336929127359512,0.157859381256342,0.965276701089021,-0.205389738611315,0.965276701091684,-0.205389738611885,0.0334949274391357,0.157901508190372
0.016,0.0358269997949648,0.162547101077529,0.963074623483481,-0.211614963232631,0.963074623485999,-0.211614963233189,0.035616541027014,0.162593344853589
0.0165,0.0380195383029692,0.167198068523127,0.960811880605173,-0.217803836224418,0.960811880607544,-0.217803836224961,0.0377962730178349,0.1672486798888
0.017,0.0402697186890698,0.171811399928457,0.958489277024881,-0.223955485597034,0.9584892770271,-0.223955485597559,0.0400333193245053,0.171866635688172
0.0175,0.0425767154429507,0.176386233562854,0.956107633126837,-0.230069061224613,0.956107633128901,-0.230069061225116,0.0423268600290275,0.176446356430545
0.018,0.0449396878150427,0.180921729943911,0.953667784410721,-0.236143735158308,0.953667784412628,-0.236143735158788,0.044676060077967,0.180987008393558
0.0185,0.0473577805221512,0.185417072126239,0.951170580788221,-0.242178701914134,0.951170580789968,-0.242178701914587,0.0470800699833436,0.185487780240479
0.019,0.0498301244575041,0.189871465964756,0.948616885875179,-0.248173178735415,0.948616885876762,-0.248173178735838,0.0495380265279105,0.189947883281712
0.0195,0.0523558374042033,0.194284140352537,0.946007576280343,-0.254126405829886,0.946007576281759,-0.254126405830277,0.0520490534738206,0.194366551711055
