"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.0046371661345006,0,0.995379698928446,0,0.995379702508217,0,0.00463716419471893,0
0.5,0.00522754642453194,-0.00154153443364891,0.994666083316396,-0.008802053278675,0.994666083057602,-0.00880205269740486,0.00522737650475236,-0.00154102927089639
1,0.00569460156837565,-0.00384314051837009,0.993864285889746,-0.0168228026957991,0.99386428565408,-0.0168228019639187,0.00569421693315775,-0.00384191754977792
1.5,0.00587540898495398,-0.00630032839740835,0.993146561100632,-0.0246310199168498,0.993146561106414,-0.0246310194672859,0.00587482978861331,-0.00629829009784899
2,0.00585087173815957,-0.00875654238324231,0.992452287281767,-0.0323680008110578,0.992452287344285,-0.032368000573971,0.00585016201204702,-0.00875361890314252
2.5,0.00570355539680101,-0.0111726118572424,0.991712793969622,-0.0400667757801187,0.991712794021973,-0.0400667756802946,0.00570276665435898,-0.0111687701806638
3,0.0054738683878055,-0.0135460886174865,0.990901303163168,-0.0477221429644406,0.990901303185193,-0.0477221429448864,0.00547304376149604,-0.0135413051810609
3.5,0.00518255414435309,-0.015879920741531,0.990011940526195,-0.055325498499057,0.990011940518786,-0.0553254985189415,0.00518173604406869,-0.0158741757639014
4,0.00484184921358155,-0.0181770912467947,0.98904746159838,-0.062871219190626,0.989047461572413,-0.0628712192223677,0.00484108280943696,-0.0181703693430979
4.5,0.00446004049384063,-0.0204400803739695,0.988013669417381,-0.0703570388310393,0.988013669387608,-0.0703570388579831,0.00445937430231647,-0.020432372331868
5,0.00404334832814812,-0.0226710707736437,0.986916891505604,-0.0777832825884346,0.986916891486721,-0.0777832826026543,0.00404283324388688,-0.0226623750320503
5.5,0.00359673902249935,-0.0248721580220277,0.985762856688327,-0.0851520089587474,0.985762856692432,-0.0851520089588123,0.00359642662790827,-0.0248624814759708
6,0.00312429435848149,-0.0270454687089039,0.984556253969925,-0.0924662880445846,0.984556254004986,-0.0924662880333686,0.00312423501660719,-0.0270348268140204
6.5,0.00262939318874611,-0.0291932032672317,0.98330063724007,-0.0997296530294411,0.983300637309207,-0.0997296530121004,0.00262963422874651,-0.0291816195459056
7,0.00211481330380103,-0.0313176323777942,0.981998502396161,-0.106945711265707,0.981998502497527,-0.106945711247919,0.0021153974791116,-0.031305137475905
7.5,0.00158280051518978,-0.0334210692473249,0.980651441420187,-0.114117887396737,0.980651441547265,-0.114117887383269,0.00158376482331646,-0.033407699698369
8,0.00103512506544601,-0.0355058324338913,0.97926031995961,-0.121249268713774,0.979260320101766,-0.121249268707394,0.00103649995368671,-0.0354916292737908
8.5,0.000473133362205447,-0.0375742080715513,0.977825449500686,-0.128342525460734,0.97782544964384,-0.128342525461425,0.000474942299966752,-0.037559215422835
9,-0.000102202418072461,-0.0396284163447636,0.976346739998607,-0.135399883234604,0.976346740125956,-0.135399883239057,-9.99430462338413E-005,-0.0396126800600047
9.5,-0.000690236629626639,-0.0416705844491725,0.974823827616627,-0.142423129524944,0.974823827709341,-0.142423129526284,-0.000687517369241109,-0.0416541508751518
10,-0.00129060495924122,-0.0437027266457024,0.97325617720462,-0.149413640998659,0.973256177242474,-0.149413640986308,-0.00128742293178002,-0.0436856415448039
10.5,-0.00188867074109075,-0.0458262377633991,0.971627265183168,-0.156407478127149,0.971627265221752,-0.156407478120149,-0.00188515365322164,-0.0458085031034727
11,-0.00251492086175051,-0.0479408283488656,0.969957313277598,-0.16336419450413,0.969957313316319,-0.163364194502316,-0.00251106302903201,-0.0479224715598754
11.5,-0.00316921671085443,-0.0500460964781801,0.968247274939134,-0.170285650830557,0.968247274977458,-0.170285650833714,-0.00316501384540288,-0.0500271457196995
12,-0.00385141385372414,-0.0521416432839508,0.96649784815279,-0.177173584340239,0.966497848190245,-0.177173584348107,-0.00384686310123852,-0.0521221273724994
12.5,-0.00456136211025623,-0.0542270730651673,0.964709514186707,-0.18402959524654,0.964709514222879,-0.18402959525883,-0.00455646208367541,-0.0542070213999155
13,-0.00529890563604041,-0.056301993393514,0.962882573285236,-0.190855139296879,0.962882573319771,-0.190855139313278,-0.00529365644577307,-0.0562814358805452
13.5,-0.0060638830055752,-0.0583660152161527,0.961017176939989,-0.197651525191557,0.961017176972588,-0.197651525211739,-0.00605828628625646,-0.0583449821914721
14,-0.00685612729741308,-0.0604187529548383,0.959113356607557,-0.204419915768104,0.959113356637972,-0.204419915791738,-0.00685018623114753,-0.0603972751063382
14.5,-0.00767546618110893,-0.062459824601377,0.957171048913295,-0.211161332007599,0.957171048941325,-0.211161332034352,-0.00766918551716961,-0.0624379328899236
15,-0.00852172200579723,-0.064488851809311,0.955190117498289,-0.217876659072342,0.955190117523776,-0.217876659101887,-0.00851510807676711,-0.0644665773891857
15.5,-0.00939471189026195,-0.0665054599818529,0.953170371741936,-0.224566653727256,0.953170371764761,-0.224566653759268,-0.00938777262460974,-0.0664828341207224
16,-0.0102942478143429,-0.0685092783560037,0.951111582635308,-0.231231952625679,0.951111582655387,-0.231231952659851,-0.0102869927454228,-0.0684863323546212
16.5,-0.011220136711513,-0.070499940082839,0.949013496098919,-0.237873081052094,0.949013496116198,-0.237873081088128,-0.0112125769830206,-0.070476705194662
17,-0.0121721805624888,-0.0724770823039593,0.946875844039698,-0.244490461809288,0.94687584405415,-0.2444904618469,-0.0121643289303753,-0.072453589654887
17.5,-0.013150176489719,-0.0744403462240886,0.94469835343132,-0.25108442401653,0.944698353442943,-0.25108442405545,-0.0131420473206001,-0.0744166267325013
18,-0.0141539168525854,-0.0763893771798334,0.942480753683995,-0.257655211649803,0.942480753692807,-0.257655211689781,-0.0141455261186919,-0.0763654614771232
18.5,-0.0151831893431822,-0.0783238247046159,0.940222782547392,-0.264202991706896,0.940222782553426,-0.264202991747695,-0.015174554613888,-0.0782997430563817
19,-0.0162377770825183,-0.0802433425897893,0.937924190766051,-0.270727861920895,0.937924190769358,-0.270727861962295,-0.0162289175125123,-0.0802191248178792
19.5,-0.0173174587169914,-0.0821475889419832,0.93558474568203,-0.277229857977178,0.935584745682671,-0.277229858018975,-0.0173083950311581,-0.082123264347568
20,-0.0184220085150029,-0.0840362262366949,0.933204233955599,-0.283708960212985,0.933204233953648,-0.283708960254989,-0.0184127629900768,-0.0840118235245098
20.5,-0.0195511964635526,-0.0859089213681914,0.930782463552462,-0.290165099796464,0.930782463547999,-0.290165099838502,-0.0195417929066409,-0.08588446857215
21,-0.0207047883646923,-0.0877653456957526,0.928319265125364,-0.296598164394942,0.928319265118476,-0.296598164436856,-0.0206952520887438,-0.0877408701060474
21.5,-0.021882545931697,-0.089605175086338,0.925814492899488,-0.303008003351231,0.925814492890269,-0.303008003392876,-0.0218729037280198,-0.0895807031781994
22,-0.0230842268848179,-0.0914280899537081,0.923268025154556,-0.309394432392668,0.923268025143102,-0.309394432433912,-0.0230745069927405,-0.0914036473179634
22.5,-0.0243095850464941,-0.0932337752941219,0.92067976438208,-0.315757237901396,0.920679764368491,-0.315757237942118,-0.0242998171202908,-0.0932093865696808
23,-0.0255583704359071,-0.0950219207186385,0.918049637183666,-0.322096180776154,0.918049637168046,-0.322096180816248,-0.0255485855090861,-0.0949976095270382
23.5,-0.0268303293627374,-0.0967922204821374,0.915377593965395,-0.328410999916638,0.915377593947845,-0.328410999956005,-0.0268205598098258,-0.0967680093642633
24,-0.0281252045200439,-0.0985443735091487,0.912663608473968,-0.334701415361094,0.912663608454593,-0.334701415399651,-0.0281154840159828,-0.0985202838642485
24.5,-0.0294427350761211,-0.100278083416565,0.909907677212431,-0.34096713110692,0.909907677191334,-0.340967131144586,-0.0294330985534036,-0.10025413544365
25,-0.0307826567652524,-0.101993058533357,0.907109818766505,-0.347207837642625,0.90710981874379,-0.347207837679336,-0.0307731403689406,-0.101969271175101
25.5,-0.0321447019772618,-0.103689011917404,0.904270073066898,-0.353423214217931,0.904270073042665,-0.353423214253627,-0.0321353430180106,-0.103665402806604
26,-0.033528599845763,-0.105365661369523,0.901388500608218,-0.35961293087685,0.901388500582569,-0.359612930911479,-0.0335194367509947,-0.105342246778224
26.5,-0.0349340763350123,-0.107022729444826,0.898465181641121,-0.36577665027684,0.898465181614155,-0.365776650310357,-0.0349251485983854,-0.106999524236162
27,-0.0363608543253128,-0.108659943461532,0.895500215350966,-0.371914029315197,0.895500215322779,-0.371914029347567,-0.0363522024546201,-0.108636961044349
27.5,-0.0378086536968621,-0.110277035507334,0.892493719033546,-0.378024720582056,0.892493719004232,-0.378024720613248,-0.0378003191605099,-0.110254287793655
28,-0.0392771914119921,-0.111873742443458,0.889445827276166,-0.384108373657579,0.889445827245817,-0.384108373687568,-0.0392692165842042,-0.111851239808814
28.5,-0.0407661815957397,-0.113449805906542,0.886356691150443,-0.390164636269357,0.88635669111915,-0.390164636298121,-0.0407586097006284,-0.113427557153224
29,-0.0422753356146842,-0.115004972308455,0.883226477421701,-0.396193155324421,0.88322647738955,-0.396193155351946,-0.0422682106693432,-0.114982984631701
29.5,-0.0438043621540013,-0.116538992834184,0.880055367778552,-0.402193577828894,0.880055367745627,-0.40219357785517,-0.0437977289107572,-0.116517271791321
30,-0.0453529672927033,-0.118051623437941,0.876843558085242,-0.408165551707007,0.876843558051626,-0.408165551732028,-0.0453468711806746,-0.118030172920486
30.5,-0.0469208545770069,-0.119542624837599,0.873591257658545,-0.414108726529969,0.873591257624317,-0.414108726553731,-0.0469153416431178,-0.119521447046332
31,-0.0485077250918196,-0.121011762507603,0.870298688570273,-0.420022754164145,0.870298688535508,-0.420022754186652,-0.0485028419414036,-0.120990857930589
31.5,-0.0501132775302976,-0.122458806670482,0.866966084976004,-0.425907289346972,0.866966084940775,-0.425907289368227,-0.0501090712674385,-0.122438174064041
32,-0.0517372082614859,-0.123883532287121,0.863593692470182,-0.431761990198173,0.863593692434561,-0.431761990218183,-0.0517337264292258,-0.123863168659708
32.5,-0.0533792113959927,-0.125285719045886,0.860181767467432,-0.437586518673021,0.860181767431486,-0.437586518691796,-0.0533765019165515,-0.12526561964486
33,-0.0550389788497259,-0.126665151350767,0.856730576609672,-0.443380540963692,0.856730576573465,-0.443380540981245,-0.0550370899648567,-0.126645309652012
33.5,-0.0567162004056704,-0.128021618308661,0.853240396198443,-0.449143727854082,0.853240396162039,-0.449143727870428,-0.0567151806172808,-0.128002026009011
34,-0.0584105637737252,-0.129354913715936,0.849711511651719,-0.454875755032904,0.849711511615177,-0.45487575504806,-0.0584104617848902,-0.129335560728341
34.5,-0.0601217546485996,-0.130664836044375,0.846144216984362,-0.460576303369352,0.846144216947739,-0.460576303383335,-0.0601226193050867,-0.130645710495776
35,-0.0618494567658059,-0.131951188426667,0.842538814311335,-0.466245059155159,0.842538814274686,-0.466245059167991,-0.0618513369982264,-0.131932276658494
35.5,-0.063593351955752,-0.133213778641552,0.838895613372738,-0.471881714316466,0.838895613336115,-0.471881714328169,-0.0635962967224507,-0.133195065212781
36,-0.0653531201959812,-0.134452419098736,0.835214931079709,-0.477485966598541,0.835214931043162,-0.477485966609137,-0.0653571784267708,-0.134433886791432
36.5,-0.0671284396615798,-0.135666926823703,0.831497091080241,-0.483057519726066,0.831497091043816,-0.483057519735581,-0.0671336602024225,-0.135648556650971
37,-0.0689189867738069,-0.136857123442559,0.827742423343962,-0.488596083541435,0.827742423307704,-0.488596083549894,-0.0689254183325355,-0.13683889465881
37.5,-0.0707244362469805,-0.138022835166984,0.823951263764951,-0.494101374123197,0.823951263728902,-0.494101374130625,-0.0707321273401549,-0.138004725280439
38,-0.0725444611336801,-0.139163892779447,0.820123953781685,-0.499573113886599,0.820123953745886,-0.499573113893025,-0.0725534600346565,-0.139145877566766
38.5,-0.0743787328683105,-0.140280131618748,0.816260840013257,-0.505011031667956,0.816260839977747,-0.505011031673408,-0.0743890875566109,-0.140262185141717
39,-0.0762269213090995,-0.141371391566028,0.812362273911007,-0.510414862794377,0.812362273875821,-0.510414862798882,-0.0762386794211457,-0.14135348619017
39.5,-0.078088694778587,-0.142437517031323,0.808428611424775,-0.515784349140236,0.808428611389947,-0.515784349143825,-0.078101903559872,-0.142419623446359
40,-0.0799637201026684,-0.143478356940762,0.804460212683028,-0.521119239171628,0.80446021264859,-0.521119239174329,-0.0799784263614244,-0.143460444182799
40.5,-0.0818516626482831,-0.144493764724505,0.800457441686105,-0.5264192879799,0.800457441652087,-0.526419287981744,-0.0818679127107003,-0.144475800199851
41,-0.0837521863598055,-0.1454835983055,0.796420666011927,-0.531684257305265,0.796420665978356,-0.531684257306283,-0.0837700260268478,-0.145465547815994
41.5,-0.0856649537942278,-0.146447720089142,0.792350256533497,-0.536913915551372,0.792350256500401,-0.536913915551594,-0.0856844283000919,-0.146429547858891
42,-0.0875896261552221,-0.147385996953914,0.788246587147607,-0.542108037791641,0.788246587115008,-0.542108037791098,-0.0876107801274748,-0.147367665657327
42.5,-0.0895258633261568,-0.148298300243078,0.784110034514147,-0.547266405768067,0.784110034482069,-0.547266405766788,-0.0895487407475755,-0.148279771034076
43,-0.0914733239021684,-0.149184505757477,0.77994097780551,-0.552388807883152,0.779940977773973,-0.552388807881169,-0.091497968074316,-0.14916573829978
43.5,-0.0934316652213741,-0.150044493749517,0.775739798465557,-0.55747503918553,0.775739798434581,-0.557475039182874,-0.0934581187299206,-0.150025446247887
44,-0.0954005433953243,-0.150878148918382,0.771506879977688,-0.562524901349816,0.77150687994729,-0.562524901346518,-0.0954288480771234,-0.150858778150708
44.5,-0.097379613338783,-0.151685360406526,0.767242607641563,-0.567538202651155,0.767242607611759,-0.567538202647245,-0.0974098102507219,-0.151665621756654
45,-0.0993685287989492,-0.152466021797493,0.762947368358064,-0.572514757934875,0.76294736832887,-0.572514757930384,-0.0994006581885538,-0.152445869288674
45.5,-0.101366942384206,-0.1532200311151,0.758621550422109,-0.577454388581665,0.758621550393536,-0.577454388576622,-0.101401043662009,-0.153199417443959
46,-0.103374505592507,-0.153947290824019,0.754265543322944,-0.582356922468595,0.754265543295005,-0.582356922463031,-0.103410617306161,-0.153926167394935
46.5,-0.105390868839499,-0.154647707831781,0.74987973755159,-0.587222193926316,0.749879737524295,-0.58722219392026,-0.105429028649615,-0.154626024791567
47,-0.107415681486486,-0.155321193492219,0.745464524415114,-0.592050043692717,0.745464524388472,-0.592050043686197,-0.107455926144188,-0.155298899765022
47.5,-0.109448591868345,-0.15596766361039,0.741020295857431,-0.596840318863313,0.741020295831449,-0.59684031885636,-0.109490957194489,-0.155944706932679
48,-0.111489247321485,-0.15658703844895,0.736547444286364,-0.601592872838595,0.73654744426105,-0.601592872831237,-0.111533768187536,-0.15656336540452
48.5,-0.113537294211969,-0.157179242736015,0.732046362406698,-0.606307565268567,0.732046362382056,-0.606307565260833,-0.113584004522478,-0.157154798790901
49,-0.115592377963894,-0.15774420567449,0.727517443058986,-0.610984261994672,0.727517443035021,-0.610984261986588,-0.115641310640549,-0.157718935211711
49.5,-0.117654143088134,-0.15828186095287,0.722961079063889,-0.61562283498928,0.722961079040602,-0.615622834980874,-0.117705330055327,-0.158255707306906
50,-0.119722233211566,-0.158792146757496,0.718377663071815,-0.620223162292942,0.71837766304921,-0.620223162284241,-0.119775705383431,-0.158765052248415
50.5,-0.121796291106855,-0.159275005786237,0.713767587417701,-0.624785127949521,0.713767587395778,-0.624785127940551,-0.121852078375721,-0.159246911753409
51,-0.123875958722923,-0.1597303852636,0.7091312439807,-0.629308621939383,0.709131243959459,-0.629308621930169,-0.123934089949128,-0.159701232098895
51.5,-0.125960877216195,-0.160158236957205,0.704469024048648,-0.633793540110768,0.704469024028088,-0.633793540101336,-0.126021380219195,-0.160127964137635
52,-0.128050686982721,-0.160558517195624,0.699781318187115,-0.638239784109469,0.699781318167233,-0.638239784099843,-0.128113588533433,-0.160527063315338
52.5,-0.130145027691269,-0.160931186887515,0.695068516112897,-0.642647261306934,0.695068516093691,-0.642647261297138,-0.13021035350558,-0.160898489689102
53,-0.132243538317495,-0.16127621154202,0.690331006571818,-0.647015884726903,0.690331006553284,-0.647015884716961,-0.132311313050868,-0.161242207947054
53.5,-0.134345857179273,-0.161593561290384,0.685569177220688,-0.651345572970688,0.685569177202822,-0.651345572960623,-0.134416104422375,-0.161558187429163
54,-0.136451621973282,-0.161883210908719,0.6807834145133,-0.655636250141182,0.680783414496094,-0.655636250131015,-0.136524364248564,-0.161846402149149
54.5,-0.138560469812931,-0.162145139841867,0.675974103590346,-0.65988784576569,0.675974103573796,-0.659887845755443,-0.138635728572086,-0.162106830817446
55,-0.140672037267726,-0.162379332228295,0.67114162817314,-0.664100294717681,0.671141628157239,-0.664100294707374,-0.140749832889939,-0.162339456865174
55.5,-0.142785960404135,-0.162585776925948,0.666286370461041,-0.66827353713752,0.666286370445781,-0.668273537127174,-0.142866312195056,-0.162544268469014
56,-0.144901874828056,-0.162764467538991,0.661408711032465,-0.672407518352277,0.661408711017838,-0.672407518341911,-0.14498480101941,-0.162721258576963
56.5,-0.147019415728942,-0.162915402445355,0.65650902874942,-0.676502188794677,0.656509028735416,-0.676502188784309,-0.147104933478705,-0.162870424934867
57,-0.14913821792568,-0.163038584825009,0.651587700665428,-0.680557503921252,0.651587700652038,-0.680557503910901,-0.149226343318727,-0.162991770113659
57.5,-0.151257915914261,-0.163134022688871,0.646645101936802,-0.684573424129785,0.646645101924016,-0.684573424119468,-0.151348663963419,-0.163085301537229
58,-0.153378143917339,-0.163201728908267,0.641681605737147,-0.688549914676083,0.641681605724954,-0.688549914665816,-0.153471528564757,-0.16315103151083
58.5,-0.155498535935714,-0.163241721244835,0.636697583175039,-0.692486945590158,0.636697583163428,-0.692486945579957,-0.15559457005447,-0.163188977249937
59,-0.157618725801804,-0.163254022380797,0.631693403214802,-0.696384491591866,0.631693403203762,-0.696384491581747,-0.157717421197678,-0.163199160909468
59.5,-0.159738347235165,-0.163238659949478,0.6266694326003,-0.70024253200606,0.626669432589817,-0.700242531996036,-0.159839714648489,-0.163181609613261
60,-0.161857033900091,-0.163195666565969,0.621626035781688,-0.704061050677315,0.621626035771751,-0.7040610506674,-0.161961083007605,-0.163136355483721
60.5,-0.163974419465346,-0.16312507985785,0.616563574845055,-0.70784003588427,0.616563574835651,-0.707840035874478,-0.164081158881989,-0.163063435671524
61,-0.166090137666069,-0.163026942495833,0.6114824094449,-0.711579480253651,0.611482409436015,-0.711579480243993,-0.166199574946617,-0.16296289238528
