"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00503527249406943,0,0.994978592454572,0,0.994978588816593,0,0.00503526452445158,0
0.5,0.00555486377499648,9.44908106319531E-005,0.994421731059639,-0.00563878300895837,0.994421730687847,-0.00563878372098614,0.0055546491765881,9.53506619083555E-005
1,0.00601792536972923,-0.000450374559584077,0.99387798059384,-0.0106362511922065,0.993877981504607,-0.0106362514735636,0.00601739298243942,-0.000448389597618615
1.5,0.00632512235259597,-0.00110096729747866,0.99342343524221,-0.015635293948435,0.9934234360069,-0.0156352942930411,0.00632419270071338,-0.00109791664977976
2,0.0065056000101098,-0.00180331739893447,0.993006192044307,-0.0204986994345617,0.993006192662911,-0.0204986997846177,0.00650427284450039,-0.00179900528551258
2.5,0.00661192365338259,-0.00250431957963926,0.992635329123049,-0.0252974229738072,0.992635329615606,-0.0252974232930612,0.00661024890709072,-0.00249866111892771
3,0.00667709677395578,-0.00319356800350867,0.992294155127341,-0.0300694713492486,0.992294155517158,-0.0300694716207328,0.00667510688436401,-0.0031865324806688
3.5,0.00671865452723441,-0.003871585787115,0.99196432859675,-0.0348312464297216,0.991964328903793,-0.0348312466484373,0.00671636045148105,-0.00386316175028512
4,0.00674593431956705,-0.00454101842332477,0.991631715337205,-0.0395884873572392,0.991631715577007,-0.039588487524604,0.0067433317356258,-0.00453119953020042
4.5,0.00676410845404485,-0.00520448158577835,0.991286382909609,-0.0443422333156853,0.991286383094007,-0.0443422334362467,0.00676118309145313,-0.00519326135234621
5,0.00677617496503746,-0.00586414493347043,0.990921475772834,-0.0490916081079167,0.990921475911002,-0.0490916081876609,0.00677290605873537,-0.00585151487206304
5.5,0.0067839466857631,-0.00652174142202178,0.990532207060976,-0.053835049409571,0.990532207160314,-0.0538350494550102,0.00678030908182325,-0.00650769043963528
6,0.00678856071612577,-0.0071786592163452,0.990115150900672,-0.0585708348232519,0.990115150967441,-0.0585708348409675,0.00678452614418612,-0.00716317347100315
6.5,0.00679075224873427,-0.00783603089477936,0.989667780525757,-0.0632972976720296,0.989667780565542,-0.0632972976684343,0.00678629009439713,-0.00781909380559043
7,0.00679100799521137,-0.00849480339437658,0.989188173283114,-0.0680129071261311,0.989188173301115,-0.0680129071073257,0.00678608577044759,-0.00847639568945713
7.5,0.00678965551360688,-0.00915578952671492,0.988674822562281,-0.0727162897338642,0.988674822563513,-0.072716289705566,0.00678423914117876,-0.00913588928608799
8,0.00678691704312273,-0.00981970524718978,0.988126517083023,-0.0774062264447357,0.988126517072445,-0.0774062264122284,0.00678097102355046,-0.00979828792622239
8.5,0.00678294295936355,-0.0104871966209696,0.987542262596112,-0.08208164019495,0.987542262578688,-0.0820816401630697,0.00677643046160459,-0.0104642350507929
9,0.00677783313397262,-0.0111588595031717,0.986921230456051,-0.0867415806442864,0.986921230436787,-0.0867415806173959,0.00677071603506307,-0.0111343238685313
9.5,0.00677165089565646,-0.0118352540922366,0.986262723360864,-0.0913852088518743,0.986262723344813,-0.091385208833854,0.00676388978506948,-0.0118091118883887
10,0.00676443233952606,-0.0125169158654934,0.985566152147767,-0.0960117829799465,0.985566152140026,-0.0960117829742062,0.00675598649827447,-0.0124891318358911
10.5,0.0067468684260511,-0.0131745303513542,0.984895503372428,-0.100686146100783,0.984895503364972,-0.100686146094922,0.00673803292261166,-0.0131454456634073
11,0.00672630499196913,-0.0138361048758737,0.98420079034499,-0.105346525108411,0.98420079033782,-0.105346525102443,0.00671704430083675,-0.0138057223072332
11.5,0.00670249253591143,-0.0145016821800263,0.983482719651458,-0.10999303158887,0.983482719644573,-0.109993031582814,0.00669276996758339,-0.0144700027556626
12,0.00667518111448162,-0.0151712899192358,0.982741953466355,-0.114625817132172,0.982741953459753,-0.114625817126039,0.00666495896633712,-0.0151383127934297
12.5,0.00664412132057496,-0.0158449409319346,0.981979108426866,-0.119245067254892,0.981979108420543,-0.119245067248698,0.00663336103734163,-0.0158106632874233
13,0.00660906521602231,-0.016522633574052,0.981194755208933,-0.123850995598144,0.981194755202887,-0.123850995591902,0.00659772755774068,-0.0164870505388857
13.5,0.00656976721440639,-0.017204352113307,0.980389418719255,-0.128443838462759,0.980389418713481,-0.128443838456484,0.00655781242981743,-0.017167456695713
14,0.00652598491057257,-0.0178900671771851,0.979563578816465,-0.133023849726873,0.979563578810959,-0.133023849720575,0.00651337291389387,-0.0178518502185456
14.5,0.00647747985416082,-0.0185797362482503,0.978717671476814,-0.137591296175651,0.97871767147157,-0.13759129616934,0.00646417040327225,-0.018540186394008
15,0.00642401826511083,-0.0192733042005409,0.977852090323495,-0.142146453259682,0.977852090318509,-0.142146453253367,0.00640997113927289,-0.0192324078886532
15.5,0.00636537168983339,-0.0199707038707984,0.976967188444202,-0.146689601286969,0.976967188439469,-0.146689601280662,0.00635054686515803,-0.0199284453372108
16,0.00630131759732426,-0.020671856658447,0.976063280427809,-0.151221022043905,0.976063280423322,-0.151221022037618,0.00628567541836343,-0.0206282179588126
16.5,0.00623163991513222,-0.0213766731483958,0.975140644558081,-0.155740995832932,0.975140644553833,-0.155740995826668,0.00621514126107463,-0.0213316341951799
17,0.00615612950559605,-0.0220850537510424,0.97419952510954,-0.160249798908531,0.974199525105526,-0.160249798902302,0.00613873594972585,-0.0220385923650155
17.5,0.00607458458328817,-0.0227968893540806,0.973240134697834,-0.164747701288843,0.973240134694048,-0.164747701282654,0.00605625854451213,-0.0227489813290647
18,0.0059868110750169,-0.0235120619810658,0.972262656643992,-0.169234964916976,0.972262656640427,-0.169234964910833,0.00596751596043586,-0.0234626811607686
18.5,0.00589262292413591,-0.0242304454520532,0.971267247318543,-0.173711842144335,0.971267247315192,-0.173711842138244,0.00587232326179415,-0.0241795638177469
19,0.00579184234123117,-0.0249519060419638,0.970254038437657,-0.17817857450724,0.970254038434514,-0.178178574501209,0.00577050390234186,-0.0248994938097171
19.5,0.00568430000354442,-0.025676303132744,0.969223139289044,-0.182635391768085,0.969223139286103,-0.182635391762118,0.00566188991364397,-0.0256223288589137
20,0.00556983520568613,-0.0264034898557299,0.968174638870342,-0.187082511192737,0.968174638867596,-0.187082511186838,0.00554632204433142,-0.0263479205494308
20.5,0.00544829596441834,-0.0271333137210643,0.967108607927157,-0.191520137036967,0.967108607924602,-0.19152013703114,0.0054236498531689,-0.0270761149623246
21,0.00531953908035451,-0.0278656172313636,0.966025100881719,-0.195948460216039,0.966025100879346,-0.195948460210289,0.00529373175893283,-0.0278067532937172
21.5,0.00518343015957198,-0.0286002384772215,0.96492415764638,-0.200367658133243,0.964924157644186,-0.200367658127572,0.00515643505020441,-0.0285396724535425
22,0.00503984359813875,-0.0293370117124723,0.963805805318985,-0.204777894644913,0.963805805316962,-0.204777894639323,0.00501163585820846,-0.0292747056428944
22.5,0.00488866253258605,-0.0300757679075248,0.962670059759326,-0.209179320141401,0.962670059757469,-0.209179320135896,0.00485921909581499,-0.0300116829083561
23,0.00472977875934322,-0.0308163352793476,0.961516927047849,-0.213572071725321,0.961516927046153,-0.213572071719905,0.00469907836582767,-0.0307504316719727
