"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00403154446581766,0,0.995981964253588,0,0.995981962405494,0,0.00403154140974493,0
0.5,0.00448724474418327,6.61297615920375E-005,0.995471357580286,-0.00567544977978329,0.995471357713683,-0.00567544979931256,0.00448717415261513,6.60919371426871E-005
1,0.00489886682493079,-0.00043970849567998,0.994928522646003,-0.0107686888257952,0.994928522601437,-0.0107686888433136,0.00489859639111145,-0.00043975428475207
1.5,0.00508501713759912,-0.00112819487806703,0.994477450269365,-0.0159243335477477,0.994477450239879,-0.0159243336206245,0.00508396185233195,-0.00112846249422915
2,0.00515766281497676,-0.00178071711931693,0.993996549665434,-0.0209260598161869,0.993996549620812,-0.0209260599505328,0.00515598652611082,-0.0017807881951839
2.5,0.00518346720844232,-0.00240106330875278,0.993528210635755,-0.0258160322375041,0.993528210554333,-0.0258160324212291,0.00518127506810018,-0.0024008345140949
3,0.00518599346879967,-0.00299928361172341,0.993083152708149,-0.0306336050562557,0.993083152581685,-0.0306336052715981,0.00518331654917592,-0.00299872443929772
3.5,0.00517475750417251,-0.00358200435759137,0.992656325215109,-0.0354061156404892,0.99265632504541,-0.0354061158715044,0.005171587622959,-0.00358109795864081
4,0.00515412976065832,-0.0041531729918276,0.992237429148289,-0.0401499756140709,0.992237428942707,-0.0401499758489017,0.00515043921436664,-0.0041519015144118
4.5,0.00512634785713129,-0.0047151293197718,0.991815819897685,-0.0448741715441123,0.991815819665937,-0.0448741717746959,0.00512209930757823,-0.00471347037701442
5,0.00509267008425551,-0.00526926811297557,0.991382239193628,-0.0495832445256923,0.991382238946029,-0.0495832447467581,0.00508782166477584,-0.00526719423005417
5.5,0.00505386691462806,-0.00581641631455554,0.99092916040569,-0.0542792569676891,0.99092916015225,-0.0542792571757822,0.00504837502711752,-0.00581389518167796
6,0.00501044972293485,-0.00635704949406346,0.990450638243706,-0.0589629607824769,0.990450637993748,-0.0589629609751761,0.00500427066997378,-0.00635404440958709
6.5,0.0049627851832641,-0.006891419733142,0.989942034085486,-0.0636344532214022,0.989942033847492,-0.0636344533968245,0.0049558761800359,-0.00688789006161272
7,0.00491115597903069,-0.00741963376034693,0.989399749651214,-0.0682935304820127,0.98939974943279,-0.0682935306384893,0.00490347581622541,-0.00741553536130901
7.5,0.00485579462652186,-0.00794170228436553,0.988821005645648,-0.0729398703617434,0.98882100545354,-0.0729398704976454,0.00484730412550194,-0.0079369879066693
8,0.00479690307857283,-0.00845757210971509,0.988203667661053,-0.0775731208109791,0.988203667501198,-0.0775731209246366,0.00478756541564551,-0.00845219175620304
8.5,0.0047346644472509,-0.00896714763511408,0.987546111669523,-0.0821929380581539,0.987546111547093,-0.0821929381478155,0.0047244453905656,-0.00896104890410943
9,0.00466925017843822,-0.0094703056107015,0.986847120182221,-0.0867989987229372,0.986847120101685,-0.0867989987867723,0.00465811826306228,-0.00946343401961158
9.5,0.00460082450782928,-0.00996690549770829,0.986105801517063,-0.0913909993790138,0.986105801482251,-0.0913909994151556,0.00458875116457347,-0.00995920479269596
10,0.00452954724158638,-0.0104567968861868,0.985321526406266,-0.0959686508454451,0.985321526420424,-0.0959686508520106,0.00451650688940985,-0.010448209340427
10.5,0.00448067458656071,-0.0109865112963075,0.98459755654661,-0.100553471746423,0.984597556560453,-0.100553471753315,0.00446697212396918,-0.0109775922576647
11,0.0044290205582333,-0.011517170600297,0.983856285186729,-0.105120286419596,0.983856285200238,-0.105120286426795,0.00441460536281579,-0.0115079252195365
11.5,0.00437452975883168,-0.0120488049664491,0.983098493029367,-0.10967000403405,0.983098493042522,-0.109670004041534,0.00435934948298955,-0.012039236726701
12,0.00431714458626431,-0.0125814424225759,0.982324827620413,-0.114203528079588,0.982324827633199,-0.114203528087331,0.00430114526007774,-0.0125715529558281
12.5,0.00425680530081346,-0.0131151087488321,0.981535815056947,-0.118721743657464,0.98153581506935,-0.118721743665447,0.00423993145240775,-0.0131048976610089
13,0.00419345009772928,-0.013649827371049,0.98073187197652,-0.123225507385126,0.98073187198853,-0.123225507393319,0.00417564489039898,-0.0136392920773227
13.5,0.0041270151859339,-0.01418561925502,0.979913317457296,-0.127715639644427,0.979913317468903,-0.127715639652808,0.00410822057111702,-0.0141747548269295
