"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00520755967403375,0,0.99480941380898,0,0.994809417752549,0,0.00520756125428079,0
0.5,0.00581287798334529,-0.000953844768080359,0.994111656670139,-0.00846861140999522,0.994111656706931,-0.00846861141724631,0.0058128191571214,-0.000953746658421295
1,0.00630913999459182,-0.00265793926732627,0.993370091045584,-0.016176459724619,0.993370090207019,-0.016176459525834,0.00630896705036577,-0.00265768741927985
1.5,0.00656396137330617,-0.00451766948511079,0.992725964955085,-0.0236900302583578,0.992725964524205,-0.0236900298143361,0.00656361200160838,-0.004517210643467
2,0.00663932183247873,-0.00639573422585471,0.992122671434197,-0.0311438147543157,0.992122671297857,-0.0311438144067768,0.00663884292613481,-0.00639497729576988
2.5,0.00661219231835908,-0.00825014826060233,0.99149143675813,-0.0385727649735337,0.991491436746407,-0.0385727647917999,0.0066116339311213,-0.00824906586660745
3,0.00652063989872609,-0.0100781476941059,0.990803431388044,-0.0459737447511408,0.990803431399172,-0.0459737447031952,0.00652003633153786,-0.0100767349422366
3.5,0.00638311808611958,-0.0118832154499611,0.990049971088268,-0.0533394496486306,0.990049971079287,-0.0533394496794166,0.00638249259922086,-0.011881474334194
4,0.00620935522955524,-0.0136687620286882,0.989230846785093,-0.0606647509072591,0.989230846749991,-0.0606647509671419,0.00620872480646151,-0.0136666968728427
4.5,0.00600508305728997,-0.0154372741344879,0.988349052150057,-0.0679471984028126,0.988349052102466,-0.0679471984566451,0.00600446116316666,-0.0154348906353778
5,0.00577410241644749,-0.0171904648066228,0.987408424762386,-0.0751864155256863,0.987408424723496,-0.075186415553989,0.0057735003651902,-0.0171877702056369
5.5,0.00551923211570826,-0.0189295302896779,0.986412599673315,-0.082383399865738,0.986412599663828,-0.0823833998624313,0.00551865960757802,-0.0189265338740316
6,0.00524276820510461,-0.0206553549459176,0.98536458726193,-0.0895399428662893,0.985364587297123,-0.0895399428350991,0.00524223336269913,-0.0206520686111613
6.5,0.00494671603416164,-0.02236865439873,0.984266659221514,-0.0966581977583685,0.984266659308632,-0.0966581977089582,0.00494622511748377,-0.0223650931764121
7,0.00463291089503315,-0.0240700718500824,0.983120384549225,-0.103740379966889,0.983120384686502,-0.103740379911267,0.00463246779844428,-0.0240662543630492
7.5,0.00430308136873025,-0.0257602421268031,0.981926731614263,-0.110788573831701,0.981926731791082,-0.110788573781237,0.00430268696246561,-0.0257561909560655
8,0.00395888206531736,-0.0274398339523199,0.980686191018524,-0.117804619386449,0.980686191216245,-0.117804619349552,0.00395853342307556,-0.0274355759080116
8.5,0.00360190958528761,-0.0291095774789234,0.979398895601207,-0.124790056320981,0.979398895794367,-0.124790056301431,0.00360159912789948,-0.0291051437723882
9,0.00323370918677413,-0.0307702817296143,0.978064726421265,-0.131746106693195,0.978064726578908,-0.131746106689016,0.00323342376505598,-0.030765708046526
9.5,0.00285577636727702,-0.0324228450489921,0.976683400678514,-0.138673682357943,0.976683400765521,-0.138673682360777,0.0028554963026346,-0.0324181715258556
10,0.00246955580193536,-0.0340682606707796,0.975254541413805,-0.14557340693402,0.975254541392112,-0.145573406928815,0.00246925389980132,-0.0340635317790046
10.5,0.00203748894019382,-0.0357386451408876,0.973764957401333,-0.152480101858759,0.973764957380011,-0.152480101855848,0.0020372901692054,-0.0357337114859
11,0.00158460096947655,-0.0374041830886025,0.972231408371783,-0.15935397719836,0.972231408350559,-0.159353977197695,0.00158450887898051,-0.037399049055542
11.5,0.00111092945959559,-0.0390646407499271,0.970655045881751,-0.166196225610227,0.970655045860375,-0.166196225611727,0.00111094739191617,-0.0390593108726325
12,0.000616513978695957,-0.0407197839896072,0.969036819060112,-0.173008009502745,0.969036819038356,-0.173008009506304,0.000616645060565871,-0.0407142629421227
12.5,0.00010139612626707,-0.042369378294306,0.967377496009103,-0.179790443314062,0.967377495986766,-0.179790443319556,0.000101643260393289,-0.0423636708819699
13,-0.000434380432664638,-0.0440131887671105,0.965677684989728,-0.186544580133992,0.965677684966635,-0.186544580141279,-0.000434014575887959,-0.0440072999172263
13.5,-0.000990769932181668,-0.0456509801234315,0.963937854855412,-0.193271402105473,0.96393785483141,-0.193271402114406,-0.000990282922813418,-0.045644914875524
14,-0.00156772446900313,-0.0472825166883726,0.96215835435396,-0.19997181404502,0.962158354328922,-0.199971814055438,-0.00156711412554336,-0.0472762801840005
14.5,-0.00216519396494419,-0.0489075623956041,0.960339430048808,-0.206646639748231,0.96033943002263,-0.20664663975997,-0.00216445836216822,-0.0489011598677571
15,-0.00278312612833731,-0.0505258807878128,0.95848124271669,-0.213296620488506,0.958481242689292,-0.213296620501405,-0.00278226360496736,-0.0505193175498571
15.5,-0.00342146641446606,-0.0521372350187836,0.956583882162161,-0.219922415267927,0.95658388213348,-0.219922415281823,-0.00342047558068637,-0.0521305164529635
16,-0.00408015798506456,-0.0537413878571833,0.954647380452454,-0.226524602433586,0.954647380422448,-0.226524602448316,-0.00407903772987284,-0.0537345194026675
16.5,-0.0047591416669216,-0.0553381016920742,0.952671723622061,-0.233103682327027,0.952671723590703,-0.233103682342435,-0.00475789116531233,-0.0553310888325442
17,-0.00545835590965121,-0.0569271385402614,0.950656861927962,-0.23966008068634,0.950656861895242,-0.239660080702277,-0.00545697462963751,-0.0569199867910202
17.5,-0.00617773674267008,-0.0585082600554823,0.948602718756678,-0.246194152568131,0.948602718722599,-0.24619415258445,-0.00617622445213967,-0.0585009749500882
18,-0.0069172177314541,-0.0600812275395484,0.946509198295535,-0.252706186599516,0.946509198260113,-0.252706186616082,-0.00691557450486086,-0.0600738146159521
18.5,-0.00767672993312113,-0.0616458019554589,0.944376192085061,-0.259196409407841,0.944376192048322,-0.259196409424524,-0.00767495615801606,-0.0616382667416415
19,-0.00845620185139978,-0.0632017439425705,0.942203584568989,-0.265664990108216,0.942203584530969,-0.265664990124894,-0.00845429823480398,-0.0631940919416549
19.5,-0.0092555593910596,-0.064748813833881,0.939991257754392,-0.272112044756431,0.939991257715134,-0.272112044772993,-0.00925352696568454,-0.06474105050872
20,-0.0100747258118514,-0.0662867716754629,0.937739095088241,-0.278537640697706,0.937739095047797,-0.278537640714045,-0.0100725659421703,-0.066278902432674
20.5,-0.0109136216820377,-0.0678153772481531,0.935446984648966,-0.284941800760626,0.93544698460739,-0.284941800776647,-0.0109113360702209,-0.0678074074215904
21,-0.0117721648315855,-0.0693343900915222,0.933114821743196,-0.291324507260954,0.933114821700551,-0.291324507276568,-0.0117697555233027,-0.0693263249251692
21.5,-0.0126502703050752,-0.0708435695302105,0.930742510989189,-0.297685705792237,0.93074251094554,-0.297685705807365,-0.012647739695188,-0.070835414160455
22,-0.0135478503144342,-0.0723426747026785,0.92832996795987,-0.304025308789905,0.928329967915283,-0.304025308804473,-0.0135452011525752,-0.0723344341399741
22.5,-0.0144648141915404,-0.0738314645924534,0.925877120450219,-0.310343198863055,0.925877120404766,-0.310343198876998,-0.0144620495876181,-0.0738231437023158
23,-0.0154010683408002,-0.0753096980619279,0.923383909426035,-0.316639231893852,0.923383909379789,-0.316639231907113,-0.0153981917704293,-0.0753013015452582
23.5,-0.0163565161917749,-0.0767771338887888,0.92085028970398,-0.322913239908832,0.920850289657013,-0.32291323992136,-0.0163535315016738,-0.0767686662614784
24,-0.017331058151946,-0.0782335308051358,0.918276230406349,-0.329165033729429,0.918276230358736,-0.329165033741178,-0.0173279695653132,-0.0782249963769304
24.5,-0.0183245915597076,-0.0796786475393756,0.915661715228184,-0.335394405411279,0.915661715179998,-0.335394405422213,-0.0183214036816199,-0.0796700503919525
25,-0.0193370106376826,-0.0811122428609632,0.913006742549117,-0.341601130483256,0.913006742500434,-0.341601130493342,-0.0193337284605469,-0.0811035868251857
25.5,-0.020368206446454,-0.0825340756280706,0.910311325417775,-0.347784969998025,0.910311325368666,-0.347784970007235,-0.0203648353555599,-0.0825253642603712
26,-0.0214180668388158,-0.0839439048382573,0.90757549143245,-0.353945672406297,0.90757549138299,-0.353945672414611,-0.0214146126180303,-0.0839351413961049
