"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00789834594525018,0,0.992114588036202,0,0.992114588036202,0,0.00789834629563302,0
0.5,0.00888034236725233,0.00347418543537259,0.99109584226693,-0.0106147514359201,0.991095842267381,-0.0106147514347619,0.00888013336257032,0.00347405080956165
1,0.0104860974475134,0.00601912252310299,0.98941190818249,-0.0203005261831777,0.989411908181484,-0.02030052618416,0.0104852452712443,0.00601893339567106
1.5,0.0123748445110339,0.00774550400545593,0.987386707942423,-0.029172276019187,0.987386707941655,-0.0291722760190449,0.0123728377878223,0.00774537155241717
2,0.0141811719076914,0.00881920019487215,0.985399254798118,-0.0373799451970616,0.985399254797971,-0.0373799451967596,0.0141779111886233,0.00881945794726224
2.5,0.0157794660863724,0.0094593563104679,0.983575370962231,-0.0451554766091089,0.983575370962357,-0.0451554766090263,0.0157748704870615,0.00946005214331436
3,0.0171430837848647,0.00983119725271209,0.981934880595692,-0.0526656151875677,0.981934880595839,-0.0526656151876681,0.0171369580427814,0.00983231521898897
3.5,0.018290290090806,0.0100486518163798,0.980456793165583,-0.0600209004706347,0.980456793165687,-0.0600209004707999,0.0182823857290475,0.0100502023608318
4,0.0192557914809717,0.010184700879825,0.979106905592619,-0.0672914924635046,0.979106905592706,-0.0672914924636592,0.0192458530499311,0.0101867211615021
4.5,0.0200762087770849,0.0102832909763224,0.977849989687378,-0.0745201018320536,0.977849989687491,-0.0745201018321806,0.0200639868042698,0.0102858290964418
5,0.0207839743431903,0.0103694378719075,0.976654750080995,-0.0817315655006574,0.976654750081165,-0.081731565500764,0.0207692233884145,0.0103725431166568
5.5,0.0214056304950268,0.0104564756550749,0.975495248363614,-0.088939488693824,0.975495248363851,-0.0889394886939279,0.0213881039768193,0.0104601956378767
6,0.0219620504118505,0.0105507957351754,0.974350746509479,-0.0961506137342734,0.974350746509779,-0.0961506137343964,0.0219414963806142,0.0105551774370305
6.5,0.0224693131456186,0.010654787768178,0.973204972425983,-0.103367587637304,0.973204972426331,-0.103367587637455,0.0224454717992073,0.0106598801628288
7,0.0229396741770336,0.0107686113065233,0.972045273917043,-0.110590672437381,0.972045273917414,-0.110590672437562,0.022912276854917,0.0107744683410402
7.5,0.0233824248538951,0.0108912437242341,0.970861848712858,-0.117818784841212,0.970861848713231,-0.117818784841415,0.0233511940714753,0.0108979271168019
8,0.0238045888072158,0.0110210915165263,0.969647106890644,-0.125050120410428,0.969647106890992,-0.125050120410644,0.0237692389692236,0.0110286731814027
8.5,0.0242114633320102,0.0111563416261649,0.968395166585131,-0.132282523848298,0.96839516658543,-0.132282523848503,0.0241717018750061,0.0111649056883332
9,0.0246070320223378,0.0112951590546286,0.967101464329846,-0.139513705354648,0.967101464330071,-0.139513705354815,0.0245625608237255,0.0113048034739247
9.5,0.0249942767012484,0.0114357940120566,0.965762457359427,-0.146741364155516,0.965762457359558,-0.146741364155616,0.024944793650177,0.0114466318526909
10,0.0253754128305938,0.0115766361120877,0.964375397153134,-0.153963256349293,0.964375397153151,-0.153963256349288,0.0253206134918073,0.0115887964937245
10.5,0.0257936296059962,0.0117169017562566,0.962961906329217,-0.161178605563725,0.962961906328846,-0.161178605563529,0.0257294964877311,0.0117292841255305
11,0.0262005280648688,0.0118521541688641,0.961499214564398,-0.16838779157785,0.961499214563732,-0.168387791577453,0.0261272193161295,0.0118655473218703
11.5,0.0265979969285642,0.0119829153880771,0.959986266577459,-0.175589098423588,0.959986266576572,-0.17558909842299,0.0265156925676443,0.0119979743102063
12,0.0269876651569545,0.0121094818972298,0.958422305396612,-0.182780978113656,0.958422305395572,-0.182780978112862,0.0268965490253024,0.0121267481474576
12.5,0.027370927651873,0.0122319837157705,0.956806807183463,-0.189962034983665,0.956806807182323,-0.189962034982688,0.027271174927231,0.0122519037956037
13,0.0277489709833351,0.0123504298246759,0.955139430900742,-0.197131010335222,0.955139430899548,-0.19713101033408,0.0276407398146764,0.0123733713987053
13.5,0.028122797892278,0.012464742949915,0.953419979139825,-0.204286767992849,0.953419979138613,-0.204286767991556,0.028006224063207,0.0124910089732406
14,0.0284932499254202,0.0125747861014291,0.951648367410996,-0.211428281037718,0.951648367409798,-0.211428281036294,0.028368443723371,0.0126046270068656
14.5,0.0288610279319842,0.0126803827465887,0.94982459990732,-0.218554619788607,0.949824599906159,-0.218554619787071,0.0287280726091627,0.0127140068875191
15,0.0292267103770105,0.01278133207952,0.947948750263479,-0.225664940998757,0.947948750262376,-0.22566494099713,0.0290856617475811,0.01281891463498
15.5,0.029590769554806,0.0128774205170978,0.946020946201607,-0.232758478187704,0.946020946200576,-0.232758478186003,0.0294416563921016,0.0129191110586646
16,0.029953585853946,0.0129684302938875,0.944041357226956,-0.23983453300684,0.944041357226008,-0.239834533005084,0.0297964108406086,0.0130143591978873
16.5,0.0303154602553248,0.0130541458276117,0.942010184735593,-0.246892467533348,0.942010184734736,-0.246892467531555,0.0301502013055069,0.0131044296963856
17,0.0306766252521709,0.0131343583718355,0.939927654044118,-0.253931697391357,0.939927654043355,-0.253931697389544,0.0305032370739399,0.0131891046073047
17.5,0.0310372543752176,0.0132088693533481,0.937794007961741,-0.260951685607361,0.937794007961076,-0.260951685605542,0.0308556701774732,0.0132681800065793
18,0.031397470493572,0.0132774927001493,0.935609501608113,-0.267951937116573,0.935609501607546,-0.267951937114764,0.0312076037683897,0.0133414677028023
18.5,0.0317573530459325,0.0133400563956843,0.93337439824324,-0.274931993846619,0.933374398242768,-0.274931993844831,0.031559099376805,0.0134087962635092
