"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.0137171006031167,0,0.986304577527335,0,0.986304578196723,0,0.01371773690596,0
0.5,0.0157331524533522,0.00290004123132803,0.984117036933837,-0.0204404210522231,0.984117036927664,-0.0204404210581908,0.0157457893474575,0.00289364004868364
1,0.0186291736173159,0.00364393138550945,0.980728487658736,-0.0387180246534617,0.980728487661405,-0.0387180246518151,0.0186749235148795,0.00362365332815706
1.5,0.0216270926304181,0.00288865629081769,0.976907159229511,-0.0555017679010357,0.97690715923261,-0.0555017678993828,0.0217352806986622,0.00285524920915403
2,0.0241121803773448,0.00110970204798289,0.973284317957076,-0.071205198965469,0.973284317960573,-0.0712051989637539,0.0242912208126995,0.00103537260540509
2.5,0.0260328712520179,-0.00120476385856083,0.969931602714623,-0.0863375900453995,0.969931602718566,-0.0863375900438355,0.0262800914970001,-0.00133037667651248
3,0.0274669469093343,-0.00379440471303027,0.966762882487888,-0.101169569425823,0.966762882492112,-0.101169569424684,0.0277849697029664,-0.00397194184110239
3.5,0.0284990686282391,-0.00652061017030947,0.96368349727607,-0.11583486464002,0.96368349728027,-0.115834864639437,0.0288964525039865,-0.0067498932103045
4,0.0292000122717355,-0.00930521514361926,0.960618445723218,-0.130401232140501,0.96061844572709,-0.130401232140441,0.0296880253316361,-0.00958831757736522
4.5,0.0296264526612346,-0.0121024886827463,0.957511245922175,-0.14490400759653,0.957511245925496,-0.144904007596848,0.0302167744121741,-0.0124437449041093
5,0.0298233063342206,-0.0148855157883085,0.954319219746017,-0.159361246723622,0.954319219748664,-0.159361246724133,0.0305270539633496,-0.0152907603942412
5.5,0.0298259619381649,-0.017638726057748,0.951009798133659,-0.173781069907181,0.951009798135597,-0.173781069907711,0.0306534801437685,-0.0181146316902572
6,0.0296621893310186,-0.0203534417895099,0.947557977005063,-0.188165620146607,0.947557977006317,-0.188165620147008,0.0306231481296854,-0.0209071220690844
6.5,0.029353745876891,-0.0230251309953502,0.943944531096725,-0.202513386359537,0.943944531097359,-0.202513386359708,0.0304573125851603,-0.023663956170584
7,0.0289176970788663,-0.0256516993494484,0.940154707557543,-0.216820637550018,0.940154707557641,-0.216820637549899,0.0301726899454224,-0.0263832418323586
7.5,0.0283674756852473,-0.0282324325732475,0.936177242133746,-0.231082328352008,0.936177242133398,-0.231082328351575,0.0297824740986399,-0.0290644798523778
8,0.0277137141206194,-0.0307673477478223,0.932003606986125,-0.245292674212787,0.932003606985419,-0.245292674212055,0.0292971266974799,-0.0317079445853021
8.5,0.0269648897535191,-0.0332568007820029,0.927627431844189,-0.259445515455585,0.927627431843203,-0.259445515454594,0.0287249892895231,-0.0343143001263357
9,0.0261278209906346,-0.0357012534219801,0.923044057352536,-0.273534545432758,0.923044057351336,-0.273534545431574,0.0280727556626603,-0.0368843660534164
9.5,0.0252080472516288,-0.0381011389959014,0.918250189858491,-0.287553451198407,0.918250189857131,-0.287553451197113,0.0273458356372122,-0.0394189777231437
10,0.0242101198801567,-0.040456788810217,0.91324363410473,-0.301495998101788,0.913243634103246,-0.301495998100483,0.0265486352653868,-0.041918905977429
10.5,0.0233323030553143,-0.0426831757444373,0.907978245826561,-0.315296482967801,0.907978245815695,-0.315296482973127,0.0258950876097152,-0.0442536934628091
11,0.0223712278138183,-0.0448986650085845,0.902519003902743,-0.329007294923233,0.902519003882965,-0.329007294933437,0.0251708553838621,-0.0465926879319367
11.5,0.0213269121064969,-0.0470979793947013,0.896864609147465,-0.342625618326923,0.896864609119351,-0.342625618340533,0.0243745502168145,-0.0489316001347204
12,0.020199830568002,-0.0492759999616965,0.891014261077837,-0.356148334572751,0.891014261042026,-0.356148334588539,0.0235051994617159,-0.0512660968077638
12.5,0.0189908665108801,-0.0514277985416012,0.884967611804961,-0.36957211764349,0.884967611762122,-0.369572117660436,0.0225622289113357,-0.0535918444095784
