"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.0137171022412304,0,0.986304578516865,0,0.986304578924319,0,0.01371773811411,0
0.5,0.0157331520746808,0.00290004275551947,0.984117036602033,-0.0204404195909076,0.984117036592728,-0.0204404195877963,0.0157457890433843,0.00289364150801497
1,0.018629173508355,0.00364393154920784,0.980728487548598,-0.0387180244839955,0.980728487546055,-0.0387180244861307,0.0186749233991437,0.00362365349997962
1.5,0.021627093631325,0.00288865733050336,0.976907159930726,-0.0555017668219442,0.976907159901192,-0.0555017670227276,0.0217352815414316,0.00285525026576394
2,0.0241121822871455,0.00110970250769338,0.97328431957541,-0.0712051981752619,0.973284319409148,-0.0712051984643907,0.0242912225754979,0.00103537321881131
2.5,0.0260328731583941,-0.00120476425330551,0.969931604556391,-0.0863375899854919,0.969931604268097,-0.0863375902467709,0.0262800933690026,-0.00133037686989734
3,0.0274669483096557,-0.00379440559007715,0.966762884022706,-0.101169569914934,0.966762883680482,-0.101169570090281,0.0277849711595661,-0.00397194255722821
3.5,0.0284990694540981,-0.00652061111552893,0.963683498321708,-0.115834865337748,0.963683497994307,-0.11583486542113,0.0288964534214673,-0.00674989406163196
4,0.0292000126587735,-0.00930521590217515,0.960618446320938,-0.130401232779688,0.960618446056364,-0.130401232794418,0.0296880258058023,-0.00958831829764506
4.5,0.0296264527870046,-0.0121024891544228,0.9575112461999,-0.144904008032211,0.957511246022352,-0.144904008011823,0.0302167746031726,-0.0124437453712085
5,0.029823306347065,-0.0148855159718413,0.954319219838139,-0.159361246909431,0.954319219752459,-0.159361246885941,0.0305270540171136,-0.0152907605881101
5.5,0.0298259619386729,-0.0176387260015991,0.951009798147372,-0.173781069858354,0.951009798145202,-0.173781069856507,0.0306534801654184,-0.0181146316473311
6,0.0296621893756671,-0.020353441560192,0.947557977012399,-0.18816561991,0.947557977077647,-0.18816561994526,0.0306231481820223,-0.0209071218498416
6.5,0.0293537459881768,-0.0230251306601126,0.943944531137768,-0.20251338599401,0.943944531250746,-0.202513386072559,0.030457312696289,-0.0236639558402958
7,0.0289176972554719,-0.0256516989681392,0.940154707647143,-0.216820637115175,0.940154707787436,-0.21682063723484,0.0301726901180455,-0.0263832414511724
7.5,0.0283674759102261,-0.0282324321953089,0.936177242268315,-0.231082327902484,0.936177242416644,-0.231082328053946,0.0297824743181966,-0.0290644794710198
8,0.0277137143673635,-0.0307673474119183,0.932003607149309,-0.24529267379586,0.932003607288693,-0.245292673963892,0.0292971269384134,-0.0317079442438979
8.5,0.0269648899898832,-0.0332568005168303,0.92762743201119,-0.259445515110627,0.927627432127634,-0.259445515275194,0.0287249895197928,-0.0343142998547834
9,0.0261278211816795,-0.0357012532475165,0.923044057493232,-0.273534545191587,0.923044057576107,-0.273534545328798,0.0280727558468541,-0.0368843658724201
9.5,0.0252080473613987,-0.0381011389247052,0.91825018993962,-0.28755345108606,0.918250189981852,-0.287553451168962,0.0273458357386236,-0.0394189776454612
10,0.0242101198727921,-0.04045678884862,0.913243634091358,-0.301495998137399,0.913243634089504,-0.301495998136632,0.0265486352473632,-0.0419189060090881
10.5,0.0233228638719551,-0.042470205940333,0.907853560155145,-0.31559788089559,0.907853560153377,-0.315597880894911,0.0258942023178165,-0.0441777189064831
11,0.0223795841062464,-0.0444752113298699,0.902244956979716,-0.329575748144476,0.902244956978024,-0.329575748143891,0.0251791674888659,-0.0464421290176835
11.5,0.0213791254434164,-0.0464699177404575,0.896422126357512,-0.343426983732584,0.896422126355883,-0.343426983732099,0.0244016304310966,-0.048709157954848
