"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.005770478208035,0,0.994248087401502,0,0.994248089773464,0,0.00577048105196809,0
0.5,0.00642459269408135,-0.00116541509476775,0.993479365426612,-0.00973313359601491,0.993479365978889,-0.00973313259868647,0.00642471814070333,-0.00116588941027018
1,0.00693577104569343,-0.00313415902050451,0.99265546115298,-0.018648650927485,0.992655461700492,-0.0186486500230032,0.00693616132292796,-0.00313529286392367
1.5,0.00718282682409743,-0.00526293091305874,0.99191089751119,-0.0273576780028719,0.991910897963827,-0.0273576778175606,0.00718347142968945,-0.00526487879630544
2,0.00723146090646853,-0.00740845159003456,0.991187071203269,-0.0359978523166653,0.991187071408506,-0.03599785234546,0.00723227662396297,-0.00741130011208568
2.5,0.00716371582712672,-0.00952650725962734,0.990412048495138,-0.0446051150735585,0.990412048549536,-0.0446051151197082,0.00716464052929755,-0.00953028404092038
3,0.00702008348667471,-0.0116140415596053,0.989556437867454,-0.0531752212685461,0.989556437860801,-0.0531752212821086,0.00702107683477671,-0.0116187592271082
3.5,0.00682031827469931,-0.0136744679920398,0.988612278608743,-0.061699795842463,0.988612278594453,-0.0616997958261756,0.00682135114647231,-0.013680137516479
4,0.00657500153872026,-0.0157111091131252,0.987580560649218,-0.070173047590524,0.987580560652187,-0.0701730475619549,0.00657604920101829,-0.015717742645446
4.5,0.00629053166042315,-0.0177263445460376,0.986465564211507,-0.0785922525292113,0.986465564238451,-0.0785922525061959,0.00629157015659509,-0.0177339552347826
5,0.00597129232387728,-0.0197217885284369,0.985272320576268,-0.0869570516458982,0.985272320623662,-0.0869570516413232,0.0059722967139022,-0.0197303895399612
5.5,0.0056206413387192,-0.0216985687441857,0.984005489170452,-0.0952686506470384,0.98400548922999,-0.095268650667629,0.00562158498805798,-0.0217081721440104
6,0.00524138376761074,-0.0236575450041041,0.982668914191538,-0.10352915413147,0.982668914253717,-0.10352915417826,0.0052422382642443,-0.0236681607033331
6.5,0.00483600638379966,-0.0255994597766458,0.981265518993232,-0.111741067900943,0.981265519049543,-0.111741067970455,0.00483674185818517,-0.0256110946117083
7,0.00440679565958613,-0.0275250373787568,0.979797365208368,-0.119906952832136,0.979797365252505,-0.119906952917711,0.00440738137716623,-0.0275376943500447
7.5,0.00395589639917648,-0.0294350477465288,0.978265783682228,-0.128029201341355,0.978265783710619,-0.128029201434408,0.0039563015418792,-0.0294487254264331
8,0.00348533919801708,-0.0313303462383026,0.976671526613746,-0.13610990672961,0.976671526625642,-0.136109906820678,0.00348553377544414,-0.0313450383522476
8.5,0.002997051327361,-0.0332118971915456,0.975014914358789,-0.144150799171464,0.975014914356097,-0.144150799251046,0.00299700717197912,-0.0332275923709275
9,0.0024928589270411,-0.0350807863952198,0.973295964401092,-0.152153227007153,0.973295964388045,-0.1521532270663,0.00249255073645738,-0.0350974680972378
9.5,0.00197448490452945,-0.0369382259742128,0.971514498091508,-0.160118166986191,0.971514498074286,-0.160118167016941,0.00197389130040915,-0.0369558725601604
10,0.00144354504644489,-0.0387855541070534,0.969670225186162,-0.168046251542767,0.969670225172502,-0.168046251538401,0.00144264962510349,-0.0388041390676768
