Freq [GHz],L2L_alpha,L2L_beta
0,0,0
0.5,0.414091,0.758
1,0.0602812,0.947
1.5,0.155671,1.23
2,0.348807,1.41
2.5,0.223506,1.46
3,0.475628,1.48
3.5,0.413182,1.8
4,0.204514,1.99
4.5,0.456373,2.31
5,0.373984,2.42
5.5,0.527576,2.68
6,0.360226,3.15
6.5,0.324805,3.23
7,0.388447,3.41
7.5,0.437837,3.68
8,0.493971,3.92
8.5,0.567939,4.34
9,0.432486,4.69
9.5,0.596917,4.79
10,0.441195,5.01
10.5,0.401032,5.28
11,0.630277,5.57
11.5,0.606845,5.87
12,0.759193,5.88
12.5,0.729106,6.12
13,0.73592,6.38
13.5,0.96743,6.71
14,0.811126,7.08
14.5,0.661409,7.11
15,0.536262,7.5
15.5,0.469274,7.73
16,0.709672,7.96
16.5,0.750926,8.28
17,0.814754,8.42
17.5,0.967563,8.61
18,0.744133,8.75
18.5,0.8906,8.93
19,0.831096,9.46
19.5,0.822351,9.69
20,0.871574,9.85
20.5,0.793675,10
21,0.821354,10
21.5,0.950696,10.4
22,0.852299,10.7
22.5,0.839544,10.9
23,0.785609,11.1
23.5,0.597719,11.1
24,0.830283,11.4
24.5,0.752664,11.9
25,0.795631,12.1
25.5,0.948423,12.5
26,0.788505,12.5
26.5,0.861956,12.5
27,0.859378,12.8
27.5,0.838606,12.9
28,0.82806,13.4
28.5,0.68637,13.5
29,0.735669,13.7
29.5,0.822316,14
30,0.611002,14.2
30.5,0.863102,14.4
31,0.667316,14.8
31.5,0.751443,15
32,0.92652,15.4
32.5,0.824181,15.6
33,0.858361,15.7
33.5,0.827512,15.9
34,0.987987,15.9
34.5,1.15248,16.3
35,0.941919,16.7
35.5,0.9857,16.9
36,0.894104,17.2
36.5,0.790901,17.1
37,0.872513,17.4
37.5,0.899744,17.7
38,0.788716,17.9
38.5,0.834697,18.3
39,0.909025,18.5
39.5,1.00096,18.7
40,1.12937,19
40.5,1.0187,19.2
41,1.03267,19.4
41.5,0.831371,19.5
42,1.04552,19.8
42.5,1.03931,20.2
43,0.964757,20.4
43.5,0.960781,20.7
44,0.878551,20.6
44.5,1.04955,20.7
45,1.1136,21.1
45.5,1.20999,21.6
46,1.32661,22
46.5,0.953243,22.1
47,1.01602,22
47.5,1.08469,22.2
48,1.10083,22.3
48.5,1.12861,22.5
49,0.959744,22.9
49.5,0.894898,22.8
50,1.21219,22.8
50.5,1.14944,23.1
51,1.0215,23.6
51.5,1.10593,23.9
52,1.1916,24.2
52.5,1.10031,24.6
53,1.01752,25
53.5,1.06725,25.1
54,0.966943,25.3
54.5,0.907038,25.3
55,0.834248,25.5
55.5,0.865955,25.6
56,1.22102,25.9
56.5,1.37013,26.2
57,1.05189,26.6
57.5,1.15083,26.8
58,1.23972,26.9
58.5,1.24497,27.3
59,1.20512,27.8
59.5,1.3776,28
60,1.21859,28.4
60.5,0.973624,28.4
61,1.26208,28.2
61.5,1.35031,28.3
62,1.23684,28.6
62.5,1.52508,29
63,1.62756,29.4
63.5,1.66269,29.9
64,1.8099,30.1
64.5,1.61235,30.4
65,1.68663,30.6
65.5,1.78109,31
66,1.47093,31.3
66.5,1.39834,31.1
67,1.46384,30.9
67.5,1.50996,30.8
68,1.44736,30.8
68.5,1.75263,30.9
69,2.10785,31.3
69.5,1.97252,31.8
70,1.70841,32
70.5,1.81956,32
71,1.8775,32.6
71.5,1.6499,33.2
72,1.50983,33.3
72.5,1.36213,33.3
73,1.55044,33.4
73.5,1.65747,33.4
74,1.85764,33.6
74.5,2.23158,34.1
75,2.42367,34.5
75.5,2.1463,34.9
76,2.03129,35.1
76.5,2.08026,35.3
77,1.95182,35.5
77.5,1.9401,35.8
78,2.20178,35.8
78.5,2.26542,35.8
79,2.3219,36
79.5,2.19163,36.3
80,2.18872,36.5
80.5,2.44308,36.9
81,2.56158,37.3
81.5,2.55156,37.8
82,2.06701,37.8
82.5,2.10014,37.9
83,2.3757,38.1
83.5,2.49032,38.4
84,2.41276,38.6
84.5,2.50667,38.6
85,2.58453,38.9
85.5,2.82014,39.1
86,2.93091,39.5
86.5,2.90308,39.9
87,2.7089,40.1
87.5,2.38923,40.2
88,2.28647,40.1
88.5,2.50331,40.2
89,2.81018,40.6
89.5,2.89022,40.9
90,2.76243,41.2
90.5,2.68911,41.3
91,2.82561,41.6
91.5,2.82617,41.8
92,2.95841,42.1
92.5,3.21094,42.7
93,3.11041,43.2
93.5,2.79051,43.4
94,2.51853,43
94.5,2.6046,42.8
95,3.10992,43.2
95.5,3.47283,43.7
96,3.50498,44.1
96.5,3.28023,44.4
97,2.90822,44.6
97.5,2.64343,44.5
98,2.83124,44.6
98.5,3.1077,45.1
99,3.20128,45.5
99.5,3.04122,45.7
100,3.08819,45.5
