Header: 
Footer: 
Point prm/cv           freq     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.
    0   0/ 0  2.500000E+008  2.076463E-003  1.486065E-003  9.978082E-001 -3.727818E-003  9.978293E-001 -3.756326E-003  2.088300E-003  1.331583E-003
    1   1/ 0  5.000000E+008  3.091147E-003  2.066370E-003  9.969350E-001 -6.829542E-003  9.969522E-001 -6.863528E-003  3.092143E-003  2.040929E-003
    2   2/ 0  7.500000E+008  3.909773E-003  2.278592E-003  9.961370E-001 -9.566062E-003  9.962131E-001 -9.490230E-003  3.934636E-003  2.325397E-003
    3   3/ 0  1.000000E+009  4.446613E-003  2.214583E-003  9.954429E-001 -1.201450E-002  9.955639E-001 -1.199840E-002  4.437239E-003  2.306610E-003
    4   4/ 0  1.250000E+009  4.901694E-003  2.312129E-003  9.949478E-001 -1.443891E-002  9.949771E-001 -1.445034E-002  4.974775E-003  2.349179E-003
    5   5/ 0  1.500000E+009  5.383783E-003  2.220578E-003  9.944684E-001 -1.679111E-002  9.944899E-001 -1.679833E-002  5.471759E-003  2.238502E-003
    6   6/ 0  1.750000E+009  5.836775E-003  2.179195E-003  9.940494E-001 -1.915016E-002  9.940693E-001 -1.910342E-002  5.950843E-003  2.109431E-003
    7   7/ 0  2.000000E+009  6.170829E-003  1.985452E-003  9.935919E-001 -2.143204E-002  9.937000E-001 -2.142039E-002  6.238826E-003  1.989758E-003
    8   8/ 0  2.250000E+009  6.546962E-003  1.905863E-003  9.931221E-001 -2.367374E-002  9.932830E-001 -2.369357E-002  6.610908E-003  1.877033E-003
    9   9/ 0  2.500000E+009  6.872698E-003  1.704522E-003  9.927998E-001 -2.596699E-002  9.928633E-001 -2.594230E-002  6.915208E-003  1.673272E-003
   10  10/ 0  2.750000E+009  7.191546E-003  1.569423E-003  9.924688E-001 -2.820655E-002  9.924930E-001 -2.821097E-002  7.241912E-003  1.547212E-003
   11  11/ 0  3.000000E+009  7.502916E-003  1.320095E-003  9.921790E-001 -3.050018E-002  9.921276E-001 -3.050822E-002  7.496704E-003  1.331325E-003
   12  12/ 0  3.250000E+009  7.722736E-003  1.114078E-003  9.917855E-001 -3.273273E-002  9.917656E-001 -3.276722E-002  7.726435E-003  1.116108E-003
   13  13/ 0  3.500000E+009  7.957583E-003  9.030908E-004  9.914526E-001 -3.497880E-002  9.914511E-001 -3.494734E-002  7.928749E-003  8.380548E-004
   14  14/ 0  3.750000E+009  8.208868E-003  6.409919E-004  9.911224E-001 -3.718745E-002  9.911044E-001 -3.720375E-002  8.190804E-003  6.480596E-004
   15  15/ 0  4.000000E+009  8.374650E-003  4.506388E-004  9.907184E-001 -3.941466E-002  9.907266E-001 -3.930747E-002  8.358094E-003  4.951253E-004
   16  16/ 0  4.250000E+009  8.628481E-003  1.679691E-004  9.904263E-001 -4.155420E-002  9.904395E-001 -4.154288E-002  8.634257E-003  1.766680E-004
