"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00476082457026905,0,0.995256106805755,0,0.995256109177717,0,0.00476082011357448,0
0.5,0.00534993948760842,-0.00131699977996291,0.994556463431032,-0.00865288887507631,0.994556463173687,-0.00865288935364816,0.00534979877009079,-0.00131580565429701
1,0.00582125400133293,-0.00337923090502557,0.993787358384548,-0.0165438251935512,0.993787358421599,-0.0165438251681636,0.00582099046715712,-0.00337661847645876
1.5,0.00589862679885123,-0.0056897398932918,0.99306988275816,-0.0245050927704717,0.993069882809756,-0.0245050927506227,0.00589881281823601,-0.00568558569891309
2,0.00584679979188607,-0.00790154031102297,0.992269665071476,-0.0322524693526542,0.992269665129617,-0.0322524693443995,0.00584721219195572,-0.00789606246670971
2.5,0.00573134659086083,-0.010059931794089,0.991448080013051,-0.0398407678480108,0.991448080070278,-0.0398407678514108,0.00573189472202085,-0.0100531659862639
3,0.00557114393203673,-0.0121850135583212,0.990623556221797,-0.0473228003020605,0.990623556273557,-0.0473228003143813,0.00557179055602308,-0.0121769630506243
3.5,0.00537331434566424,-0.0142859047573562,0.989792162834972,-0.0547357328438594,0.989792162879345,-0.0547357328619089,0.00537404432701338,-0.0142765662556084
4,0.00514119095018861,-0.0163668660963605,0.988941951155606,-0.0621017060962945,0.98894195119237,-0.0621017061174562,0.00514199939782234,-0.0163562352535198
4.5,0.00487666662777109,-0.0184298170542512,0.988059926665604,-0.0694322676825632,0.988059926695442,-0.0694322677050092,0.00487755393726719,-0.0184178897284237
5,0.00458102647345982,-0.0204754600451125,0.987134641814151,-0.0767324063028045,0.987134641838166,-0.0767324063254211,0.00458199604520182,-0.0204622325408259
5.5,0.00425528495597272,-0.022503827295175,0.986156792102811,-0.0840033236979094,0.986156792122262,-0.0840033237201236,0.00425634205733427,-0.0224892963561221
6,0.00390033668503387,-0.0245145674941494,0.985119065267443,-0.0912441428605524,0.985119065283617,-0.091244142882184,0.00390148784463995,-0.0244987302480197
6.5,0.00351702887881011,-0.0265071059016959,0.984015786647783,-0.098452908881371,0.984015786661934,-0.0984529089024901,0.00351828154594824,-0.0264899598096386
7,0.00310619791417621,-0.0284807387630881,0.982842564384595,-0.105627160166076,0.982842564397937,-0.105627160186931,0.00310756025792591,-0.0284622815850595
