"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00593922371257349,0,0.994075810798677,0,0.99407581644482,0,0.00593922869245489,0
0.5,0.00652443837774896,-1.68302542462584E-005,0.993441935871491,-0.00688485363090052,0.993441936245819,-0.0068848523829157,0.00652464564983646,-1.74160745523011E-005
1,0.00701658212902601,-0.000738806115002433,0.992833955986576,-0.0130615696240568,0.99283395607997,-0.013061569587137,0.0070171556020604,-0.000740239453307368
1.5,0.0073406623927923,-0.00156715482598457,0.992301378487314,-0.0192453769451149,0.992301378595329,-0.0192453769366772,0.0073417845421897,-0.00156922354694089
2,0.0075257338157666,-0.00245029943151032,0.991794136957246,-0.0252785105787812,0.99179413705585,-0.0252785105954754,0.00752745927328924,-0.00245333488265231
2.5,0.00762882368475459,-0.00333151552111488,0.991324030336628,-0.0312380180895264,0.991324030415602,-0.0312380181195717,0.00763108971003579,-0.00333567287623104
3,0.00768545676092725,-0.00419986729249544,0.990873870184516,-0.0371657917038561,0.990873870242426,-0.0371657917374701,0.00768821606599435,-0.00420520847814032
3.5,0.0077144302799077,-0.00505602490645884,0.99042406551545,-0.0430800632693629,0.990424065554371,-0.0430800633005077,0.00771766566931209,-0.00506257677171895
4,0.00772572102930846,-0.00590287087416996,0.989959393364764,-0.0489871726157673,0.989959393387632,-0.0489871726413025,0.00772943805174764,-0.00591064983143497
4.5,0.00772483474385277,-0.00674322554945661,0.989469177663606,-0.0548881221579833,0.989469177673259,-0.0548881221766191,0.00772905398933643,-0.0067522470966459
5,0.00771494525075145,-0.0075794164258447,0.988946124532287,-0.0607816830902941,0.988946124531187,-0.0607816831018564,0.00771969708859865,-0.0075896987288111
5.5,0.00769795488016278,-0.00841329504802868,0.988385233983276,-0.0666657839579914,0.988385233973503,-0.0666657839629687,0.00770327615749067,-0.00842486023728561
6,0.00767503987277762,-0.00924633865350177,0.98778302226311,-0.0725381132606531,0.987783022246429,-0.0725381132599114,0.00768097187096184,-0.00925921324760548
6.5,0.00764694319079817,-0.0100797471927265,0.987137008000677,-0.078396372024792,0.98713700797862,-0.0783963720194301,0.00765353034993144,-0.0100939622001173
7,0.00761413841542447,-0.0109145189030082,0.986445380478344,-0.0842383721112512,0.986445380452284,-0.0842383721024893,0.00762142752621497,-0.0109301098207366
7.5,0.00757692506670116,-0.0117515057346891,0.985706785890594,-0.0900620674167145,0.985706785861795,-0.0900620674058468,0.00758496475060877,-0.0117685125303408
8,0.00753548596996934,-0.0125914533027389,0.984920188657329,-0.0958655567966122,0.984920188626995,-0.0958655567849673,0.00754432634040469,-0.0126099204124017
8.5,0.00748992283562921,-0.0134350296808163,0.984084780490435,-0.101647075971445,0.984084780459738,-0.101647075960359,0.00749961527513177,-0.01345500603425
9,0.00744027890803656,-0.0142828463164655,0.983199920097435,-0.107404985984077,0.983199920067535,-0.107404985974879,0.00745087592114224,-0.0143043853920135
9.5,0.00738655370234048,-0.0151354734038307,0.982265092772774,-0.113137761396538,0.982265092744839,-0.113137761390536,0.00739810881860792,-0.0151586333123772
10,0.00732871276296232,-0.0159934513418261,0.981279883063235,-0.118843979443812,0.981279883038451,-0.118843979442283,0.00734128047364335,-0.0160182949382355
10.5,0.00726504428404035,-0.0168348676698118,0.980307775173729,-0.124600019683604,0.980307775148748,-0.124600019681207,0.00727802397069544,-0.016860384937857
11,0.00719484243386148,-0.0176810823641107,0.979301267798638,-0.130336422383297,0.979301267773545,-0.13033642238001,0.00720833523470221,-0.0177072495246264
11.5,0.0071177398287075,-0.018532058086727,0.978261267459621,-0.136053467091734,0.978261267434501,-0.13605346708755,0.00713185060091212,-0.0185588601064763
12,0.00703337470365739,-0.0193877331962611,0.97718860048106,-0.1417514736253,0.977188600455996,-0.141751473620217,0.00704821102032269,-0.0194151640974756
12.5,0.00694139253669188,-0.0202480227734165,0.976084014497604,-0.147430791931943,0.976084014472677,-0.147430791925969,0.00695706367342538,-0.0202760858184021
13,0.00684144753112399,-0.0211128197475774,0.974948180950004,-0.153091792901554,0.974948180925291,-0.153091792894704,0.0068580634579038,-0.0211415275014599
13.5,0.00673320395255736,-0.0219819961065628,0.973781698362414,-0.158734860159031,0.973781698337988,-0.158734860151329,0.00675087434541959,-0.0220113703831735
14,0.00661633731871931,-0.0228554041722759,0.972585096211008,-0.164360382844099,0.972585096186936,-0.164360382835573,0.0066351706045402,-0.0228854758697743
14.5,0.00649053544241805,-0.0237328779255104,0.971358839213335,-0.169968749355951,0.971358839189681,-0.169968749346635,0.00651063788865002,-0.0237636867597484
15,0.00635549932965038,-0.0246142343641869,0.970103331888861,-0.175560342020906,0.970103331865683,-0.17556034201084,0.00637697418931364,-0.0246458285089006
15.5,0.00621094393641194,-0.0254992748802692,0.968818923262502,-0.181135532626708,0.968818923239852,-0.181135532615934,0.00623389065704426,-0.0255317105240618
16,0.00605659878906234,-0.0263877866417364,0.967505911603742,-0.186694678757276,0.967505911581666,-0.186694678745839,0.0060811122927274,-0.0264211274723944
16.5,0.00589220847425803,-0.0272795439673073,0.966164549113484,-0.192238120855956,0.966164549092023,-0.192238120843905,0.00591837851407101,-0.0273138605943242
17,0.00571753300531222,-0.0281743096827962,0.964795046488811,-0.197766179942811,0.964795046468002,-0.197766179930193,0.0057454436024173,-0.0282096790091515
17.5,0.00553234807260466,-0.0290718364493348,0.963397577311849,-0.203279155911586,0.963397577291721,-0.203279155898453,0.00556207703601821,-0.0291083410034547
18,0.0053364451861303,-0.0299718680549605,0.961972282223072,-0.208777326334114,0.961972282203651,-0.208777326320517,0.00536806371649745,-0.0300095952935484
18.5,0.00512963171865491,-0.0308741406624033,0.960519272851514,-0.214260945703511,0.96051927283282,-0.2142609456895,0.00516320409567572,-0.0309131822544169
19,0.00491173085812935,-0.0317783840069592,0.959038635484552,-0.219730245051989,0.959038635466602,-0.219730245037617,0.00494731421026207,-0.0318188351084761
19.5,0.00468258147803896,-0.0326843225397382,0.957530434468376,-0.225185431884446,0.957530434451181,-0.225185431869761,0.00472022563206645,-0.0327262810687734
20,0.00444203793433601,-0.0335916765123936,0.955994715337113,-0.230626690374324,0.955994715320681,-0.230626690359376,0.0044817853415009,-0.0336352424320521
20.5,0.00418996979737252,-0.0345001630006654,0.954431507673951,-0.236054181773954,0.954431507658287,-0.23605418175879,0.0042318555320443,-0.0345454376181902
21,0.00392626152702336,-0.0354094968648488,0.952840827711774,-0.241468044996973,0.952840827696878,-0.24146804498164,0.00397031335324777,-0.0354565821533086
21.5,0.00365081209883678,-0.0363193916461872,0.95122268068392,-0.246868397335711,0.951222680669788,-0.246868397320254,0.00369705059964143,-0.0363683895947218
22,0.00336353458865418,-0.0372295603988895,0.949577062937827,-0.25225533528129,0.949577062924454,-0.252255335265752,0.00341197335262988,-0.0372805723965617
22.5,0.00306435572270591,-0.0381397164581556,0.94790396382583,-0.257628935418826,0.947903963813209,-0.257628935403249,0.00311500158214056,-0.0381928427156581
23,0.00275321539971851,-0.039049574145158,0.946203367388143,-0.262989255374186,0.946203367376262,-0.262989255358608,0.00280606871442446,-0.039104913157789
23.5,0.00243006619109543,-0.039958849410314,0.944475253843471,-0.268336334792473,0.94447525383232,-0.26833633477693,0.00248512117203614,-0.0400164974648893
24,0.0020948728247232,-0.0408672604167557,0.942719600902638,-0.273670196331823,0.9427196008922,-0.273670196316352,0.00215211789156772,-0.0409273111443813
