"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00548184982295652,0,0.994531840726268,0,0.994531841861317,0,0.00548184583510647,0
0.5,0.0060599077765815,0.000283822034624848,0.993918305714956,-0.00566629917807759,0.993918305677354,-0.00566629915271477,0.00605979377615995,0.00028403784037323
1,0.00656303401595792,-0.000139408053257739,0.993339772867539,-0.0106226719780764,0.993339772859024,-0.0106226719818139,0.00656273089402148,-0.000138858702197098
1.5,0.00686515223992146,-0.000698413776405005,0.992913606527518,-0.0154365902816664,0.992913606521411,-0.0154365902835814,0.00686456905480526,-0.000697505818862965
2,0.00703608861911498,-0.00127619470988805,0.992578662688794,-0.0202160361522985,0.992578662684378,-0.0202160361554,0.0070352228017061,-0.00127484515062548
2.5,0.00714446257220303,-0.00184092449195639,0.992268555760948,-0.0249964265953189,0.992268555756816,-0.0249964265999463,0.00714330845112698,-0.00183910440680535
3,0.00722169986781207,-0.00239294793116329,0.991952293707262,-0.0297775856225613,0.991952293702695,-0.0297775856280378,0.00722023638643332,-0.00239064271829648
3.5,0.00728167804686475,-0.00293662944176099,0.9916170212169,-0.0345542279155939,0.991617021211843,-0.0345542279210491,0.00727987570261135,-0.00293382527312147
4,0.007330807230713,-0.00347551906670951,0.99125791943156,-0.0393218719448356,0.991257919426364,-0.0393218719495483,0.00732863381097371,-0.00347219984729819
4.5,0.00737224988929208,-0.00401196213843669,0.990873701248114,-0.0440775830230908,0.990873701243344,-0.0440775830265956,0.00736967361465135,-0.00400810977308197
5,0.00740770387247869,-0.00454741598064956,0.990464591618021,-0.0488197292119743,0.990464591614277,-0.0488197292140828,0.00740469474505634,-0.0045430114713767
5.5,0.00743818273988595,-0.00508277369494259,0.990031385379986,-0.0535476187426145,0.990031385377791,-0.0535476187433819,0.00743471283359121,-0.00507779821619359
6,0.00746436684022989,-0.00561859307678603,0.989574999041553,-0.0582611893868101,0.989574999041253,-0.0582611893864726,0.00746041003630271,-0.0056130287638414
6.5,0.00748676380873259,-0.00615524211105623,0.989096263692798,-0.0629607711721638,0.989096263694522,-0.0629607711710483,0.00748229529365063,-0.00614907252818142
7,0.00750578258184853,-0.00669298674021945,0.98859584097785,-0.0676469135869855,0.988595840981486,-0.0676469135854614,0.00750077829184947,-0.00668619708200868
7.5,0.00752176791899806,-0.00723204185464343,0.988074202648532,-0.0723202641409522,0.988074202653731,-0.0723202641393605,0.00751620402656683,-0.00722461895614224
8,0.00753501702281811,-0.0077725998511049,0.987531641926098,-0.0769814862700891,0.987531641932281,-0.0769814862686857,0.00752886950502374,-0.00776453207669103
8.5,0.00754578819639973,-0.00831484593521736,0.986968299138672,-0.0816312065900302,0.986968299145063,-0.0816312065889511,0.00753903249346755,-0.00830612300079725
9,0.00755430604928231,-0.00885896581919088,0.986384191946419,-0.0862699834736782,0.986384191952066,-0.0862699834728966,0.00754691680588881,-0.00884957858595747
9.5,0.00756076523749305,-0.00940514920227908,0.985779244982661,-0.0908982906767521,0.985779244986472,-0.0908982906760727,0.00755271611286146,-0.0093950894666408
10,0.00756533356432332,-0.00995359101646365,0.985153316383287,-0.0955165112238419,0.985153316384057,-0.0955165112228809,0.0075565970959538,-0.00994285131047512
10.5,0.00757344077318034,-0.0104881787616211,0.98449395897669,-0.100169887736207,0.98449395897768,-0.100169887735546,0.00756408959977894,-0.0104769183440494
11,0.00757938652847429,-0.0110272451050841,0.983810770867197,-0.10480959541058,0.983810770868379,-0.104809595410238,0.00756938233558851,-0.0110154607052229
11.5,0.00758288965472365,-0.0115708147770954,0.983104446141233,-0.109435727255977,0.983104446142578,-0.109435727255971,0.00757219363819123,-0.0115585019742568
12,0.00758367164499529,-0.0121188948641242,0.98237563752737,-0.114048416343922,0.982375637528846,-0.114048416344263,0.0075722445995034,-0.012106048039068
12.5,0.00758145782235814,-0.0126714754650674,0.981624955068801,-0.118647830090207,0.981624955070381,-0.118647830090913,0.00756926023305543,-0.0126580877617553
13,0.00757597840771274,-0.01322853042047,0.980852965466529,-0.123234164759396,0.980852965468179,-0.123234164760467,0.0075629705435889,-0.0132145937180832
13.5,0.00756696949088495,-0.0137900181028821,0.980060192017202,-0.127807640254205,0.980060192018894,-0.127807640255647,0.00755311149872132,-0.0137755229979923
14,0.00755417390338489,-0.0143558822567602,0.97924711506806,-0.132368495236501,0.979247115069763,-0.132368495238316,0.00753942590112749,-0.0143408180552678
