"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00406433265129635,0,0.995948560157558,0,0.995948553172639,0,0.00406432813804258,0
0.5,0.00451733914061947,0.000234414703381702,0.995467365640266,-0.00438063622729246,0.995467366349118,-0.00438063667139588,0.00451734429292827,0.000234278268401056
1,0.00495391272181678,-0.000101547840060334,0.994978661586448,-0.00818894526467062,0.99497866136684,-0.00818894491153088,0.00495392162793351,-0.000101841797768287
1.5,0.00524661323694531,-0.000550086627072233,0.994594903656242,-0.0119989141646535,0.99459490359769,-0.0119989138666625,0.00524659317109055,-0.000550545591917029
2,0.00542209180916764,-0.0010482861551715,0.994252716151653,-0.015683276488339,0.994252716164279,-0.0156832762786543,0.00542203732748625,-0.00104888615633669
2.5,0.00552907409950976,-0.00154567080552681,0.993962650233826,-0.0193056322837855,0.993962650263219,-0.0193056321476952,0.00552899058922307,-0.00154640039470877
3,0.00559852531872096,-0.00203206656247801,0.993710555095419,-0.0229014285481206,0.99371055511754,-0.0229014284632676,0.00559841792739491,-0.00203292165765134
3.5,0.00564699700901183,-0.00250776817706821,0.993479718172916,-0.0264867284891182,0.993479718179731,-0.0264867284377139,0.00564686899371214,-0.002508747779423
4,0.00568334052156683,-0.00297515905406165,0.993256789884989,-0.0300677637343512,0.993256789875557,-0.0300677637043503,0.00568319358383995,-0.00297626334201162
4.5,0.00571247969362343,-0.00343663431291397,0.99303212275789,-0.0336463639555369,0.993032122734062,-0.0336463639392282,0.00571231447174636,-0.0034378638784478
5,0.00573728431506115,-0.00389418654437179,0.992798899172725,-0.0372225559316277,0.99279889913729,-0.0372225559241262,0.00573710074234768,-0.00389554209473353
5.5,0.0057595040835432,-0.00434940499416214,0.99255227337911,-0.0407957256605442,0.992552273335028,-0.040795725658727,0.0057593016189954,-0.00435088723891575
6,0.00578025078950484,-0.0048035579451593,0.99228874775064,-0.0443651141024901,0.99228874770073,-0.0443651141042842,0.00578002856219495,-0.00480516755727756
6.5,0.00580025792981376,-0.00525767487302531,0.992005755591288,-0.047930013466015,0.992005755538123,-0.0479300134699798,0.00580001482922032,-0.00525941247945916
7,0.00582002639486756,-0.00571261149481472,0.99170138756222,-0.0514898313364132,0.991701387508106,-0.0514898313414562,0.00581976112775129,-0.00571447767817546
7.5,0.0058399094292616,-0.00616909793510345,0.991374210945079,-0.0550440982865883,0.991374210892053,-0.055044098291825,0.00583962055556442,-0.00617109323898291
8,0.00586016394105537,-0.00662777370165379,0.991023147659085,-0.0585924531902347,0.991023147608935,-0.0585924531948869,0.00585984989645394,-0.00662989863648988
8.5,0.00588098248187019,-0.00708921307124477,0.990647389549131,-0.0621346216359324,0.990647389503404,-0.0621346216392737,0.00588064159156154,-0.00709146811953509
9,0.00590251375578754,-0.00755394367439344,0.990246337695541,-0.0656703941808434,0.990246337655577,-0.0656703941821828,0.00590214424241764,-0.00755632929487327
9.5,0.00592487611656911,-0.00802246028748677,0.989819557597997,-0.0691996071576089,0.989819557564937,-0.0691996071562766,0.0059244761040842,-0.00802497691820836
10,0.00594816666338582,-0.00849523524177265,0.989366745181451,-0.0727221268771991,0.989366745156268,-0.0727221268725398,0.00594773417797567,-0.00849788330213297
10.5,0.00596852334335196,-0.00895217633599898,0.988941161776299,-0.0762558607058574,0.988941161751235,-0.0762558607007229,0.00596807968024737,-0.00895500561181528
11,0.00598761900239542,-0.00941292254573334,0.988502868356387,-0.0797795681762237,0.988502868331482,-0.0797795681706122,0.00598715663721194,-0.00941593549328967
11.5,0.00600522136110948,-0.00987747727202049,0.988052383048003,-0.0832935416084712,0.988052383023295,-0.083293541602397,0.00600473236512666,-0.00988067567128059
12,0.00602110320682736,-0.010345829126309,0.987590170473409,-0.0867980942050162,0.987590170448935,-0.0867980941984863,0.00602057931616717,-0.0103492140491603
12.5,0.00603504333294258,-0.0108179528104362,0.987116643381692,-0.0902935535953313,0.987116643357483,-0.09029355358836,0.00603447601874074,-0.0108215245973531
13,0.00604682736024331,-0.0112938100433739,0.986632164858715,-0.0937802560823204,0.986632164834805,-0.0937802560749272,0.00604620789880583,-0.0112975682881507
13.5,0.00605624844146374,-0.0117733505200928,0.986137050973392,-0.0972585415956573,0.98613705094981,-0.09725854158786,0.00605556798346779,-0.0117772940622602
14,0.0060631078517483,-0.012256512889242,0.985631573732332,-0.100728749337369,0.985631573709106,-0.100728749329193,0.00606235748969075,-0.0122606398137499
14.5,0.00606721546917366,-0.012743225737287,0.985115964231132,-0.104191214089099,0.985115964208282,-0.10419121408056,0.00606638630233669,-0.0127475333808107
