"Freq [GHz]","re(St(P1,P1)) []","im(St(P1,P1)) []","re(St(P1,P2)) []","im(St(P1,P2)) []","re(St(P2,P1)) []","im(St(P2,P1)) []","re(St(P2,P2)) []","im(St(P2,P2)) []"
0,0.00387816101306271,0,0.996135137684178,0,0.996135134875658,0,0.00387815493911603,0
0.5,0.00433902627778338,0.000158170702444949,0.99564440560389,-0.00441348706782918,0.995644405688637,-0.00441348695082411,0.00433886770116487,0.000158644600780633
1,0.00477715702617942,-0.000262899940494776,0.995148584880145,-0.00824608023663842,0.995148584845513,-0.00824608008934291,0.00477673846540583,-0.000261739417908302
1.5,0.00506338656770566,-0.000803384955744946,0.994763063531224,-0.0120932039760469,0.994763063571199,-0.012093203864719,0.00506263711889687,-0.000801554248489822
2,0.00522896047557886,-0.00138600942792877,0.994412297681025,-0.015810192594401,0.99441229775065,-0.015810192533749,0.00522791312141813,-0.00138333301315541
2.5,0.00532672321703487,-0.00196390845760774,0.994111445304714,-0.01945879556013,0.99411144537655,-0.0194587955403129,0.00532544717746219,-0.00196031849650069
3,0.00538789247290694,-0.00252915449031832,0.993848920252805,-0.0230757273078588,0.993848920315211,-0.0230757273151099,0.00538643682134143,-0.00252463193765351
3.5,0.00542859234583304,-0.00308298956687381,0.993608709315462,-0.0266786933884617,0.993608709365162,-0.0266786934117711,0.00542698557598253,-0.00307753227157193
4,0.00545727568930143,-0.0036281506293605,0.993377303370735,-0.0302751650669428,0.993377303408011,-0.0302751650987414,0.00545553242366736,-0.00362176115953616
4.5,0.00547858325938932,-0.00416714140641794,0.99314463647693,-0.033867802829354,0.993144636503288,-0.0338678028647372,0.0054767094012238,-0.00415982276415683
5,0.00549519307416801,-0.00470196265060885,0.992903467281757,-0.0374571898236464,0.992903467298925,-0.0374571898594755,0.00549318902514795,-0.0046937168613379
5.5,0.00550872346388687,-0.0052341700255365,0.992648606383487,-0.0410431019831936,0.992648606393062,-0.0410431020174933,0.0055065860574941,-0.00522499775584073
6,0.00552019308070539,-0.00576498060433295,0.992376309344746,-0.0446250685213929,0.99237630934808,-0.0446250685529197,0.00551791674876423,-0.0057548811369319
6.5,0.00553026626856701,-0.00629536497996952,0.99208385121483,-0.0482026030026343,0.99208385121303,-0.0482026030306262,0.00552784375698234,-0.00628433630012815
7,0.00553938981336488,-0.00682611631225072,0.991769237062218,-0.0517752854358235,0.99176923705617,-0.0517752854598292,0.00553681262954475,-0.00681415521612827
7.5,0.00554787226672859,-0.00735789992588209,0.991431004447696,-0.0553427794469243,0.991431004438113,-0.055342779466681,0.00554513096373421,-0.00734500212004008
8,0.00555593163936763,-0.00789128859448063,0.991068086237771,-0.0589048233788425,0.991068086225223,-0.0589048233942435,0.00555301599815627,-0.00787744877786345
8.5,0.00556372500887981,-0.00842678774069761,0.99067971307949,-0.0624612130097937,0.990679713064437,-0.0624612130208035,0.00556062415527547,-0.0084119996682972
9,0.00557136743156117,-0.00896485361956856,0.990265342404374,-0.0660117836292411,0.990265342387193,-0.0660117836358847,0.00556806991026559,-0.00894911014980515
9.5,0.00557894433298767,-0.00950590661630368,0.989824605639512,-0.0695563945274538,0.989824605620514,-0.0695563945298066,0.00557543815261585,-0.00948919974459805
10,0.00558651981196401,-0.0100503411202553,0.989357268278067,-0.073094916782904,0.989357268257514,-0.0730949167810548,0.00558279246994808,-0.0100326620011639
10.5,0.0055933926070828,-0.0105834620351901,0.988919916644283,-0.0766385883916563,0.988919916623645,-0.0766385883891259,0.00558953791627181,-0.0105648989131391
11,0.00559840286931057,-0.0111201712201652,0.988470137643359,-0.0801716853604333,0.988470137622704,-0.0801716853572128,0.00559441466854393,-0.0111007250640665
11.5,0.00560132554453163,-0.0116604649908876,0.988008469253563,-0.0836945631099475,0.988008469232957,-0.0836945631060404,0.00559719754189525,-0.0116401369595502
12,0.00560194076764409,-0.0122043252880113,0.987535388184245,-0.0872075955166567,0.987535388163751,-0.0872075955120719,0.00559766651664184,-0.0121831167293474
12.5,0.00560003477158921,-0.0127517205599288,0.987051312425871,-0.0907111677636756,0.987051312405548,-0.0907111677584265,0.00559560764794143,-0.012729633007841
13,0.00559540067853737,-0.0133026066892841,0.98655660437977,-0.0942056700795222,0.986556604359674,-0.0942056700736282,0.00559081385786553,-0.0132796418583672
13.5,0.00558783917470346,-0.013856927948912,0.986051574397975,-0.097691492349643,0.986051574378157,-0.0976914923431282,0.00558308561135568,-0.0138330877271589
14,0.00557715907190071,-0.0144146179737854,0.985536484585143,-0.101169019563321,0.985536484565653,-0.101169019556217,0.00557223147911184,-0.0143899044134823
14.5,0.00556317776020937,-0.0149756007368742,0.985011552736622,-0.104638628043063,0.985011552717501,-0.104638628035396,0.005558068591758,-0.0149500160438976
15,0.00554572155728228,-0.0155397915179112,0.984476956308348,-0.108100682392775,0.984476956289634,-0.108100682384584,0.00554042299078711,-0.0155133380396775
15.5,0.00552462596066045,-0.016107097855512,0.983932836334572,-0.111555533095263,0.9839328363163,-0.111555533086583,0.00551912988259839,-0.0160797780677582
16,0.00549973581010743,-0.0166774204742648,0.983379301227842,-0.115003514687053,0.98337930121004,-0.115003514677921,0.00549403380260816,-0.0166492369669404
16.5,0.00547090536742303,-0.0172506541798025,0.982816430412086,-0.118444944439104,0.982816430394779,-0.118444944429561,0.00546498869687587,-0.0172216096422471
17,0.00543799832142217,-0.0178266887160552,0.982244277753738,-0.12188012147447,0.982244277736947,-0.121880121464555,0.00543185792889267,-0.0177967859216883
17.5,0.00540088772590738,-0.0184054095801161,0.981662874767883,-0.125309326258113,0.981662874751624,-0.125309326247863,0.00539451421932452,-0.0183746513708378
18,0.00535945587832609,-0.0189866987911618,0.98107223358622,-0.12873282039892,0.981072233570506,-0.128732820388377,0.00535283952641274,-0.0189550880616443
18.5,0.00531359414672282,-0.0195704356110529,0.980472349681677,-0.132150846709724,0.980472349666518,-0.132150846698922,0.00530672487458521,-0.0195379752930593
19,0.00526320275223628,-0.0201564972149511,0.97986320435076,-0.13556362947675,0.979863204336163,-0.135563629465734,0.00525607013853577,-0.0201231902618915
19.5,0.00520819051409695,-0.0207447593112793,0.979244766959576,-0.138971374895712,0.979244766945543,-0.138971374884514,0.00520078378971553,-0.0207106086830624
20,0.00514847456364194,-0.0213350967109549,0.978616996962931,-0.142374271637261,0.978616996949465,-0.142374271625915,0.00514078261173086,-0.0213001053592881
20.5,0.00508398003341233,-0.0219273838464846,0.977979845708525,-0.145772491509732,0.977979845695621,-0.145772491498276,0.00507599139072328,-0.0218915547007112
21,0.00501463972691187,-0.0225214952420361,0.977333258039725,-0.149166190191931,0.977333258027381,-0.149166190180393,0.00500634258629601,-0.0224848311955599
21.5,0.00494039377413211,-0.0231173059359775,0.976677173711504,-0.152555508012918,0.976677173699713,-0.152555508001331,0.00493177598808724,-0.0230798098333769
22,0.00486118927740595,-0.0237146918577684,0.976011528634345,-0.155940570759778,0.9760115286231,-0.155940570748173,0.00485223836257404,-0.0236763664826021
